,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic said that the author hurt herself . <eos>,The mechanic said that the author hurt herself .,the mechanic said that the author hurt ***mask*** .,0.00040013930060515073
1,1,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author said that the mechanic hurt herself . <eos>,The author said that the mechanic hurt herself .,the author said that the mechanic hurt ***mask*** .,0.001212167404173704
2,1,embed,local,1,c,none,none,banker,author,hurt,herself,The banker said that the author hurt herself . <eos>,The banker said that the author hurt herself .,the banker said that the author hurt ***mask*** .,0.0006137844283473603
3,1,embed,local,1,d,none,none,author,banker,hurt,herself,The author said that the banker hurt herself . <eos>,The author said that the banker hurt herself .,the author said that the banker hurt ***mask*** .,0.0033728093276768575
4,1,embed,local,1,a,nonlocal_subj,number,mechanics,author,hurt,herself,The mechanics said that the author hurt herself . <eos>,The mechanics said that the author hurt herself .,the mechanics said that the author hurt ***mask*** .,0.0008280825745054354
5,1,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hurt,herself,The authors said that the mechanic hurt herself . <eos>,The authors said that the mechanic hurt herself .,the authors said that the mechanic hurt ***mask*** .,0.0017229979997328989
6,1,embed,local,1,c,nonlocal_subj,number,bankers,author,hurt,herself,The bankers said that the author hurt herself . <eos>,The bankers said that the author hurt herself .,the bankers said that the author hurt ***mask*** .,0.0005944885269232259
7,1,embed,local,1,d,nonlocal_subj,number,authors,banker,hurt,herself,The authors said that the banker hurt herself . <eos>,The authors said that the banker hurt herself .,the authors said that the banker hurt ***mask*** .,0.004716194364964448
8,1,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hurt,herself,The mechanic said that the authors hurt herself . <eos>,The mechanic said that the authors hurt herself .,the mechanic said that the authors hurt ***mask*** .,0.009332039947290248
9,1,embed,nonlocal,0,b,local_subj,number,author,mechanics,hurt,herself,The author said that the mechanics hurt herself . <eos>,The author said that the mechanics hurt herself .,the author said that the mechanics hurt ***mask*** .,0.04751457427239573
10,1,embed,nonlocal,0,c,local_subj,number,banker,authors,hurt,herself,The banker said that the authors hurt herself . <eos>,The banker said that the authors hurt herself .,the banker said that the authors hurt ***mask*** .,0.012881291901227502
11,1,embed,nonlocal,0,d,local_subj,number,author,bankers,hurt,herself,The author said that the bankers hurt herself . <eos>,The author said that the bankers hurt herself .,the author said that the bankers hurt ***mask*** .,0.0251929050952875
12,2,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic said that the author injured herself . <eos>,The mechanic said that the author injured herself .,the mechanic said that the author injured ***mask*** .,3.793623990865973e-05
13,2,embed,local,1,b,none,none,author,mechanic,injured,herself,The author said that the mechanic injured herself . <eos>,The author said that the mechanic injured herself .,the author said that the mechanic injured ***mask*** .,0.00010901393412625902
14,2,embed,local,1,c,none,none,banker,author,injured,herself,The banker said that the author injured herself . <eos>,The banker said that the author injured herself .,the banker said that the author injured ***mask*** .,3.3035125901541794e-05
15,2,embed,local,1,d,none,none,author,banker,injured,herself,The author said that the banker injured herself . <eos>,The author said that the banker injured herself .,the author said that the banker injured ***mask*** .,0.00014176559161913828
16,2,embed,local,1,a,nonlocal_subj,number,mechanics,author,injured,herself,The mechanics said that the author injured herself . <eos>,The mechanics said that the author injured herself .,the mechanics said that the author injured ***mask*** .,4.953397964717318e-05
17,2,embed,local,1,b,nonlocal_subj,number,authors,mechanic,injured,herself,The authors said that the mechanic injured herself . <eos>,The authors said that the mechanic injured herself .,the authors said that the mechanic injured ***mask*** .,0.0001535560832565746
18,2,embed,local,1,c,nonlocal_subj,number,bankers,author,injured,herself,The bankers said that the author injured herself . <eos>,The bankers said that the author injured herself .,the bankers said that the author injured ***mask*** .,5.022206669833385e-05
19,2,embed,local,1,d,nonlocal_subj,number,authors,banker,injured,herself,The authors said that the banker injured herself . <eos>,The authors said that the banker injured herself .,the authors said that the banker injured ***mask*** .,0.00017910981605975462
20,2,embed,nonlocal,0,a,local_subj,number,mechanic,authors,injured,herself,The mechanic said that the authors injured herself . <eos>,The mechanic said that the authors injured herself .,the mechanic said that the authors injured ***mask*** .,0.0010276892250741319
21,2,embed,nonlocal,0,b,local_subj,number,author,mechanics,injured,herself,The author said that the mechanics injured herself . <eos>,The author said that the mechanics injured herself .,the author said that the mechanics injured ***mask*** .,0.0017298604085531004
22,2,embed,nonlocal,0,c,local_subj,number,banker,authors,injured,herself,The banker said that the authors injured herself . <eos>,The banker said that the authors injured herself .,the banker said that the authors injured ***mask*** .,0.0008369595097101749
23,2,embed,nonlocal,0,d,local_subj,number,author,bankers,injured,herself,The author said that the bankers injured herself . <eos>,The author said that the bankers injured herself .,the author said that the bankers injured ***mask*** .,0.0031834745586656085
24,3,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic said that the author congratulated herself . <eos>,The mechanic said that the author congratulated herself .,the mechanic said that the author congratulated ***mask*** .,0.0029045038421723467
25,3,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author said that the mechanic congratulated herself . <eos>,The author said that the mechanic congratulated herself .,the author said that the mechanic congratulated ***mask*** .,0.003871559939550529
26,3,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker said that the author congratulated herself . <eos>,The banker said that the author congratulated herself .,the banker said that the author congratulated ***mask*** .,0.0031699519290685502
27,3,embed,local,1,d,none,none,author,banker,congratulated,herself,The author said that the banker congratulated herself . <eos>,The author said that the banker congratulated herself .,the author said that the banker congratulated ***mask*** .,0.008668039429842794
28,3,embed,local,1,a,nonlocal_subj,number,mechanics,author,congratulated,herself,The mechanics said that the author congratulated herself . <eos>,The mechanics said that the author congratulated herself .,the mechanics said that the author congratulated ***mask*** .,0.004321453360632389
29,3,embed,local,1,b,nonlocal_subj,number,authors,mechanic,congratulated,herself,The authors said that the mechanic congratulated herself . <eos>,The authors said that the mechanic congratulated herself .,the authors said that the mechanic congratulated ***mask*** .,0.005436927149580246
30,3,embed,local,1,c,nonlocal_subj,number,bankers,author,congratulated,herself,The bankers said that the author congratulated herself . <eos>,The bankers said that the author congratulated herself .,the bankers said that the author congratulated ***mask*** .,0.002653160608553634
31,3,embed,local,1,d,nonlocal_subj,number,authors,banker,congratulated,herself,The authors said that the banker congratulated herself . <eos>,The authors said that the banker congratulated herself .,the authors said that the banker congratulated ***mask*** .,0.010998208735640131
32,3,embed,nonlocal,0,a,local_subj,number,mechanic,authors,congratulated,herself,The mechanic said that the authors congratulated herself . <eos>,The mechanic said that the authors congratulated herself .,the mechanic said that the authors congratulated ***mask*** .,0.009812505339681869
33,3,embed,nonlocal,0,b,local_subj,number,author,mechanics,congratulated,herself,The author said that the mechanics congratulated herself . <eos>,The author said that the mechanics congratulated herself .,the author said that the mechanics congratulated ***mask*** .,0.016740891047458822
34,3,embed,nonlocal,0,c,local_subj,number,banker,authors,congratulated,herself,The banker said that the authors congratulated herself . <eos>,The banker said that the authors congratulated herself .,the banker said that the authors congratulated ***mask*** .,0.01346570386733519
35,3,embed,nonlocal,0,d,local_subj,number,author,bankers,congratulated,herself,The author said that the bankers congratulated herself . <eos>,The author said that the bankers congratulated herself .,the author said that the bankers congratulated ***mask*** .,0.017466520125906253
36,4,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic said that the author embarrassed herself . <eos>,The mechanic said that the author embarrassed herself .,the mechanic said that the author embarrassed ***mask*** .,0.0004191521058187291
37,4,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author said that the mechanic embarrassed herself . <eos>,The author said that the mechanic embarrassed herself .,the author said that the mechanic embarrassed ***mask*** .,0.002005383467095922
38,4,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker said that the author embarrassed herself . <eos>,The banker said that the author embarrassed herself .,the banker said that the author embarrassed ***mask*** .,0.0005572352482898378
39,4,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author said that the banker embarrassed herself . <eos>,The author said that the banker embarrassed herself .,the author said that the banker embarrassed ***mask*** .,0.004169488901491073
40,4,embed,local,1,a,nonlocal_subj,number,mechanics,author,embarrassed,herself,The mechanics said that the author embarrassed herself . <eos>,The mechanics said that the author embarrassed herself .,the mechanics said that the author embarrassed ***mask*** .,0.001317316741275113
41,4,embed,local,1,b,nonlocal_subj,number,authors,mechanic,embarrassed,herself,The authors said that the mechanic embarrassed herself . <eos>,The authors said that the mechanic embarrassed herself .,the authors said that the mechanic embarrassed ***mask*** .,0.004324536662935592
42,4,embed,local,1,c,nonlocal_subj,number,bankers,author,embarrassed,herself,The bankers said that the author embarrassed herself . <eos>,The bankers said that the author embarrassed herself .,the bankers said that the author embarrassed ***mask*** .,0.00041595178418321545
43,4,embed,local,1,d,nonlocal_subj,number,authors,banker,embarrassed,herself,The authors said that the banker embarrassed herself . <eos>,The authors said that the banker embarrassed herself .,the authors said that the banker embarrassed ***mask*** .,0.009020496136303143
44,4,embed,nonlocal,0,a,local_subj,number,mechanic,authors,embarrassed,herself,The mechanic said that the authors embarrassed herself . <eos>,The mechanic said that the authors embarrassed herself .,the mechanic said that the authors embarrassed ***mask*** .,0.0024028391511198657
