,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,boy,father,saw,himself,The boy said that the father saw himself . <eos>,The boy said that the father saw himself .,the boy said that the father saw ***mask*** .,0.027782946322405872
1,1,embed,local,1,b,none,none,father,boy,saw,himself,The father said that the boy saw himself . <eos>,The father said that the boy saw himself .,the father said that the boy saw ***mask*** .,0.016383436889003643
2,1,embed,local,1,a,nonlocal_subj,number,boys,father,saw,himself,The boys said that the father saw himself . <eos>,The boys said that the father saw himself .,the boys said that the father saw ***mask*** .,0.043054951802468884
3,1,embed,local,1,b,nonlocal_subj,number,fathers,boy,saw,himself,The fathers said that the boy saw himself . <eos>,The fathers said that the boy saw himself .,the fathers said that the boy saw ***mask*** .,0.01602555356115432
4,1,embed,nonlocal,0,a,local_subj,number,boy,fathers,saw,himself,The boy said that the fathers saw himself . <eos>,The boy said that the fathers saw himself .,the boy said that the fathers saw ***mask*** .,0.08536088150669428
5,1,embed,nonlocal,0,b,local_subj,number,father,boys,saw,himself,The father said that the boys saw himself . <eos>,The father said that the boys saw himself .,the father said that the boys saw ***mask*** .,0.1307314494944329
6,2,embed,local,1,a,none,none,boy,father,established,himself,The boy said that the father established himself . <eos>,The boy said that the father established himself .,the boy said that the father established ***mask*** .,4.32742528326443e-05
7,2,embed,local,1,b,none,none,father,boy,established,himself,The father said that the boy established himself . <eos>,The father said that the boy established himself .,the father said that the boy established ***mask*** .,4.106832196410982e-06
8,2,embed,local,1,a,nonlocal_subj,number,boys,father,established,himself,The boys said that the father established himself . <eos>,The boys said that the father established himself .,the boys said that the father established ***mask*** .,8.577660093599212e-05
9,2,embed,local,1,b,nonlocal_subj,number,fathers,boy,established,himself,The fathers said that the boy established himself . <eos>,The fathers said that the boy established himself .,the fathers said that the boy established ***mask*** .,4.9159644930263595e-06
10,2,embed,nonlocal,0,a,local_subj,number,boy,fathers,established,himself,The boy said that the fathers established himself . <eos>,The boy said that the fathers established himself .,the boy said that the fathers established ***mask*** .,0.0016291074801677563
11,2,embed,nonlocal,0,b,local_subj,number,father,boys,established,himself,The father said that the boys established himself . <eos>,The father said that the boys established himself .,the father said that the boys established ***mask*** .,0.00016554525856133693
12,3,embed,local,1,a,none,none,boy,father,devoted,himself,The boy said that the father devoted himself . <eos>,The boy said that the father devoted himself .,the boy said that the father devoted ***mask*** .,4.3953694110228e-06
13,3,embed,local,1,b,none,none,father,boy,devoted,himself,The father said that the boy devoted himself . <eos>,The father said that the boy devoted himself .,the father said that the boy devoted ***mask*** .,2.33755932675935e-06
14,3,embed,local,1,a,nonlocal_subj,number,boys,father,devoted,himself,The boys said that the father devoted himself . <eos>,The boys said that the father devoted himself .,the boys said that the father devoted ***mask*** .,1.4160829979394476e-06
15,3,embed,local,1,b,nonlocal_subj,number,fathers,boy,devoted,himself,The fathers said that the boy devoted himself . <eos>,The fathers said that the boy devoted himself .,the fathers said that the boy devoted ***mask*** .,1.9348063353465554e-06
16,3,embed,nonlocal,0,a,local_subj,number,boy,fathers,devoted,himself,The boy said that the fathers devoted himself . <eos>,The boy said that the fathers devoted himself .,the boy said that the fathers devoted ***mask*** .,0.0015297731651667656
17,3,embed,nonlocal,0,b,local_subj,number,father,boys,devoted,himself,The father said that the boys devoted himself . <eos>,The father said that the boys devoted himself .,the father said that the boys devoted ***mask*** .,0.00036956370596383676
18,4,embed,local,1,a,none,none,boy,father,considered,himself,The boy said that the father considered himself . <eos>,The boy said that the father considered himself .,the boy said that the father considered ***mask*** .,0.0211444383369747
19,4,embed,local,1,b,none,none,father,boy,considered,himself,The father said that the boy considered himself . <eos>,The father said that the boy considered himself .,the father said that the boy considered ***mask*** .,0.009303275636906935
20,4,embed,local,1,a,nonlocal_subj,number,boys,father,considered,himself,The boys said that the father considered himself . <eos>,The boys said that the father considered himself .,the boys said that the father considered ***mask*** .,0.026113303850439556
21,4,embed,local,1,b,nonlocal_subj,number,fathers,boy,considered,himself,The fathers said that the boy considered himself . <eos>,The fathers said that the boy considered himself .,the fathers said that the boy considered ***mask*** .,0.007020467830893653
22,4,embed,nonlocal,0,a,local_subj,number,boy,fathers,considered,himself,The boy said that the fathers considered himself . <eos>,The boy said that the fathers considered himself .,the boy said that the fathers considered ***mask*** .,0.1390619375158789
23,4,embed,nonlocal,0,b,local_subj,number,father,boys,considered,himself,The father said that the boys considered himself . <eos>,The father said that the boys considered himself .,the father said that the boys considered ***mask*** .,0.05734657141117375
24,5,embed,local,1,a,none,none,boy,father,identified,himself,The boy said that the father identified himself . <eos>,The boy said that the father identified himself .,the boy said that the father identified ***mask*** .,5.579391349677291e-05
25,5,embed,local,1,b,none,none,father,boy,identified,himself,The father said that the boy identified himself . <eos>,The father said that the boy identified himself .,the father said that the boy identified ***mask*** .,1.2288889828947071e-05
26,5,embed,local,1,a,nonlocal_subj,number,boys,father,identified,himself,The boys said that the father identified himself . <eos>,The boys said that the father identified himself .,the boys said that the father identified ***mask*** .,3.481009720550014e-05
27,5,embed,local,1,b,nonlocal_subj,number,fathers,boy,identified,himself,The fathers said that the boy identified himself . <eos>,The fathers said that the boy identified himself .,the fathers said that the boy identified ***mask*** .,2.4117306475152642e-05
28,5,embed,nonlocal,0,a,local_subj,number,boy,fathers,identified,himself,The boy said that the fathers identified himself . <eos>,The boy said that the fathers identified himself .,the boy said that the fathers identified ***mask*** .,0.0018786912924568541
29,5,embed,nonlocal,0,b,local_subj,number,father,boys,identified,himself,The father said that the boys identified himself . <eos>,The father said that the boys identified himself .,the father said that the boys identified ***mask*** .,0.00019959994952634623
30,6,embed,local,1,a,none,none,boy,father,made,himself,The boy said that the father made himself . <eos>,The boy said that the father made himself .,the boy said that the father made ***mask*** .,0.045464313674974034
31,6,embed,local,1,b,none,none,father,boy,made,himself,The father said that the boy made himself . <eos>,The father said that the boy made himself .,the father said that the boy made ***mask*** .,0.04117287900616696
32,6,embed,local,1,a,nonlocal_subj,number,boys,father,made,himself,The boys said that the father made himself . <eos>,The boys said that the father made himself .,the boys said that the father made ***mask*** .,0.09696176222330731
33,6,embed,local,1,b,nonlocal_subj,number,fathers,boy,made,himself,The fathers said that the boy made himself . <eos>,The fathers said that the boy made himself .,the fathers said that the boy made ***mask*** .,0.03664395186452139
34,6,embed,nonlocal,0,a,local_subj,number,boy,fathers,made,himself,The boy said that the fathers made himself . <eos>,The boy said that the fathers made himself .,the boy said that the fathers made ***mask*** .,0.23894977039467474
35,6,embed,nonlocal,0,b,local_subj,number,father,boys,made,himself,The father said that the boys made himself . <eos>,The father said that the boys made himself .,the father said that the boys made ***mask*** .,0.7755558257091026
36,7,embed,local,1,a,none,none,boy,father,found,himself,The boy said that the father found himself . <eos>,The boy said that the father found himself .,the boy said that the father found ***mask*** .,0.03813449874501183
37,7,embed,local,1,b,none,none,father,boy,found,himself,The father said that the boy found himself . <eos>,The father said that the boy found himself .,the father said that the boy found ***mask*** .,0.01336113033133949
38,7,embed,local,1,a,nonlocal_subj,number,boys,father,found,himself,The boys said that the father found himself . <eos>,The boys said that the father found himself .,the boys said that the father found ***mask*** .,0.03915319956013254
39,7,embed,local,1,b,nonlocal_subj,number,fathers,boy,found,himself,The fathers said that the boy found himself . <eos>,The fathers said that the boy found himself .,the fathers said that the boy found ***mask*** .,0.009719891690389565
40,7,embed,nonlocal,0,a,local_subj,number,boy,fathers,found,himself,The boy said that the fathers found himself . <eos>,The boy said that the fathers found himself .,the boy said that the fathers found ***mask*** .,0.14900086533734813
41,7,embed,nonlocal,0,b,local_subj,number,father,boys,found,himself,The father said that the boys found himself . <eos>,The father said that the boys found himself .,the father said that the boys found ***mask*** .,0.1340388278513378
42,8,embed,local,1,a,none,none,boy,father,distinguished,himself,The boy said that the father distinguished himself . <eos>,The boy said that the father distinguished himself .,the boy said that the father distinguished ***mask*** .,1.5228675010152606e-06
43,8,embed,local,1,b,none,none,father,boy,distinguished,himself,The father said that the boy distinguished himself . <eos>,The father said that the boy distinguished himself .,the father said that the boy distinguished ***mask*** .,2.0636429620948083e-07
44,8,embed,local,1,a,nonlocal_subj,number,boys,father,distinguished,himself,The boys said that the father distinguished himself . <eos>,The boys said that the father distinguished himself .,the boys said that the father distinguished ***mask*** .,3.807286431829146e-07
45,8,embed,local,1,b,nonlocal_subj,number,fathers,boy,distinguished,himself,The fathers said that the boy distinguished himself . <eos>,The fathers said that the boy distinguished himself .,the fathers said that the boy distinguished ***mask*** .,2.4738906458810253e-07
46,8,embed,nonlocal,0,a,local_subj,number,boy,fathers,distinguished,himself,The boy said that the fathers distinguished himself . <eos>,The boy said that the fathers distinguished himself .,the boy said that the fathers distinguished ***mask*** .,0.00036572222788221545
47,8,embed,nonlocal,0,b,local_subj,number,father,boys,distinguished,himself,The father said that the boys distinguished himself . <eos>,The father said that the boys distinguished himself .,the father said that the boys distinguished ***mask*** .,4.091336795694833e-05
48,9,embed,local,1,a,none,none,boy,father,taught,himself,The boy said that the father taught himself . <eos>,The boy said that the father taught himself .,the boy said that the father taught ***mask*** .,0.006252480545645697
49,9,embed,local,1,b,none,none,father,boy,taught,himself,The father said that the boy taught himself . <eos>,The father said that the boy taught himself .,the father said that the boy taught ***mask*** .,0.0012342658947945885
50,9,embed,local,1,a,nonlocal_subj,number,boys,father,taught,himself,The boys said that the father taught himself . <eos>,The boys said that the father taught himself .,the boys said that the father taught ***mask*** .,0.003991282455842702
51,9,embed,local,1,b,nonlocal_subj,number,fathers,boy,taught,himself,The fathers said that the boy taught himself . <eos>,The fathers said that the boy taught himself .,the fathers said that the boy taught ***mask*** .,0.001435930056214577
52,9,embed,nonlocal,0,a,local_subj,number,boy,fathers,taught,himself,The boy said that the fathers taught himself . <eos>,The boy said that the fathers taught himself .,the boy said that the fathers taught ***mask*** .,0.022636423357800663
53,9,embed,nonlocal,0,b,local_subj,number,father,boys,taught,himself,The father said that the boys taught himself . <eos>,The father said that the boys taught himself .,the father said that the boys taught ***mask*** .,0.003927502733024051
54,10,embed,local,1,a,none,none,boy,father,killed,himself,The boy said that the father killed himself . <eos>,The boy said that the father killed himself .,the boy said that the father killed ***mask*** .,0.0004824977012356768
55,10,embed,local,1,b,none,none,father,boy,killed,himself,The father said that the boy killed himself . <eos>,The father said that the boy killed himself .,the father said that the boy killed ***mask*** .,0.00018332484314123083
56,10,embed,local,1,a,nonlocal_subj,number,boys,father,killed,himself,The boys said that the father killed himself . <eos>,The boys said that the father killed himself .,the boys said that the father killed ***mask*** .,0.00036949957504165277
57,10,embed,local,1,b,nonlocal_subj,number,fathers,boy,killed,himself,The fathers said that the boy killed himself . <eos>,The fathers said that the boy killed himself .,the fathers said that the boy killed ***mask*** .,0.00038777745315635794
58,10,embed,nonlocal,0,a,local_subj,number,boy,fathers,killed,himself,The boy said that the fathers killed himself . <eos>,The boy said that the fathers killed himself .,the boy said that the fathers killed ***mask*** .,0.008517431674118208
59,10,embed,nonlocal,0,b,local_subj,number,father,boys,killed,himself,The father said that the boys killed himself . <eos>,The father said that the boys killed himself .,the father said that the boys killed ***mask*** .,0.0024146055734321067
60,11,embed,local,1,a,none,none,boy,father,called,himself,The boy said that the father called himself . <eos>,The boy said that the father called himself .,the boy said that the father called ***mask*** .,0.011748451351009603
61,11,embed,local,1,b,none,none,father,boy,called,himself,The father said that the boy called himself . <eos>,The father said that the boy called himself .,the father said that the boy called ***mask*** .,0.006810705161682823
62,11,embed,local,1,a,nonlocal_subj,number,boys,father,called,himself,The boys said that the father called himself . <eos>,The boys said that the father called himself .,the boys said that the father called ***mask*** .,0.016721751056964402
63,11,embed,local,1,b,nonlocal_subj,number,fathers,boy,called,himself,The fathers said that the boy called himself . <eos>,The fathers said that the boy called himself .,the fathers said that the boy called ***mask*** .,0.005134087591924709
64,11,embed,nonlocal,0,a,local_subj,number,boy,fathers,called,himself,The boy said that the fathers called himself . <eos>,The boy said that the fathers called himself .,the boy said that the fathers called ***mask*** .,0.04259923616594227
65,11,embed,nonlocal,0,b,local_subj,number,father,boys,called,himself,The father said that the boys called himself . <eos>,The father said that the boys called himself .,the father said that the boys called ***mask*** .,0.061885074599307935
66,12,embed,local,1,a,none,none,boy,father,dedicated,himself,The boy said that the father dedicated himself . <eos>,The boy said that the father dedicated himself .,the boy said that the father dedicated ***mask*** .,1.8791408932043247e-05
67,12,embed,local,1,b,none,none,father,boy,dedicated,himself,The father said that the boy dedicated himself . <eos>,The father said that the boy dedicated himself .,the father said that the boy dedicated ***mask*** .,3.7216890357246054e-06
68,12,embed,local,1,a,nonlocal_subj,number,boys,father,dedicated,himself,The boys said that the father dedicated himself . <eos>,The boys said that the father dedicated himself .,the boys said that the father dedicated ***mask*** .,6.151443906570513e-06
69,12,embed,local,1,b,nonlocal_subj,number,fathers,boy,dedicated,himself,The fathers said that the boy dedicated himself . <eos>,The fathers said that the boy dedicated himself .,the fathers said that the boy dedicated ***mask*** .,2.046367113696678e-06
70,12,embed,nonlocal,0,a,local_subj,number,boy,fathers,dedicated,himself,The boy said that the fathers dedicated himself . <eos>,The boy said that the fathers dedicated himself .,the boy said that the fathers dedicated ***mask*** .,0.0004243693072403648
71,12,embed,nonlocal,0,b,local_subj,number,father,boys,dedicated,himself,The father said that the boys dedicated himself . <eos>,The father said that the boys dedicated himself .,the father said that the boys dedicated ***mask*** .,0.00039095259921599325
72,13,embed,local,1,a,none,none,boy,father,declared,himself,The boy said that the father declared himself . <eos>,The boy said that the father declared himself .,the boy said that the father declared ***mask*** .,0.0007759469545572339
73,13,embed,local,1,b,none,none,father,boy,declared,himself,The father said that the boy declared himself . <eos>,The father said that the boy declared himself .,the father said that the boy declared ***mask*** .,0.00033098108889534643
74,13,embed,local,1,a,nonlocal_subj,number,boys,father,declared,himself,The boys said that the father declared himself . <eos>,The boys said that the father declared himself .,the boys said that the father declared ***mask*** .,0.0005581817977791164
75,13,embed,local,1,b,nonlocal_subj,number,fathers,boy,declared,himself,The fathers said that the boy declared himself . <eos>,The fathers said that the boy declared himself .,the fathers said that the boy declared ***mask*** .,0.00033991455184889983
76,13,embed,nonlocal,0,a,local_subj,number,boy,fathers,declared,himself,The boy said that the fathers declared himself . <eos>,The boy said that the fathers declared himself .,the boy said that the fathers declared ***mask*** .,0.013172834857373798
77,13,embed,nonlocal,0,b,local_subj,number,father,boys,declared,himself,The father said that the boys declared himself . <eos>,The father said that the boys declared himself .,the father said that the boys declared ***mask*** .,0.00558268539883886
