,item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,male,none,none,boys,fathers,saw,themselves,The boys said that the fathers saw themselves . <eos>,The boys said that the fathers saw themselves .,the boys said that the fathers saw ***mask*** .,0.060430785539555956
1,1,embed,local,1,b,male,none,none,fathers,boys,saw,themselves,The fathers said that the boys saw themselves . <eos>,The fathers said that the boys saw themselves .,the fathers said that the boys saw ***mask*** .,0.034197240502771474
2,1,embed,local,1,a,female,none,none,girls,mothers,saw,themselves,The girls said that the mothers saw themselves . <eos>,The girls said that the mothers saw themselves .,the girls said that the mothers saw ***mask*** .,0.04054423858616109
3,1,embed,local,1,b,female,none,none,mothers,girls,saw,themselves,The mothers said that the girls saw themselves . <eos>,The mothers said that the girls saw themselves .,the mothers said that the girls saw ***mask*** .,0.03291543169746293
4,1,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,saw,themselves,The boy said that the fathers saw themselves . <eos>,The boy said that the fathers saw themselves .,the boy said that the fathers saw ***mask*** .,0.04224464495550557
5,1,embed,local,1,b,male,nonlocal_subj,number,father,boys,saw,themselves,The father said that the boys saw themselves . <eos>,The father said that the boys saw themselves .,the father said that the boys saw ***mask*** .,0.029690459696014283
6,1,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,saw,themselves,The girl said that the mothers saw themselves . <eos>,The girl said that the mothers saw themselves .,the girl said that the mothers saw ***mask*** .,0.03636824905354212
7,1,embed,local,1,b,female,nonlocal_subj,number,mother,girls,saw,themselves,The mother said that the girls saw themselves . <eos>,The mother said that the girls saw themselves .,the mother said that the girls saw ***mask*** .,0.03143699811864236
8,1,embed,nonlocal,0,a,male,local_subj,number,boys,father,saw,themselves,The boys said that the father saw themselves . <eos>,The boys said that the father saw themselves .,the boys said that the father saw ***mask*** .,0.19006126754799793
9,1,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,saw,themselves,The fathers said that the boy saw themselves . <eos>,The fathers said that the boy saw themselves .,the fathers said that the boy saw ***mask*** .,0.21647504277843724
10,1,embed,nonlocal,0,a,female,local_subj,number,girls,mother,saw,themselves,The girls said that the mother saw themselves . <eos>,The girls said that the mother saw themselves .,the girls said that the mother saw ***mask*** .,0.1774114127055844
11,1,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,saw,themselves,The mothers said that the girl saw themselves . <eos>,The mothers said that the girl saw themselves .,the mothers said that the girl saw ***mask*** .,0.1744010751225768
12,2,embed,local,1,a,male,none,none,boys,fathers,established,themselves,The boys said that the fathers established themselves . <eos>,The boys said that the fathers established themselves .,the boys said that the fathers established ***mask*** .,7.168872804653527e-05
13,2,embed,local,1,b,male,none,none,fathers,boys,established,themselves,The fathers said that the boys established themselves . <eos>,The fathers said that the boys established themselves .,the fathers said that the boys established ***mask*** .,3.533612354798668e-06
14,2,embed,local,1,a,female,none,none,girls,mothers,established,themselves,The girls said that the mothers established themselves . <eos>,The girls said that the mothers established themselves .,the girls said that the mothers established ***mask*** .,1.1885872446256782e-05
