,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,liked,embed,local,1,a,none,none,mechanic,author,hurt,himself,The mechanic that the author liked hurt himself . <eos>,The mechanic that the author liked hurt himself .,the mechanic that the author liked hurt ***mask*** .,0.0066565437320904785
1,1,liked,embed,local,1,b,none,none,author,mechanic,hurt,himself,The author that the mechanic liked hurt himself . <eos>,The author that the mechanic liked hurt himself .,the author that the mechanic liked hurt ***mask*** .,0.0015576066980557651
2,1,liked,embed,local,1,c,none,none,banker,author,hurt,himself,The banker that the author liked hurt himself . <eos>,The banker that the author liked hurt himself .,the banker that the author liked hurt ***mask*** .,0.009903249686718322
3,1,liked,embed,local,1,d,none,none,author,banker,hurt,himself,The author that the banker liked hurt himself . <eos>,The author that the banker liked hurt himself .,the author that the banker liked hurt ***mask*** .,0.002959596080825523
4,1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,himself,The mechanics that the author liked hurt himself . <eos>,The mechanics that the author liked hurt himself .,the mechanics that the author liked hurt ***mask*** .,0.010301400713314333
5,1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,himself,The authors that the mechanic liked hurt himself . <eos>,The authors that the mechanic liked hurt himself .,the authors that the mechanic liked hurt ***mask*** .,0.014047428004156742
6,1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,himself,The bankers that the author liked hurt himself . <eos>,The bankers that the author liked hurt himself .,the bankers that the author liked hurt ***mask*** .,0.018838124659668363
7,1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,himself,The authors that the banker liked hurt himself . <eos>,The authors that the banker liked hurt himself .,the authors that the banker liked hurt ***mask*** .,0.020601790901750974
8,1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,himself,The mechanic that the authors liked hurt himself . <eos>,The mechanic that the authors liked hurt himself .,the mechanic that the authors liked hurt ***mask*** .,0.012579511526278474
9,1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,himself,The author that the mechanics liked hurt himself . <eos>,The author that the mechanics liked hurt himself .,the author that the mechanics liked hurt ***mask*** .,0.002555267458257697
10,1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,himself,The banker that the authors liked hurt himself . <eos>,The banker that the authors liked hurt himself .,the banker that the authors liked hurt ***mask*** .,0.021609062780780206
11,1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,himself,The author that the bankers liked hurt himself . <eos>,The author that the bankers liked hurt himself .,the author that the bankers liked hurt ***mask*** .,0.003958000427953009
12,2,liked,embed,local,1,a,none,none,mechanic,author,injured,himself,The mechanic that the author liked injured himself . <eos>,The mechanic that the author liked injured himself .,the mechanic that the author liked injured ***mask*** .,0.01798921200191303
13,2,liked,embed,local,1,b,none,none,author,mechanic,injured,himself,The author that the mechanic liked injured himself . <eos>,The author that the mechanic liked injured himself .,the author that the mechanic liked injured ***mask*** .,0.010155190601750474
14,2,liked,embed,local,1,c,none,none,banker,author,injured,himself,The banker that the author liked injured himself . <eos>,The banker that the author liked injured himself .,the banker that the author liked injured ***mask*** .,0.06597253348575564
15,2,liked,embed,local,1,d,none,none,author,banker,injured,himself,The author that the banker liked injured himself . <eos>,The author that the banker liked injured himself .,the author that the banker liked injured ***mask*** .,0.031266230091063926
16,2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,himself,The mechanics that the author liked injured himself . <eos>,The mechanics that the author liked injured himself .,the mechanics that the author liked injured ***mask*** .,0.018970243379595235
17,2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,himself,The authors that the mechanic liked injured himself . <eos>,The authors that the mechanic liked injured himself .,the authors that the mechanic liked injured ***mask*** .,0.00931401812655135
18,2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,himself,The bankers that the author liked injured himself . <eos>,The bankers that the author liked injured himself .,the bankers that the author liked injured ***mask*** .,0.023223365760268646
19,2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,himself,The authors that the banker liked injured himself . <eos>,The authors that the banker liked injured himself .,the authors that the banker liked injured ***mask*** .,0.012386583379801478
20,2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,himself,The mechanic that the authors liked injured himself . <eos>,The mechanic that the authors liked injured himself .,the mechanic that the authors liked injured ***mask*** .,0.013018444087825645
21,2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,himself,The author that the mechanics liked injured himself . <eos>,The author that the mechanics liked injured himself .,the author that the mechanics liked injured ***mask*** .,0.039188643628910086
22,2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,himself,The banker that the authors liked injured himself . <eos>,The banker that the authors liked injured himself .,the banker that the authors liked injured ***mask*** .,0.030354582710906748
23,2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,himself,The author that the bankers liked injured himself . <eos>,The author that the bankers liked injured himself .,the author that the bankers liked injured ***mask*** .,0.0437117087621094
24,3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,himself,The mechanic that the author liked congratulated himself . <eos>,The mechanic that the author liked congratulated himself .,the mechanic that the author liked congratulated ***mask*** .,0.007940805986025262
25,3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,himself,The author that the mechanic liked congratulated himself . <eos>,The author that the mechanic liked congratulated himself .,the author that the mechanic liked congratulated ***mask*** .,0.0030124286063865154
