,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys near the fathers saw themselves . <eos>,The boys near the fathers saw themselves .,the boys near the fathers saw ***mask*** .,0.07741711040119838
1,1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers near the boys saw themselves . <eos>,The fathers near the boys saw themselves .,the fathers near the boys saw ***mask*** .,0.12415264863346406
2,1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls near the mothers saw themselves . <eos>,The girls near the mothers saw themselves .,the girls near the mothers saw ***mask*** .,0.057880730762895426
3,1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers near the girls saw themselves . <eos>,The mothers near the girls saw themselves .,the mothers near the girls saw ***mask*** .,0.08715533514413247
4,1,simple,local,no-c-command,0,a,male,head,number,boy,fathers,saw,themselves,The boy near the fathers saw themselves . <eos>,The boy near the fathers saw themselves .,the boy near the fathers saw ***mask*** .,0.3250776185920033
5,1,simple,local,no-c-command,0,b,male,head,number,father,boys,saw,themselves,The father near the boys saw themselves . <eos>,The father near the boys saw themselves .,the father near the boys saw ***mask*** .,0.2652897145342558
6,1,simple,local,no-c-command,0,a,female,head,number,girl,mothers,saw,themselves,The girl near the mothers saw themselves . <eos>,The girl near the mothers saw themselves .,the girl near the mothers saw ***mask*** .,0.30159459150016726
7,1,simple,local,no-c-command,0,b,female,head,number,mother,girls,saw,themselves,The mother near the girls saw themselves . <eos>,The mother near the girls saw themselves .,the mother near the girls saw ***mask*** .,0.3112882197152999
8,1,simple,local,c-command,1,a,male,distractor,number,boys,father,saw,themselves,The boys near the father saw themselves . <eos>,The boys near the father saw themselves .,the boys near the father saw ***mask*** .,0.07399726548556376
9,1,simple,local,c-command,1,b,male,distractor,number,fathers,boy,saw,themselves,The fathers near the boy saw themselves . <eos>,The fathers near the boy saw themselves .,the fathers near the boy saw ***mask*** .,0.12475723726615576
10,1,simple,local,c-command,1,a,female,distractor,number,girls,mother,saw,themselves,The girls near the mother saw themselves . <eos>,The girls near the mother saw themselves .,the girls near the mother saw ***mask*** .,0.07283225826043883
11,1,simple,local,c-command,1,b,female,distractor,number,mothers,girl,saw,themselves,The mothers near the girl saw themselves . <eos>,The mothers near the girl saw themselves .,the mothers near the girl saw ***mask*** .,0.0912454212968884
12,2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys near the fathers established themselves . <eos>,The boys near the fathers established themselves .,the boys near the fathers established ***mask*** .,2.231062030590563e-05
13,2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers near the boys established themselves . <eos>,The fathers near the boys established themselves .,the fathers near the boys established ***mask*** .,4.6155831520415865e-05
14,2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls near the mothers established themselves . <eos>,The girls near the mothers established themselves .,the girls near the mothers established ***mask*** .,6.205913217673658e-06
15,2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers near the girls established themselves . <eos>,The mothers near the girls established themselves .,the mothers near the girls established ***mask*** .,8.051242448308125e-06
16,2,simple,local,no-c-command,0,a,male,head,number,boy,fathers,established,themselves,The boy near the fathers established themselves . <eos>,The boy near the fathers established themselves .,the boy near the fathers established ***mask*** .,0.0003386618358530938
17,2,simple,local,no-c-command,0,b,male,head,number,father,boys,established,themselves,The father near the boys established themselves . <eos>,The father near the boys established themselves .,the father near the boys established ***mask*** .,0.0001836459206595828
18,2,simple,local,no-c-command,0,a,female,head,number,girl,mothers,established,themselves,The girl near the mothers established themselves . <eos>,The girl near the mothers established themselves .,the girl near the mothers established ***mask*** .,0.0001358096157687164
19,2,simple,local,no-c-command,0,b,female,head,number,mother,girls,established,themselves,The mother near the girls established themselves . <eos>,The mother near the girls established themselves .,the mother near the girls established ***mask*** .,0.0001496171358707407
20,2,simple,local,c-command,1,a,male,distractor,number,boys,father,established,themselves,The boys near the father established themselves . <eos>,The boys near the father established themselves .,the boys near the father established ***mask*** .,1.795507177840701e-05
21,2,simple,local,c-command,1,b,male,distractor,number,fathers,boy,established,themselves,The fathers near the boy established themselves . <eos>,The fathers near the boy established themselves .,the fathers near the boy established ***mask*** .,2.9318688114894078e-05
22,2,simple,local,c-command,1,a,female,distractor,number,girls,mother,established,themselves,The girls near the mother established themselves . <eos>,The girls near the mother established themselves .,the girls near the mother established ***mask*** .,1.2567600292799059e-05
23,2,simple,local,c-command,1,b,female,distractor,number,mothers,girl,established,themselves,The mothers near the girl established themselves . <eos>,The mothers near the girl established themselves .,the mothers near the girl established ***mask*** .,6.655178742875718e-06
24,3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys near the fathers devoted themselves . <eos>,The boys near the fathers devoted themselves .,the boys near the fathers devoted ***mask*** .,1.3242226210448398e-06
25,3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers near the boys devoted themselves . <eos>,The fathers near the boys devoted themselves .,the fathers near the boys devoted ***mask*** .,7.962559916453783e-07
26,3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls near the mothers devoted themselves . <eos>,The girls near the mothers devoted themselves .,the girls near the mothers devoted ***mask*** .,1.536686184628943e-06
27,3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers near the girls devoted themselves . <eos>,The mothers near the girls devoted themselves .,the mothers near the girls devoted ***mask*** .,5.326259024766761e-07
28,3,simple,local,no-c-command,0,a,male,head,number,boy,fathers,devoted,themselves,The boy near the fathers devoted themselves . <eos>,The boy near the fathers devoted themselves .,the boy near the fathers devoted ***mask*** .,0.0019623742067467966
29,3,simple,local,no-c-command,0,b,male,head,number,father,boys,devoted,themselves,The father near the boys devoted themselves . <eos>,The father near the boys devoted themselves .,the father near the boys devoted ***mask*** .,5.0264471365357416e-05
30,3,simple,local,no-c-command,0,a,female,head,number,girl,mothers,devoted,themselves,The girl near the mothers devoted themselves . <eos>,The girl near the mothers devoted themselves .,the girl near the mothers devoted ***mask*** .,0.0008474055401643984
31,3,simple,local,no-c-command,0,b,female,head,number,mother,girls,devoted,themselves,The mother near the girls devoted themselves . <eos>,The mother near the girls devoted themselves .,the mother near the girls devoted ***mask*** .,5.488886689397325e-05
32,3,simple,local,c-command,1,a,male,distractor,number,boys,father,devoted,themselves,The boys near the father devoted themselves . <eos>,The boys near the father devoted themselves .,the boys near the father devoted ***mask*** .,1.7350540591140272e-06
33,3,simple,local,c-command,1,b,male,distractor,number,fathers,boy,devoted,themselves,The fathers near the boy devoted themselves . <eos>,The fathers near the boy devoted themselves .,the fathers near the boy devoted ***mask*** .,2.632673657720025e-06
34,3,simple,local,c-command,1,a,female,distractor,number,girls,mother,devoted,themselves,The girls near the mother devoted themselves . <eos>,The girls near the mother devoted themselves .,the girls near the mother devoted ***mask*** .,2.7420388731913838e-06
35,3,simple,local,c-command,1,b,female,distractor,number,mothers,girl,devoted,themselves,The mothers near the girl devoted themselves . <eos>,The mothers near the girl devoted themselves .,the mothers near the girl devoted ***mask*** .,1.63073478723373e-06
36,4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys near the fathers considered themselves . <eos>,The boys near the fathers considered themselves .,the boys near the fathers considered ***mask*** .,0.05688682346015783
37,4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers near the boys considered themselves . <eos>,The fathers near the boys considered themselves .,the fathers near the boys considered ***mask*** .,0.09896129256340526
38,4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls near the mothers considered themselves . <eos>,The girls near the mothers considered themselves .,the girls near the mothers considered ***mask*** .,0.04792083900362508
39,4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers near the girls considered themselves . <eos>,The mothers near the girls considered themselves .,the mothers near the girls considered ***mask*** .,0.052182381547497735
40,4,simple,local,no-c-command,0,a,male,head,number,boy,fathers,considered,themselves,The boy near the fathers considered themselves . <eos>,The boy near the fathers considered themselves .,the boy near the fathers considered ***mask*** .,0.8083652608217986
41,4,simple,local,no-c-command,0,b,male,head,number,father,boys,considered,themselves,The father near the boys considered themselves . <eos>,The father near the boys considered themselves .,the father near the boys considered ***mask*** .,0.32684276109769717
42,4,simple,local,no-c-command,0,a,female,head,number,girl,mothers,considered,themselves,The girl near the mothers considered themselves . <eos>,The girl near the mothers considered themselves .,the girl near the mothers considered ***mask*** .,0.6175601190240761
43,4,simple,local,no-c-command,0,b,female,head,number,mother,girls,considered,themselves,The mother near the girls considered themselves . <eos>,The mother near the girls considered themselves .,the mother near the girls considered ***mask*** .,0.2870697027353954
44,4,simple,local,c-command,1,a,male,distractor,number,boys,father,considered,themselves,The boys near the father considered themselves . <eos>,The boys near the father considered themselves .,the boys near the father considered ***mask*** .,0.04775422442584178
45,4,simple,local,c-command,1,b,male,distractor,number,fathers,boy,considered,themselves,The fathers near the boy considered themselves . <eos>,The fathers near the boy considered themselves .,the fathers near the boy considered ***mask*** .,0.12389916657404619
46,4,simple,local,c-command,1,a,female,distractor,number,girls,mother,considered,themselves,The girls near the mother considered themselves . <eos>,The girls near the mother considered themselves .,the girls near the mother considered ***mask*** .,0.02811689764670767
47,4,simple,local,c-command,1,b,female,distractor,number,mothers,girl,considered,themselves,The mothers near the girl considered themselves . <eos>,The mothers near the girl considered themselves .,the mothers near the girl considered ***mask*** .,0.0533088369811859
48,5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,themselves,The boys near the fathers identified themselves . <eos>,The boys near the fathers identified themselves .,the boys near the fathers identified ***mask*** .,0.00016330479248059102
49,5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,themselves,The fathers near the boys identified themselves . <eos>,The fathers near the boys identified themselves .,the fathers near the boys identified ***mask*** .,0.00010295133476675584
50,5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,themselves,The girls near the mothers identified themselves . <eos>,The girls near the mothers identified themselves .,the girls near the mothers identified ***mask*** .,2.0858938173644026e-05
51,5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,themselves,The mothers near the girls identified themselves . <eos>,The mothers near the girls identified themselves .,the mothers near the girls identified ***mask*** .,7.876257634931708e-06
52,5,simple,local,no-c-command,0,a,male,head,number,boy,fathers,identified,themselves,The boy near the fathers identified themselves . <eos>,The boy near the fathers identified themselves .,the boy near the fathers identified ***mask*** .,0.003882524727774255
53,5,simple,local,no-c-command,0,b,male,head,number,father,boys,identified,themselves,The father near the boys identified themselves . <eos>,The father near the boys identified themselves .,the father near the boys identified ***mask*** .,0.00031279589835219774
54,5,simple,local,no-c-command,0,a,female,head,number,girl,mothers,identified,themselves,The girl near the mothers identified themselves . <eos>,The girl near the mothers identified themselves .,the girl near the mothers identified ***mask*** .,0.000873096620907001
55,5,simple,local,no-c-command,0,b,female,head,number,mother,girls,identified,themselves,The mother near the girls identified themselves . <eos>,The mother near the girls identified themselves .,the mother near the girls identified ***mask*** .,0.0002029451085598145
56,5,simple,local,c-command,1,a,male,distractor,number,boys,father,identified,themselves,The boys near the father identified themselves . <eos>,The boys near the father identified themselves .,the boys near the father identified ***mask*** .,4.751158302441391e-05
57,5,simple,local,c-command,1,b,male,distractor,number,fathers,boy,identified,themselves,The fathers near the boy identified themselves . <eos>,The fathers near the boy identified themselves .,the fathers near the boy identified ***mask*** .,0.0001697993695894976
58,5,simple,local,c-command,1,a,female,distractor,number,girls,mother,identified,themselves,The girls near the mother identified themselves . <eos>,The girls near the mother identified themselves .,the girls near the mother identified ***mask*** .,1.404438589619871e-05
59,5,simple,local,c-command,1,b,female,distractor,number,mothers,girl,identified,themselves,The mothers near the girl identified themselves . <eos>,The mothers near the girl identified themselves .,the mothers near the girl identified ***mask*** .,5.649439395869604e-06
60,6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,themselves,The boys near the fathers made themselves . <eos>,The boys near the fathers made themselves .,the boys near the fathers made ***mask*** .,0.046455001834857124
61,6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,themselves,The fathers near the boys made themselves . <eos>,The fathers near the boys made themselves .,the fathers near the boys made ***mask*** .,0.09024433462138481
62,6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,themselves,The girls near the mothers made themselves . <eos>,The girls near the mothers made themselves .,the girls near the mothers made ***mask*** .,0.036514374466770055
63,6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,themselves,The mothers near the girls made themselves . <eos>,The mothers near the girls made themselves .,the mothers near the girls made ***mask*** .,0.04034167089416875
64,6,simple,local,no-c-command,0,a,male,head,number,boy,fathers,made,themselves,The boy near the fathers made themselves . <eos>,The boy near the fathers made themselves .,the boy near the fathers made ***mask*** .,0.5568764295011421
65,6,simple,local,no-c-command,0,b,male,head,number,father,boys,made,themselves,The father near the boys made themselves . <eos>,The father near the boys made themselves .,the father near the boys made ***mask*** .,0.24664542020233152
66,6,simple,local,no-c-command,0,a,female,head,number,girl,mothers,made,themselves,The girl near the mothers made themselves . <eos>,The girl near the mothers made themselves .,the girl near the mothers made ***mask*** .,0.4905812657617753
67,6,simple,local,no-c-command,0,b,female,head,number,mother,girls,made,themselves,The mother near the girls made themselves . <eos>,The mother near the girls made themselves .,the mother near the girls made ***mask*** .,0.3328111985982734
68,6,simple,local,c-command,1,a,male,distractor,number,boys,father,made,themselves,The boys near the father made themselves . <eos>,The boys near the father made themselves .,the boys near the father made ***mask*** .,0.09625600861302426
