,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,liked,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic that the author liked hurt herself . <eos>,The mechanic that the author liked hurt herself .,the mechanic that the author liked hurt ***mask*** .,0.0592029622392054
1,1,liked,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author that the mechanic liked hurt herself . <eos>,The author that the mechanic liked hurt herself .,the author that the mechanic liked hurt ***mask*** .,0.022156671246023676
2,1,liked,embed,local,1,c,none,none,banker,author,hurt,herself,The banker that the author liked hurt herself . <eos>,The banker that the author liked hurt herself .,the banker that the author liked hurt ***mask*** .,0.05931973966208122
3,1,liked,embed,local,1,d,none,none,author,banker,hurt,herself,The author that the banker liked hurt herself . <eos>,The author that the banker liked hurt herself .,the author that the banker liked hurt ***mask*** .,0.03156826062064244
4,1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,herself,The mechanics that the author liked hurt herself . <eos>,The mechanics that the author liked hurt herself .,the mechanics that the author liked hurt ***mask*** .,0.12524766731600573
5,1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,herself,The authors that the mechanic liked hurt herself . <eos>,The authors that the mechanic liked hurt herself .,the authors that the mechanic liked hurt ***mask*** .,0.10950606755838829
6,1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,herself,The bankers that the author liked hurt herself . <eos>,The bankers that the author liked hurt herself .,the bankers that the author liked hurt ***mask*** .,0.11048326087241506
7,1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,herself,The authors that the banker liked hurt herself . <eos>,The authors that the banker liked hurt herself .,the authors that the banker liked hurt ***mask*** .,0.14222864140796623
8,1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,herself,The mechanic that the authors liked hurt herself . <eos>,The mechanic that the authors liked hurt herself .,the mechanic that the authors liked hurt ***mask*** .,0.09221195202287287
9,1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,herself,The author that the mechanics liked hurt herself . <eos>,The author that the mechanics liked hurt herself .,the author that the mechanics liked hurt ***mask*** .,0.048664322072415965
10,1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,herself,The banker that the authors liked hurt herself . <eos>,The banker that the authors liked hurt herself .,the banker that the authors liked hurt ***mask*** .,0.0986314977638311
11,1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,herself,The author that the bankers liked hurt herself . <eos>,The author that the bankers liked hurt herself .,the author that the bankers liked hurt ***mask*** .,0.05883213556821963
12,2,liked,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic that the author liked injured herself . <eos>,The mechanic that the author liked injured herself .,the mechanic that the author liked injured ***mask*** .,0.17492612573446967
13,2,liked,embed,local,1,b,none,none,author,mechanic,injured,herself,The author that the mechanic liked injured herself . <eos>,The author that the mechanic liked injured herself .,the author that the mechanic liked injured ***mask*** .,0.2944904376158823
14,2,liked,embed,local,1,c,none,none,banker,author,injured,herself,The banker that the author liked injured herself . <eos>,The banker that the author liked injured herself .,the banker that the author liked injured ***mask*** .,0.4933312244743289
15,2,liked,embed,local,1,d,none,none,author,banker,injured,herself,The author that the banker liked injured herself . <eos>,The author that the banker liked injured herself .,the author that the banker liked injured ***mask*** .,0.8857411125268644
16,2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,herself,The mechanics that the author liked injured herself . <eos>,The mechanics that the author liked injured herself .,the mechanics that the author liked injured ***mask*** .,0.2598648521374847
17,2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,herself,The authors that the mechanic liked injured herself . <eos>,The authors that the mechanic liked injured herself .,the authors that the mechanic liked injured ***mask*** .,0.21578680904484202
18,2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,herself,The bankers that the author liked injured herself . <eos>,The bankers that the author liked injured herself .,the bankers that the author liked injured ***mask*** .,0.16653296746543061
19,2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,herself,The authors that the banker liked injured herself . <eos>,The authors that the banker liked injured herself .,the authors that the banker liked injured ***mask*** .,0.40396746503791003
20,2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,herself,The mechanic that the authors liked injured herself . <eos>,The mechanic that the authors liked injured herself .,the mechanic that the authors liked injured ***mask*** .,0.09733639350832585
21,2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,herself,The author that the mechanics liked injured herself . <eos>,The author that the mechanics liked injured herself .,the author that the mechanics liked injured ***mask*** .,0.9622582914225807
22,2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,herself,The banker that the authors liked injured herself . <eos>,The banker that the authors liked injured herself .,the banker that the authors liked injured ***mask*** .,0.18872008910786012
23,2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,herself,The author that the bankers liked injured herself . <eos>,The author that the bankers liked injured herself .,the author that the bankers liked injured ***mask*** .,1.3651832758669782
24,3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic that the author liked congratulated herself . <eos>,The mechanic that the author liked congratulated herself .,the mechanic that the author liked congratulated ***mask*** .,0.017026525818224787
25,3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author that the mechanic liked congratulated herself . <eos>,The author that the mechanic liked congratulated herself .,the author that the mechanic liked congratulated ***mask*** .,0.015178505390659947
26,3,liked,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker that the author liked congratulated herself . <eos>,The banker that the author liked congratulated herself .,the banker that the author liked congratulated ***mask*** .,0.009102519920724375
27,3,liked,embed,local,1,d,none,none,author,banker,congratulated,herself,The author that the banker liked congratulated herself . <eos>,The author that the banker liked congratulated herself .,the author that the banker liked congratulated ***mask*** .,0.01828083761116746
28,3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,herself,The mechanics that the author liked congratulated herself . <eos>,The mechanics that the author liked congratulated herself .,the mechanics that the author liked congratulated ***mask*** .,0.02365794403182613
29,3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,herself,The authors that the mechanic liked congratulated herself . <eos>,The authors that the mechanic liked congratulated herself .,the authors that the mechanic liked congratulated ***mask*** .,0.01886789278003619
30,3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,herself,The bankers that the author liked congratulated herself . <eos>,The bankers that the author liked congratulated herself .,the bankers that the author liked congratulated ***mask*** .,0.013530510711510017
31,3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,herself,The authors that the banker liked congratulated herself . <eos>,The authors that the banker liked congratulated herself .,the authors that the banker liked congratulated ***mask*** .,0.026476975658096272
32,3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,herself,The mechanic that the authors liked congratulated herself . <eos>,The mechanic that the authors liked congratulated herself .,the mechanic that the authors liked congratulated ***mask*** .,0.021863808402990712
33,3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,herself,The author that the mechanics liked congratulated herself . <eos>,The author that the mechanics liked congratulated herself .,the author that the mechanics liked congratulated ***mask*** .,0.03226996220705448
34,3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,herself,The banker that the authors liked congratulated herself . <eos>,The banker that the authors liked congratulated herself .,the banker that the authors liked congratulated ***mask*** .,0.01063423613264006
35,3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,herself,The author that the bankers liked congratulated herself . <eos>,The author that the bankers liked congratulated herself .,the author that the bankers liked congratulated ***mask*** .,0.03385566077262288
36,4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic that the author liked embarrassed herself . <eos>,The mechanic that the author liked embarrassed herself .,the mechanic that the author liked embarrassed ***mask*** .,0.03650049379137614
37,4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author that the mechanic liked embarrassed herself . <eos>,The author that the mechanic liked embarrassed herself .,the author that the mechanic liked embarrassed ***mask*** .,0.02599720857180933
38,4,liked,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker that the author liked embarrassed herself . <eos>,The banker that the author liked embarrassed herself .,the banker that the author liked embarrassed ***mask*** .,0.02720369450462716
39,4,liked,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author that the banker liked embarrassed herself . <eos>,The author that the banker liked embarrassed herself .,the author that the banker liked embarrassed ***mask*** .,0.028764900439354427
40,4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,herself,The mechanics that the author liked embarrassed herself . <eos>,The mechanics that the author liked embarrassed herself .,the mechanics that the author liked embarrassed ***mask*** .,0.04753605322796809
