,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy near the father saw himself . <eos>,The boy near the father saw himself .,the boy near the father saw ***mask*** .,0.07385153620556105
1,1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father near the boy saw himself . <eos>,The father near the boy saw himself .,the father near the boy saw ***mask*** .,0.1061871765243709
2,1,simple,local,no-c-command,0,a,head,number,boys,father,saw,himself,The boys near the father saw himself . <eos>,The boys near the father saw himself .,the boys near the father saw ***mask*** .,0.39647998250167826
3,1,simple,local,no-c-command,0,b,head,number,fathers,boy,saw,himself,The fathers near the boy saw himself . <eos>,The fathers near the boy saw himself .,the fathers near the boy saw ***mask*** .,0.29234523619506214
4,1,simple,local,c-command,1,a,distractor,number,boy,fathers,saw,himself,The boy near the fathers saw himself . <eos>,The boy near the fathers saw himself .,the boy near the fathers saw ***mask*** .,0.06515509201388052
5,1,simple,local,c-command,1,b,distractor,number,father,boys,saw,himself,The father near the boys saw himself . <eos>,The father near the boys saw himself .,the father near the boys saw ***mask*** .,0.21215730453557366
6,2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy near the father established himself . <eos>,The boy near the father established himself .,the boy near the father established ***mask*** .,0.0005917795928466545
7,2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father near the boy established himself . <eos>,The father near the boy established himself .,the father near the boy established ***mask*** .,0.0003087066914808822
8,2,simple,local,no-c-command,0,a,head,number,boys,father,established,himself,The boys near the father established himself . <eos>,The boys near the father established himself .,the boys near the father established ***mask*** .,0.001199013673835194
9,2,simple,local,no-c-command,0,b,head,number,fathers,boy,established,himself,The fathers near the boy established himself . <eos>,The fathers near the boy established himself .,the fathers near the boy established ***mask*** .,0.0007818559362047767
10,2,simple,local,c-command,1,a,distractor,number,boy,fathers,established,himself,The boy near the fathers established himself . <eos>,The boy near the fathers established himself .,the boy near the fathers established ***mask*** .,0.00029776044631141377
11,2,simple,local,c-command,1,b,distractor,number,father,boys,established,himself,The father near the boys established himself . <eos>,The father near the boys established himself .,the father near the boys established ***mask*** .,0.0005512401836469464
12,3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy near the father devoted himself . <eos>,The boy near the father devoted himself .,the boy near the father devoted ***mask*** .,8.008361508807319e-05
13,3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father near the boy devoted himself . <eos>,The father near the boy devoted himself .,the father near the boy devoted ***mask*** .,0.0004185107164619019
14,3,simple,local,no-c-command,0,a,head,number,boys,father,devoted,himself,The boys near the father devoted himself . <eos>,The boys near the father devoted himself .,the boys near the father devoted ***mask*** .,0.0015725166248514904
15,3,simple,local,no-c-command,0,b,head,number,fathers,boy,devoted,himself,The fathers near the boy devoted himself . <eos>,The fathers near the boy devoted himself .,the fathers near the boy devoted ***mask*** .,0.0019536718982391503
16,3,simple,local,c-command,1,a,distractor,number,boy,fathers,devoted,himself,The boy near the fathers devoted himself . <eos>,The boy near the fathers devoted himself .,the boy near the fathers devoted ***mask*** .,4.563298913601946e-05
17,3,simple,local,c-command,1,b,distractor,number,father,boys,devoted,himself,The father near the boys devoted himself . <eos>,The father near the boys devoted himself .,the father near the boys devoted ***mask*** .,3.896741270142176e-05
18,4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy near the father considered himself . <eos>,The boy near the father considered himself .,the boy near the father considered ***mask*** .,0.02894638215070805
