,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,girl,mother,saw,herself,The girl that the mother liked saw herself . <eos>,The girl that the mother liked saw herself .,the girl that the mother liked saw ***mask*** .,0.02067993955794097
1,1,simple,local,c-command,1,b,none,none,mother,girl,saw,herself,The mother that the girl liked saw herself . <eos>,The mother that the girl liked saw herself .,the mother that the girl liked saw ***mask*** .,0.024523597748531988
2,1,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,saw,herself,The girls that the mother liked saw herself . <eos>,The girls that the mother liked saw herself .,the girls that the mother liked saw ***mask*** .,0.06752685391017188
3,1,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,saw,herself,The mothers that the girl liked saw herself . <eos>,The mothers that the girl liked saw herself .,the mothers that the girl liked saw ***mask*** .,0.08547100075401363
4,1,simple,local,c-command,1,a,rc_subj,number,girl,mothers,saw,herself,The girl that the mothers liked saw herself . <eos>,The girl that the mothers liked saw herself .,the girl that the mothers liked saw ***mask*** .,0.01424118147341634
5,1,simple,local,c-command,1,b,rc_subj,number,mother,girls,saw,herself,The mother that the girls liked saw herself . <eos>,The mother that the girls liked saw herself .,the mother that the girls liked saw ***mask*** .,0.018984888008810576
6,2,simple,local,c-command,1,a,none,none,girl,mother,established,herself,The girl that the mother liked established herself . <eos>,The girl that the mother liked established herself .,the girl that the mother liked established ***mask*** .,2.33265319046608e-05
7,2,simple,local,c-command,1,b,none,none,mother,girl,established,herself,The mother that the girl liked established herself . <eos>,The mother that the girl liked established herself .,the mother that the girl liked established ***mask*** .,6.637613701310196e-05
8,2,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,established,herself,The girls that the mother liked established herself . <eos>,The girls that the mother liked established herself .,the girls that the mother liked established ***mask*** .,7.745664669466646e-05
9,2,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,established,herself,The mothers that the girl liked established herself . <eos>,The mothers that the girl liked established herself .,the mothers that the girl liked established ***mask*** .,0.00025846726683030136
10,2,simple,local,c-command,1,a,rc_subj,number,girl,mothers,established,herself,The girl that the mothers liked established herself . <eos>,The girl that the mothers liked established herself .,the girl that the mothers liked established ***mask*** .,0.0005843647951037711
11,2,simple,local,c-command,1,b,rc_subj,number,mother,girls,established,herself,The mother that the girls liked established herself . <eos>,The mother that the girls liked established herself .,the mother that the girls liked established ***mask*** .,0.0006981696492465609
12,3,simple,local,c-command,1,a,none,none,girl,mother,devoted,herself,The girl that the mother liked devoted herself . <eos>,The girl that the mother liked devoted herself .,the girl that the mother liked devoted ***mask*** .,0.4561964060363365
13,3,simple,local,c-command,1,b,none,none,mother,girl,devoted,herself,The mother that the girl liked devoted herself . <eos>,The mother that the girl liked devoted herself .,the mother that the girl liked devoted ***mask*** .,0.227521250325831
