item,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,fathers,men,were,leaving,The fathers near the men were leaving . <eos>,The fathers near the men were leaving .
1,simple,local,c-command,1,none,number,distractor,number,fathers,man,were,leaving,The fathers near the man were leaving . <eos>,The fathers near the man were leaving .
1,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,were,leaving,The fathers near the women were leaving . <eos>,The fathers near the women were leaving .
1,simple,local,c-command,1,none,both,distractor,both,fathers,woman,were,leaving,The fathers near the woman were leaving . <eos>,The fathers near the woman were leaving .
1,simple,local,no-c-command,0,number,none,head,number,man,fathers,were,leaving,The man near the fathers were leaving . <eos>,The man near the fathers were leaving .
1,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,were,leaving,The women near the fathers were leaving . <eos>,The women near the fathers were leaving .
1,simple,local,no-c-command,0,both,none,head,both,woman,fathers,were,leaving,The woman near the fathers were leaving . <eos>,The woman near the fathers were leaving .
2,simple,local,c-command,1,none,none,none,none,brothers,men,were,leaving,The brothers near the men were leaving . <eos>,The brothers near the men were leaving .
2,simple,local,c-command,1,none,number,distractor,number,brothers,man,were,leaving,The brothers near the man were leaving . <eos>,The brothers near the man were leaving .
2,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,were,leaving,The brothers near the women were leaving . <eos>,The brothers near the women were leaving .
2,simple,local,c-command,1,none,both,distractor,both,brothers,woman,were,leaving,The brothers near the woman were leaving . <eos>,The brothers near the woman were leaving .
2,simple,local,no-c-command,0,number,none,head,number,man,brothers,were,leaving,The man near the brothers were leaving . <eos>,The man near the brothers were leaving .
2,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,were,leaving,The women near the brothers were leaving . <eos>,The women near the brothers were leaving .
2,simple,local,no-c-command,0,both,none,head,both,woman,brothers,were,leaving,The woman near the brothers were leaving . <eos>,The woman near the brothers were leaving .
3,simple,local,c-command,1,none,none,none,none,brothers,men,were,leaving,The brothers near the men were leaving . <eos>,The brothers near the men were leaving .
3,simple,local,c-command,1,none,number,distractor,number,brothers,man,were,leaving,The brothers near the man were leaving . <eos>,The brothers near the man were leaving .
3,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,were,leaving,The brothers near the women were leaving . <eos>,The brothers near the women were leaving .
3,simple,local,c-command,1,none,both,distractor,both,brothers,woman,were,leaving,The brothers near the woman were leaving . <eos>,The brothers near the woman were leaving .
3,simple,local,no-c-command,0,number,none,head,number,man,brothers,were,leaving,The man near the brothers were leaving . <eos>,The man near the brothers were leaving .
3,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,were,leaving,The women near the brothers were leaving . <eos>,The women near the brothers were leaving .
3,simple,local,no-c-command,0,both,none,head,both,woman,brothers,were,leaving,The woman near the brothers were leaving . <eos>,The woman near the brothers were leaving .
4,simple,local,c-command,1,none,none,none,none,kings,men,were,leaving,The kings near the men were leaving . <eos>,The kings near the men were leaving .
4,simple,local,c-command,1,none,number,distractor,number,kings,man,were,leaving,The kings near the man were leaving . <eos>,The kings near the man were leaving .
4,simple,local,c-command,1,none,gender,distractor,gender,kings,women,were,leaving,The kings near the women were leaving . <eos>,The kings near the women were leaving .
4,simple,local,c-command,1,none,both,distractor,both,kings,woman,were,leaving,The kings near the woman were leaving . <eos>,The kings near the woman were leaving .
4,simple,local,no-c-command,0,number,none,head,number,man,kings,were,leaving,The man near the kings were leaving . <eos>,The man near the kings were leaving .
4,simple,local,no-c-command,1,gender,none,head,gender,women,kings,were,leaving,The women near the kings were leaving . <eos>,The women near the kings were leaving .
4,simple,local,no-c-command,0,both,none,head,both,woman,kings,were,leaving,The woman near the kings were leaving . <eos>,The woman near the kings were leaving .
