item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy that the father liked saw himself . <eos>,The boy that the father liked saw himself .
1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father that the boy liked saw himself . <eos>,The father that the boy liked saw himself .
1,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,saw,himself,The boys that the father liked saw himself . <eos>,The boys that the father liked saw himself .
1,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,saw,himself,The fathers that the boy liked saw himself . <eos>,The fathers that the boy liked saw himself .
1,simple,local,c-command,1,a,rc_subj,number,boy,fathers,saw,himself,The boy that the fathers liked saw himself . <eos>,The boy that the fathers liked saw himself .
1,simple,local,c-command,1,b,rc_subj,number,father,boys,saw,himself,The father that the boys liked saw himself . <eos>,The father that the boys liked saw himself .
2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy that the father liked established himself . <eos>,The boy that the father liked established himself .
2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father that the boy liked established himself . <eos>,The father that the boy liked established himself .
2,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,established,himself,The boys that the father liked established himself . <eos>,The boys that the father liked established himself .
2,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,established,himself,The fathers that the boy liked established himself . <eos>,The fathers that the boy liked established himself .
2,simple,local,c-command,1,a,rc_subj,number,boy,fathers,established,himself,The boy that the fathers liked established himself . <eos>,The boy that the fathers liked established himself .
2,simple,local,c-command,1,b,rc_subj,number,father,boys,established,himself,The father that the boys liked established himself . <eos>,The father that the boys liked established himself .
3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy that the father liked devoted himself . <eos>,The boy that the father liked devoted himself .
3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father that the boy liked devoted himself . <eos>,The father that the boy liked devoted himself .
3,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,devoted,himself,The boys that the father liked devoted himself . <eos>,The boys that the father liked devoted himself .
3,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,devoted,himself,The fathers that the boy liked devoted himself . <eos>,The fathers that the boy liked devoted himself .
3,simple,local,c-command,1,a,rc_subj,number,boy,fathers,devoted,himself,The boy that the fathers liked devoted himself . <eos>,The boy that the fathers liked devoted himself .
3,simple,local,c-command,1,b,rc_subj,number,father,boys,devoted,himself,The father that the boys liked devoted himself . <eos>,The father that the boys liked devoted himself .
4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy that the father liked considered himself . <eos>,The boy that the father liked considered himself .
4,simple,local,c-command,1,b,none,none,father,boy,considered,himself,The father that the boy liked considered himself . <eos>,The father that the boy liked considered himself .
4,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,considered,himself,The boys that the father liked considered himself . <eos>,The boys that the father liked considered himself .
4,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,considered,himself,The fathers that the boy liked considered himself . <eos>,The fathers that the boy liked considered himself .
4,simple,local,c-command,1,a,rc_subj,number,boy,fathers,considered,himself,The boy that the fathers liked considered himself . <eos>,The boy that the fathers liked considered himself .
4,simple,local,c-command,1,b,rc_subj,number,father,boys,considered,himself,The father that the boys liked considered himself . <eos>,The father that the boys liked considered himself .
5,simple,local,c-command,1,a,none,none,boy,father,identified,himself,The boy that the father liked identified himself . <eos>,The boy that the father liked identified himself .
5,simple,local,c-command,1,b,none,none,father,boy,identified,himself,The father that the boy liked identified himself . <eos>,The father that the boy liked identified himself .
5,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,identified,himself,The boys that the father liked identified himself . <eos>,The boys that the father liked identified himself .
5,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,identified,himself,The fathers that the boy liked identified himself . <eos>,The fathers that the boy liked identified himself .
5,simple,local,c-command,1,a,rc_subj,number,boy,fathers,identified,himself,The boy that the fathers liked identified himself . <eos>,The boy that the fathers liked identified himself .
5,simple,local,c-command,1,b,rc_subj,number,father,boys,identified,himself,The father that the boys liked identified himself . <eos>,The father that the boys liked identified himself .
6,simple,local,c-command,1,a,none,none,boy,father,made,himself,The boy that the father liked made himself . <eos>,The boy that the father liked made himself .
6,simple,local,c-command,1,b,none,none,father,boy,made,himself,The father that the boy liked made himself . <eos>,The father that the boy liked made himself .
6,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,made,himself,The boys that the father liked made himself . <eos>,The boys that the father liked made himself .
6,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,made,himself,The fathers that the boy liked made himself . <eos>,The fathers that the boy liked made himself .
6,simple,local,c-command,1,a,rc_subj,number,boy,fathers,made,himself,The boy that the fathers liked made himself . <eos>,The boy that the fathers liked made himself .
6,simple,local,c-command,1,b,rc_subj,number,father,boys,made,himself,The father that the boys liked made himself . <eos>,The father that the boys liked made himself .
7,simple,local,c-command,1,a,none,none,boy,father,found,himself,The boy that the father liked found himself . <eos>,The boy that the father liked found himself .
7,simple,local,c-command,1,b,none,none,father,boy,found,himself,The father that the boy liked found himself . <eos>,The father that the boy liked found himself .
7,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,found,himself,The boys that the father liked found himself . <eos>,The boys that the father liked found himself .
7,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,found,himself,The fathers that the boy liked found himself . <eos>,The fathers that the boy liked found himself .
7,simple,local,c-command,1,a,rc_subj,number,boy,fathers,found,himself,The boy that the fathers liked found himself . <eos>,The boy that the fathers liked found himself .
7,simple,local,c-command,1,b,rc_subj,number,father,boys,found,himself,The father that the boys liked found himself . <eos>,The father that the boys liked found himself .
8,simple,local,c-command,1,a,none,none,boy,father,distinguished,himself,The boy that the father liked distinguished himself . <eos>,The boy that the father liked distinguished himself .
8,simple,local,c-command,1,b,none,none,father,boy,distinguished,himself,The father that the boy liked distinguished himself . <eos>,The father that the boy liked distinguished himself .
8,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,distinguished,himself,The boys that the father liked distinguished himself . <eos>,The boys that the father liked distinguished himself .
8,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,distinguished,himself,The fathers that the boy liked distinguished himself . <eos>,The fathers that the boy liked distinguished himself .
8,simple,local,c-command,1,a,rc_subj,number,boy,fathers,distinguished,himself,The boy that the fathers liked distinguished himself . <eos>,The boy that the fathers liked distinguished himself .
8,simple,local,c-command,1,b,rc_subj,number,father,boys,distinguished,himself,The father that the boys liked distinguished himself . <eos>,The father that the boys liked distinguished himself .
9,simple,local,c-command,1,a,none,none,boy,father,taught,himself,The boy that the father liked taught himself . <eos>,The boy that the father liked taught himself .
9,simple,local,c-command,1,b,none,none,father,boy,taught,himself,The father that the boy liked taught himself . <eos>,The father that the boy liked taught himself .
9,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,taught,himself,The boys that the father liked taught himself . <eos>,The boys that the father liked taught himself .
9,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,taught,himself,The fathers that the boy liked taught himself . <eos>,The fathers that the boy liked taught himself .
9,simple,local,c-command,1,a,rc_subj,number,boy,fathers,taught,himself,The boy that the fathers liked taught himself . <eos>,The boy that the fathers liked taught himself .
9,simple,local,c-command,1,b,rc_subj,number,father,boys,taught,himself,The father that the boys liked taught himself . <eos>,The father that the boys liked taught himself .
10,simple,local,c-command,1,a,none,none,boy,father,killed,himself,The boy that the father liked killed himself . <eos>,The boy that the father liked killed himself .
10,simple,local,c-command,1,b,none,none,father,boy,killed,himself,The father that the boy liked killed himself . <eos>,The father that the boy liked killed himself .
10,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,killed,himself,The boys that the father liked killed himself . <eos>,The boys that the father liked killed himself .
10,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,killed,himself,The fathers that the boy liked killed himself . <eos>,The fathers that the boy liked killed himself .
10,simple,local,c-command,1,a,rc_subj,number,boy,fathers,killed,himself,The boy that the fathers liked killed himself . <eos>,The boy that the fathers liked killed himself .
