item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,boy,father,saw,himself,The boy said that the father saw himself . <eos>,The boy said that the father saw himself .
1,embed,local,1,b,none,none,father,boy,saw,himself,The father said that the boy saw himself . <eos>,The father said that the boy saw himself .
1,embed,local,1,a,nonlocal_subj,number,boys,father,saw,himself,The boys said that the father saw himself . <eos>,The boys said that the father saw himself .
1,embed,local,1,b,nonlocal_subj,number,fathers,boy,saw,himself,The fathers said that the boy saw himself . <eos>,The fathers said that the boy saw himself .
1,embed,nonlocal,0,a,local_subj,number,boy,fathers,saw,himself,The boy said that the fathers saw himself . <eos>,The boy said that the fathers saw himself .
1,embed,nonlocal,0,b,local_subj,number,father,boys,saw,himself,The father said that the boys saw himself . <eos>,The father said that the boys saw himself .
2,embed,local,1,a,none,none,boy,father,established,himself,The boy said that the father established himself . <eos>,The boy said that the father established himself .
2,embed,local,1,b,none,none,father,boy,established,himself,The father said that the boy established himself . <eos>,The father said that the boy established himself .
2,embed,local,1,a,nonlocal_subj,number,boys,father,established,himself,The boys said that the father established himself . <eos>,The boys said that the father established himself .
2,embed,local,1,b,nonlocal_subj,number,fathers,boy,established,himself,The fathers said that the boy established himself . <eos>,The fathers said that the boy established himself .
2,embed,nonlocal,0,a,local_subj,number,boy,fathers,established,himself,The boy said that the fathers established himself . <eos>,The boy said that the fathers established himself .
2,embed,nonlocal,0,b,local_subj,number,father,boys,established,himself,The father said that the boys established himself . <eos>,The father said that the boys established himself .
3,embed,local,1,a,none,none,boy,father,devoted,himself,The boy said that the father devoted himself . <eos>,The boy said that the father devoted himself .
3,embed,local,1,b,none,none,father,boy,devoted,himself,The father said that the boy devoted himself . <eos>,The father said that the boy devoted himself .
3,embed,local,1,a,nonlocal_subj,number,boys,father,devoted,himself,The boys said that the father devoted himself . <eos>,The boys said that the father devoted himself .
3,embed,local,1,b,nonlocal_subj,number,fathers,boy,devoted,himself,The fathers said that the boy devoted himself . <eos>,The fathers said that the boy devoted himself .
3,embed,nonlocal,0,a,local_subj,number,boy,fathers,devoted,himself,The boy said that the fathers devoted himself . <eos>,The boy said that the fathers devoted himself .
3,embed,nonlocal,0,b,local_subj,number,father,boys,devoted,himself,The father said that the boys devoted himself . <eos>,The father said that the boys devoted himself .
4,embed,local,1,a,none,none,boy,father,considered,himself,The boy said that the father considered himself . <eos>,The boy said that the father considered himself .
4,embed,local,1,b,none,none,father,boy,considered,himself,The father said that the boy considered himself . <eos>,The father said that the boy considered himself .
4,embed,local,1,a,nonlocal_subj,number,boys,father,considered,himself,The boys said that the father considered himself . <eos>,The boys said that the father considered himself .
4,embed,local,1,b,nonlocal_subj,number,fathers,boy,considered,himself,The fathers said that the boy considered himself . <eos>,The fathers said that the boy considered himself .
4,embed,nonlocal,0,a,local_subj,number,boy,fathers,considered,himself,The boy said that the fathers considered himself . <eos>,The boy said that the fathers considered himself .
4,embed,nonlocal,0,b,local_subj,number,father,boys,considered,himself,The father said that the boys considered himself . <eos>,The father said that the boys considered himself .
5,embed,local,1,a,none,none,boy,father,identified,himself,The boy said that the father identified himself . <eos>,The boy said that the father identified himself .
5,embed,local,1,b,none,none,father,boy,identified,himself,The father said that the boy identified himself . <eos>,The father said that the boy identified himself .
5,embed,local,1,a,nonlocal_subj,number,boys,father,identified,himself,The boys said that the father identified himself . <eos>,The boys said that the father identified himself .
5,embed,local,1,b,nonlocal_subj,number,fathers,boy,identified,himself,The fathers said that the boy identified himself . <eos>,The fathers said that the boy identified himself .
5,embed,nonlocal,0,a,local_subj,number,boy,fathers,identified,himself,The boy said that the fathers identified himself . <eos>,The boy said that the fathers identified himself .
5,embed,nonlocal,0,b,local_subj,number,father,boys,identified,himself,The father said that the boys identified himself . <eos>,The father said that the boys identified himself .
6,embed,local,1,a,none,none,boy,father,made,himself,The boy said that the father made himself . <eos>,The boy said that the father made himself .
6,embed,local,1,b,none,none,father,boy,made,himself,The father said that the boy made himself . <eos>,The father said that the boy made himself .
6,embed,local,1,a,nonlocal_subj,number,boys,father,made,himself,The boys said that the father made himself . <eos>,The boys said that the father made himself .
6,embed,local,1,b,nonlocal_subj,number,fathers,boy,made,himself,The fathers said that the boy made himself . <eos>,The fathers said that the boy made himself .
6,embed,nonlocal,0,a,local_subj,number,boy,fathers,made,himself,The boy said that the fathers made himself . <eos>,The boy said that the fathers made himself .
6,embed,nonlocal,0,b,local_subj,number,father,boys,made,himself,The father said that the boys made himself . <eos>,The father said that the boys made himself .
7,embed,local,1,a,none,none,boy,father,found,himself,The boy said that the father found himself . <eos>,The boy said that the father found himself .
7,embed,local,1,b,none,none,father,boy,found,himself,The father said that the boy found himself . <eos>,The father said that the boy found himself .
7,embed,local,1,a,nonlocal_subj,number,boys,father,found,himself,The boys said that the father found himself . <eos>,The boys said that the father found himself .
7,embed,local,1,b,nonlocal_subj,number,fathers,boy,found,himself,The fathers said that the boy found himself . <eos>,The fathers said that the boy found himself .
7,embed,nonlocal,0,a,local_subj,number,boy,fathers,found,himself,The boy said that the fathers found himself . <eos>,The boy said that the fathers found himself .
7,embed,nonlocal,0,b,local_subj,number,father,boys,found,himself,The father said that the boys found himself . <eos>,The father said that the boys found himself .
8,embed,local,1,a,none,none,boy,father,distinguished,himself,The boy said that the father distinguished himself . <eos>,The boy said that the father distinguished himself .
8,embed,local,1,b,none,none,father,boy,distinguished,himself,The father said that the boy distinguished himself . <eos>,The father said that the boy distinguished himself .
8,embed,local,1,a,nonlocal_subj,number,boys,father,distinguished,himself,The boys said that the father distinguished himself . <eos>,The boys said that the father distinguished himself .
8,embed,local,1,b,nonlocal_subj,number,fathers,boy,distinguished,himself,The fathers said that the boy distinguished himself . <eos>,The fathers said that the boy distinguished himself .
8,embed,nonlocal,0,a,local_subj,number,boy,fathers,distinguished,himself,The boy said that the fathers distinguished himself . <eos>,The boy said that the fathers distinguished himself .
8,embed,nonlocal,0,b,local_subj,number,father,boys,distinguished,himself,The father said that the boys distinguished himself . <eos>,The father said that the boys distinguished himself .
9,embed,local,1,a,none,none,boy,father,taught,himself,The boy said that the father taught himself . <eos>,The boy said that the father taught himself .
9,embed,local,1,b,none,none,father,boy,taught,himself,The father said that the boy taught himself . <eos>,The father said that the boy taught himself .
9,embed,local,1,a,nonlocal_subj,number,boys,father,taught,himself,The boys said that the father taught himself . <eos>,The boys said that the father taught himself .
9,embed,local,1,b,nonlocal_subj,number,fathers,boy,taught,himself,The fathers said that the boy taught himself . <eos>,The fathers said that the boy taught himself .
9,embed,nonlocal,0,a,local_subj,number,boy,fathers,taught,himself,The boy said that the fathers taught himself . <eos>,The boy said that the fathers taught himself .
9,embed,nonlocal,0,b,local_subj,number,father,boys,taught,himself,The father said that the boys taught himself . <eos>,The father said that the boys taught himself .
10,embed,local,1,a,none,none,boy,father,killed,himself,The boy said that the father killed himself . <eos>,The boy said that the father killed himself .
10,embed,local,1,b,none,none,father,boy,killed,himself,The father said that the boy killed himself . <eos>,The father said that the boy killed himself .
10,embed,local,1,a,nonlocal_subj,number,boys,father,killed,himself,The boys said that the father killed himself . <eos>,The boys said that the father killed himself .
10,embed,local,1,b,nonlocal_subj,number,fathers,boy,killed,himself,The fathers said that the boy killed himself . <eos>,The fathers said that the boy killed himself .
10,embed,nonlocal,0,a,local_subj,number,boy,fathers,killed,himself,The boy said that the fathers killed himself . <eos>,The boy said that the fathers killed himself .
10,embed,nonlocal,0,b,local_subj,number,father,boys,killed,himself,The father said that the boys killed himself . <eos>,The father said that the boys killed himself .
11,embed,local,1,a,none,none,boy,father,called,himself,The boy said that the father called himself . <eos>,The boy said that the father called himself .
11,embed,local,1,b,none,none,father,boy,called,himself,The father said that the boy called himself . <eos>,The father said that the boy called himself .
11,embed,local,1,a,nonlocal_subj,number,boys,father,called,himself,The boys said that the father called himself . <eos>,The boys said that the father called himself .
11,embed,local,1,b,nonlocal_subj,number,fathers,boy,called,himself,The fathers said that the boy called himself . <eos>,The fathers said that the boy called himself .
11,embed,nonlocal,0,a,local_subj,number,boy,fathers,called,himself,The boy said that the fathers called himself . <eos>,The boy said that the fathers called himself .
11,embed,nonlocal,0,b,local_subj,number,father,boys,called,himself,The father said that the boys called himself . <eos>,The father said that the boys called himself .
12,embed,local,1,a,none,none,boy,father,dedicated,himself,The boy said that the father dedicated himself . <eos>,The boy said that the father dedicated himself .
12,embed,local,1,b,none,none,father,boy,dedicated,himself,The father said that the boy dedicated himself . <eos>,The father said that the boy dedicated himself .
12,embed,local,1,a,nonlocal_subj,number,boys,father,dedicated,himself,The boys said that the father dedicated himself . <eos>,The boys said that the father dedicated himself .
12,embed,local,1,b,nonlocal_subj,number,fathers,boy,dedicated,himself,The fathers said that the boy dedicated himself . <eos>,The fathers said that the boy dedicated himself .
12,embed,nonlocal,0,a,local_subj,number,boy,fathers,dedicated,himself,The boy said that the fathers dedicated himself . <eos>,The boy said that the fathers dedicated himself .
12,embed,nonlocal,0,b,local_subj,number,father,boys,dedicated,himself,The father said that the boys dedicated himself . <eos>,The father said that the boys dedicated himself .
13,embed,local,1,a,none,none,boy,father,declared,himself,The boy said that the father declared himself . <eos>,The boy said that the father declared himself .
13,embed,local,1,b,none,none,father,boy,declared,himself,The father said that the boy declared himself . <eos>,The father said that the boy declared himself .
13,embed,local,1,a,nonlocal_subj,number,boys,father,declared,himself,The boys said that the father declared himself . <eos>,The boys said that the father declared himself .
13,embed,local,1,b,nonlocal_subj,number,fathers,boy,declared,himself,The fathers said that the boy declared himself . <eos>,The fathers said that the boy declared himself .
