item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy near the father saw himself . <eos>,The boy near the father saw himself .
1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father near the boy saw himself . <eos>,The father near the boy saw himself .
1,simple,local,no-c-command,0,a,head,number,boys,father,saw,himself,The boys near the father saw himself . <eos>,The boys near the father saw himself .
1,simple,local,no-c-command,0,b,head,number,fathers,boy,saw,himself,The fathers near the boy saw himself . <eos>,The fathers near the boy saw himself .
1,simple,local,c-command,1,a,distractor,number,boy,fathers,saw,himself,The boy near the fathers saw himself . <eos>,The boy near the fathers saw himself .
1,simple,local,c-command,1,b,distractor,number,father,boys,saw,himself,The father near the boys saw himself . <eos>,The father near the boys saw himself .
2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy near the father established himself . <eos>,The boy near the father established himself .
2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father near the boy established himself . <eos>,The father near the boy established himself .
2,simple,local,no-c-command,0,a,head,number,boys,father,established,himself,The boys near the father established himself . <eos>,The boys near the father established himself .
2,simple,local,no-c-command,0,b,head,number,fathers,boy,established,himself,The fathers near the boy established himself . <eos>,The fathers near the boy established himself .
2,simple,local,c-command,1,a,distractor,number,boy,fathers,established,himself,The boy near the fathers established himself . <eos>,The boy near the fathers established himself .
2,simple,local,c-command,1,b,distractor,number,father,boys,established,himself,The father near the boys established himself . <eos>,The father near the boys established himself .
3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy near the father devoted himself . <eos>,The boy near the father devoted himself .
3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father near the boy devoted himself . <eos>,The father near the boy devoted himself .
3,simple,local,no-c-command,0,a,head,number,boys,father,devoted,himself,The boys near the father devoted himself . <eos>,The boys near the father devoted himself .
3,simple,local,no-c-command,0,b,head,number,fathers,boy,devoted,himself,The fathers near the boy devoted himself . <eos>,The fathers near the boy devoted himself .
3,simple,local,c-command,1,a,distractor,number,boy,fathers,devoted,himself,The boy near the fathers devoted himself . <eos>,The boy near the fathers devoted himself .
3,simple,local,c-command,1,b,distractor,number,father,boys,devoted,himself,The father near the boys devoted himself . <eos>,The father near the boys devoted himself .
4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy near the father considered himself . <eos>,The boy near the father considered himself .
4,simple,local,c-command,1,b,none,none,father,boy,considered,himself,The father near the boy considered himself . <eos>,The father near the boy considered himself .
4,simple,local,no-c-command,0,a,head,number,boys,father,considered,himself,The boys near the father considered himself . <eos>,The boys near the father considered himself .
4,simple,local,no-c-command,0,b,head,number,fathers,boy,considered,himself,The fathers near the boy considered himself . <eos>,The fathers near the boy considered himself .
4,simple,local,c-command,1,a,distractor,number,boy,fathers,considered,himself,The boy near the fathers considered himself . <eos>,The boy near the fathers considered himself .
4,simple,local,c-command,1,b,distractor,number,father,boys,considered,himself,The father near the boys considered himself . <eos>,The father near the boys considered himself .
5,simple,local,c-command,1,a,none,none,boy,father,identified,himself,The boy near the father identified himself . <eos>,The boy near the father identified himself .
5,simple,local,c-command,1,b,none,none,father,boy,identified,himself,The father near the boy identified himself . <eos>,The father near the boy identified himself .
5,simple,local,no-c-command,0,a,head,number,boys,father,identified,himself,The boys near the father identified himself . <eos>,The boys near the father identified himself .
5,simple,local,no-c-command,0,b,head,number,fathers,boy,identified,himself,The fathers near the boy identified himself . <eos>,The fathers near the boy identified himself .
5,simple,local,c-command,1,a,distractor,number,boy,fathers,identified,himself,The boy near the fathers identified himself . <eos>,The boy near the fathers identified himself .
5,simple,local,c-command,1,b,distractor,number,father,boys,identified,himself,The father near the boys identified himself . <eos>,The father near the boys identified himself .
6,simple,local,c-command,1,a,none,none,boy,father,made,himself,The boy near the father made himself . <eos>,The boy near the father made himself .
6,simple,local,c-command,1,b,none,none,father,boy,made,himself,The father near the boy made himself . <eos>,The father near the boy made himself .
