item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,liked,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic that the author liked hurt herself . <eos>,The mechanic that the author liked hurt herself .
1,liked,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author that the mechanic liked hurt herself . <eos>,The author that the mechanic liked hurt herself .
1,liked,embed,local,1,c,none,none,banker,author,hurt,herself,The banker that the author liked hurt herself . <eos>,The banker that the author liked hurt herself .
1,liked,embed,local,1,d,none,none,author,banker,hurt,herself,The author that the banker liked hurt herself . <eos>,The author that the banker liked hurt herself .
1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,herself,The mechanics that the author liked hurt herself . <eos>,The mechanics that the author liked hurt herself .
1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,herself,The authors that the mechanic liked hurt herself . <eos>,The authors that the mechanic liked hurt herself .
1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,herself,The bankers that the author liked hurt herself . <eos>,The bankers that the author liked hurt herself .
1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,herself,The authors that the banker liked hurt herself . <eos>,The authors that the banker liked hurt herself .
1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,herself,The mechanic that the authors liked hurt herself . <eos>,The mechanic that the authors liked hurt herself .
1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,herself,The author that the mechanics liked hurt herself . <eos>,The author that the mechanics liked hurt herself .
1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,herself,The banker that the authors liked hurt herself . <eos>,The banker that the authors liked hurt herself .
1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,herself,The author that the bankers liked hurt herself . <eos>,The author that the bankers liked hurt herself .
2,liked,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic that the author liked injured herself . <eos>,The mechanic that the author liked injured herself .
2,liked,embed,local,1,b,none,none,author,mechanic,injured,herself,The author that the mechanic liked injured herself . <eos>,The author that the mechanic liked injured herself .
2,liked,embed,local,1,c,none,none,banker,author,injured,herself,The banker that the author liked injured herself . <eos>,The banker that the author liked injured herself .
2,liked,embed,local,1,d,none,none,author,banker,injured,herself,The author that the banker liked injured herself . <eos>,The author that the banker liked injured herself .
2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,herself,The mechanics that the author liked injured herself . <eos>,The mechanics that the author liked injured herself .
2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,herself,The authors that the mechanic liked injured herself . <eos>,The authors that the mechanic liked injured herself .
2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,herself,The bankers that the author liked injured herself . <eos>,The bankers that the author liked injured herself .
2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,herself,The authors that the banker liked injured herself . <eos>,The authors that the banker liked injured herself .
2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,herself,The mechanic that the authors liked injured herself . <eos>,The mechanic that the authors liked injured herself .
2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,herself,The author that the mechanics liked injured herself . <eos>,The author that the mechanics liked injured herself .
2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,herself,The banker that the authors liked injured herself . <eos>,The banker that the authors liked injured herself .
2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,herself,The author that the bankers liked injured herself . <eos>,The author that the bankers liked injured herself .
3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic that the author liked congratulated herself . <eos>,The mechanic that the author liked congratulated herself .
3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author that the mechanic liked congratulated herself . <eos>,The author that the mechanic liked congratulated herself .
3,liked,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker that the author liked congratulated herself . <eos>,The banker that the author liked congratulated herself .
3,liked,embed,local,1,d,none,none,author,banker,congratulated,herself,The author that the banker liked congratulated herself . <eos>,The author that the banker liked congratulated herself .
