item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,mechanic,author,hurt,himself,The mechanic said that the author hurt himself . <eos>,The mechanic said that the author hurt himself .
1,embed,local,1,b,none,none,author,mechanic,hurt,himself,The author said that the mechanic hurt himself . <eos>,The author said that the mechanic hurt himself .
1,embed,local,1,c,none,none,banker,author,hurt,himself,The banker said that the author hurt himself . <eos>,The banker said that the author hurt himself .
1,embed,local,1,d,none,none,author,banker,hurt,himself,The author said that the banker hurt himself . <eos>,The author said that the banker hurt himself .
1,embed,local,1,a,nonlocal_subj,number,mechanics,author,hurt,himself,The mechanics said that the author hurt himself . <eos>,The mechanics said that the author hurt himself .
1,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hurt,himself,The authors said that the mechanic hurt himself . <eos>,The authors said that the mechanic hurt himself .
1,embed,local,1,c,nonlocal_subj,number,bankers,author,hurt,himself,The bankers said that the author hurt himself . <eos>,The bankers said that the author hurt himself .
1,embed,local,1,d,nonlocal_subj,number,authors,banker,hurt,himself,The authors said that the banker hurt himself . <eos>,The authors said that the banker hurt himself .
1,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hurt,himself,The mechanic said that the authors hurt himself . <eos>,The mechanic said that the authors hurt himself .
1,embed,nonlocal,0,b,local_subj,number,author,mechanics,hurt,himself,The author said that the mechanics hurt himself . <eos>,The author said that the mechanics hurt himself .
1,embed,nonlocal,0,c,local_subj,number,banker,authors,hurt,himself,The banker said that the authors hurt himself . <eos>,The banker said that the authors hurt himself .
1,embed,nonlocal,0,d,local_subj,number,author,bankers,hurt,himself,The author said that the bankers hurt himself . <eos>,The author said that the bankers hurt himself .
2,embed,local,1,a,none,none,mechanic,author,injured,himself,The mechanic said that the author injured himself . <eos>,The mechanic said that the author injured himself .
2,embed,local,1,b,none,none,author,mechanic,injured,himself,The author said that the mechanic injured himself . <eos>,The author said that the mechanic injured himself .
2,embed,local,1,c,none,none,banker,author,injured,himself,The banker said that the author injured himself . <eos>,The banker said that the author injured himself .
2,embed,local,1,d,none,none,author,banker,injured,himself,The author said that the banker injured himself . <eos>,The author said that the banker injured himself .
2,embed,local,1,a,nonlocal_subj,number,mechanics,author,injured,himself,The mechanics said that the author injured himself . <eos>,The mechanics said that the author injured himself .
2,embed,local,1,b,nonlocal_subj,number,authors,mechanic,injured,himself,The authors said that the mechanic injured himself . <eos>,The authors said that the mechanic injured himself .
2,embed,local,1,c,nonlocal_subj,number,bankers,author,injured,himself,The bankers said that the author injured himself . <eos>,The bankers said that the author injured himself .
2,embed,local,1,d,nonlocal_subj,number,authors,banker,injured,himself,The authors said that the banker injured himself . <eos>,The authors said that the banker injured himself .
2,embed,nonlocal,0,a,local_subj,number,mechanic,authors,injured,himself,The mechanic said that the authors injured himself . <eos>,The mechanic said that the authors injured himself .
2,embed,nonlocal,0,b,local_subj,number,author,mechanics,injured,himself,The author said that the mechanics injured himself . <eos>,The author said that the mechanics injured himself .
