item,rc_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had admired,herself,The hygenist who the cheerleader telephoned had admired herself . <eos>,The hygenist who the cheerleader telephoned had admired herself .
1,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had admired,herself,The cheerleader who the hygenist telephoned had admired herself . <eos>,The cheerleader who the hygenist telephoned had admired herself .
1,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had admired,herself,The mechanic who the hygenist telephoned had admired herself . <eos>,The mechanic who the hygenist telephoned had admired herself .
1,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had admired,herself,The mechanic who the cheerleader telephoned had admired herself . <eos>,The mechanic who the cheerleader telephoned had admired herself .
1,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had admired,herself,The hygenist who the mechanic telephoned had admired herself . <eos>,The hygenist who the mechanic telephoned had admired herself .
1,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had admired,herself,The cheerleader who the mechanic telephoned had admired herself . <eos>,The cheerleader who the mechanic telephoned had admired herself .
2,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had convinced,herself,The hygenist who the cheerleader telephoned had convinced herself . <eos>,The hygenist who the cheerleader telephoned had convinced herself .
2,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had convinced,herself,The cheerleader who the hygenist telephoned had convinced herself . <eos>,The cheerleader who the hygenist telephoned had convinced herself .
2,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had convinced,herself,The mechanic who the hygenist telephoned had convinced herself . <eos>,The mechanic who the hygenist telephoned had convinced herself .
2,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had convinced,herself,The mechanic who the cheerleader telephoned had convinced herself . <eos>,The mechanic who the cheerleader telephoned had convinced herself .
2,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had convinced,herself,The hygenist who the mechanic telephoned had convinced herself . <eos>,The hygenist who the mechanic telephoned had convinced herself .
2,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had convinced,herself,The cheerleader who the mechanic telephoned had convinced herself . <eos>,The cheerleader who the mechanic telephoned had convinced herself .
3,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,saw,herself,The hygenist who the cheerleader telephoned saw herself . <eos>,The hygenist who the cheerleader telephoned saw herself .
3,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,saw,herself,The cheerleader who the hygenist telephoned saw herself . <eos>,The cheerleader who the hygenist telephoned saw herself .
3,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,saw,herself,The mechanic who the hygenist telephoned saw herself . <eos>,The mechanic who the hygenist telephoned saw herself .
3,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,saw,herself,The mechanic who the cheerleader telephoned saw herself . <eos>,The mechanic who the cheerleader telephoned saw herself .
3,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,saw,herself,The hygenist who the mechanic telephoned saw herself . <eos>,The hygenist who the mechanic telephoned saw herself .
3,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,saw,herself,The cheerleader who the mechanic telephoned saw herself . <eos>,The cheerleader who the mechanic telephoned saw herself .
4,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had blamed,herself,The hygenist who the cheerleader telephoned had blamed herself . <eos>,The hygenist who the cheerleader telephoned had blamed herself .
4,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had blamed,herself,The cheerleader who the hygenist telephoned had blamed herself . <eos>,The cheerleader who the hygenist telephoned had blamed herself .
4,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had blamed,herself,The mechanic who the hygenist telephoned had blamed herself . <eos>,The mechanic who the hygenist telephoned had blamed herself .
4,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had blamed,herself,The mechanic who the cheerleader telephoned had blamed herself . <eos>,The mechanic who the cheerleader telephoned had blamed herself .
4,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had blamed,herself,The hygenist who the mechanic telephoned had blamed herself . <eos>,The hygenist who the mechanic telephoned had blamed herself .
4,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had blamed,herself,The cheerleader who the mechanic telephoned had blamed herself . <eos>,The cheerleader who the mechanic telephoned had blamed herself .
5,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had cut,herself,The hygenist who the cheerleader telephoned had cut herself . <eos>,The hygenist who the cheerleader telephoned had cut herself .
5,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had cut,herself,The cheerleader who the hygenist telephoned had cut herself . <eos>,The cheerleader who the hygenist telephoned had cut herself .
5,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had cut,herself,The mechanic who the hygenist telephoned had cut herself . <eos>,The mechanic who the hygenist telephoned had cut herself .
5,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had cut,herself,The mechanic who the cheerleader telephoned had cut herself . <eos>,The mechanic who the cheerleader telephoned had cut herself .
5,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had cut,herself,The hygenist who the mechanic telephoned had cut herself . <eos>,The hygenist who the mechanic telephoned had cut herself .
5,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had cut,herself,The cheerleader who the mechanic telephoned had cut herself . <eos>,The cheerleader who the mechanic telephoned had cut herself .
6,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had amused,herself,The hygenist who the cheerleader telephoned had amused herself . <eos>,The hygenist who the cheerleader telephoned had amused herself .
6,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had amused,herself,The cheerleader who the hygenist telephoned had amused herself . <eos>,The cheerleader who the hygenist telephoned had amused herself .
6,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had amused,herself,The mechanic who the hygenist telephoned had amused herself . <eos>,The mechanic who the hygenist telephoned had amused herself .
6,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had amused,herself,The mechanic who the cheerleader telephoned had amused herself . <eos>,The mechanic who the cheerleader telephoned had amused herself .
6,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had amused,herself,The hygenist who the mechanic telephoned had amused herself . <eos>,The hygenist who the mechanic telephoned had amused herself .
6,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had amused,herself,The cheerleader who the mechanic telephoned had amused herself . <eos>,The cheerleader who the mechanic telephoned had amused herself .
7,telephoned,embed,local,1,a,none,none,hygenist,cheerleader,had hurt,herself,The hygenist who the cheerleader telephoned had hurt herself . <eos>,The hygenist who the cheerleader telephoned had hurt herself .
7,telephoned,embed,local,1,b,none,none,cheerleader,hygenist,had hurt,herself,The cheerleader who the hygenist telephoned had hurt herself . <eos>,The cheerleader who the hygenist telephoned had hurt herself .
7,telephoned,embed,nonlocal,0,a,matrix_subj,gender,mechanic,hygenist,had hurt,herself,The mechanic who the hygenist telephoned had hurt herself . <eos>,The mechanic who the hygenist telephoned had hurt herself .
7,telephoned,embed,nonlocal,0,b,matrix_subj,gender,mechanic,cheerleader,had hurt,herself,The mechanic who the cheerleader telephoned had hurt herself . <eos>,The mechanic who the cheerleader telephoned had hurt herself .
7,telephoned,embed,local,1,a,rc_subj,gender,hygenist,mechanic,had hurt,herself,The hygenist who the mechanic telephoned had hurt herself . <eos>,The hygenist who the mechanic telephoned had hurt herself .
7,telephoned,embed,local,1,b,rc_subj,gender,cheerleader,mechanic,had hurt,herself,The cheerleader who the mechanic telephoned had hurt herself . <eos>,The cheerleader who the mechanic telephoned had hurt herself .
