item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,no-c-command,1,a,none,none,girl,mother,saw,her,The girl near the mother saw her . <eos>,The girl near the mother saw her .
1,simple,local,no-c-command,1,b,none,none,mother,girl,saw,her,The mother near the girl saw her . <eos>,The mother near the girl saw her .
1,simple,local,no-c-command,1,a,head,number,girls,mother,saw,her,The girls near the mother saw her . <eos>,The girls near the mother saw her .
1,simple,local,no-c-command,1,b,head,number,mothers,girl,saw,her,The mothers near the girl saw her . <eos>,The mothers near the girl saw her .
1,simple,local,c-command,0,a,distractor,number,girl,mothers,saw,her,The girl near the mothers saw her . <eos>,The girl near the mothers saw her .
1,simple,local,c-command,0,b,distractor,number,mother,girls,saw,her,The mother near the girls saw her . <eos>,The mother near the girls saw her .
2,simple,local,no-c-command,1,a,none,none,girl,mother,established,her,The girl near the mother established her . <eos>,The girl near the mother established her .
2,simple,local,no-c-command,1,b,none,none,mother,girl,established,her,The mother near the girl established her . <eos>,The mother near the girl established her .
2,simple,local,no-c-command,1,a,head,number,girls,mother,established,her,The girls near the mother established her . <eos>,The girls near the mother established her .
2,simple,local,no-c-command,1,b,head,number,mothers,girl,established,her,The mothers near the girl established her . <eos>,The mothers near the girl established her .
2,simple,local,c-command,0,a,distractor,number,girl,mothers,established,her,The girl near the mothers established her . <eos>,The girl near the mothers established her .
2,simple,local,c-command,0,b,distractor,number,mother,girls,established,her,The mother near the girls established her . <eos>,The mother near the girls established her .
3,simple,local,no-c-command,1,a,none,none,girl,mother,devoted,her,The girl near the mother devoted her . <eos>,The girl near the mother devoted her .
3,simple,local,no-c-command,1,b,none,none,mother,girl,devoted,her,The mother near the girl devoted her . <eos>,The mother near the girl devoted her .
3,simple,local,no-c-command,1,a,head,number,girls,mother,devoted,her,The girls near the mother devoted her . <eos>,The girls near the mother devoted her .
3,simple,local,no-c-command,1,b,head,number,mothers,girl,devoted,her,The mothers near the girl devoted her . <eos>,The mothers near the girl devoted her .
3,simple,local,c-command,0,a,distractor,number,girl,mothers,devoted,her,The girl near the mothers devoted her . <eos>,The girl near the mothers devoted her .
3,simple,local,c-command,0,b,distractor,number,mother,girls,devoted,her,The mother near the girls devoted her . <eos>,The mother near the girls devoted her .
4,simple,local,no-c-command,1,a,none,none,girl,mother,considered,her,The girl near the mother considered her . <eos>,The girl near the mother considered her .
4,simple,local,no-c-command,1,b,none,none,mother,girl,considered,her,The mother near the girl considered her . <eos>,The mother near the girl considered her .
4,simple,local,no-c-command,1,a,head,number,girls,mother,considered,her,The girls near the mother considered her . <eos>,The girls near the mother considered her .
4,simple,local,no-c-command,1,b,head,number,mothers,girl,considered,her,The mothers near the girl considered her . <eos>,The mothers near the girl considered her .
4,simple,local,c-command,0,a,distractor,number,girl,mothers,considered,her,The girl near the mothers considered her . <eos>,The girl near the mothers considered her .
4,simple,local,c-command,0,b,distractor,number,mother,girls,considered,her,The mother near the girls considered her . <eos>,The mother near the girls considered her .
5,simple,local,no-c-command,1,a,none,none,girl,mother,identified,her,The girl near the mother identified her . <eos>,The girl near the mother identified her .
5,simple,local,no-c-command,1,b,none,none,mother,girl,identified,her,The mother near the girl identified her . <eos>,The mother near the girl identified her .
5,simple,local,no-c-command,1,a,head,number,girls,mother,identified,her,The girls near the mother identified her . <eos>,The girls near the mother identified her .
5,simple,local,no-c-command,1,b,head,number,mothers,girl,identified,her,The mothers near the girl identified her . <eos>,The mothers near the girl identified her .
5,simple,local,c-command,0,a,distractor,number,girl,mothers,identified,her,The girl near the mothers identified her . <eos>,The girl near the mothers identified her .
5,simple,local,c-command,0,b,distractor,number,mother,girls,identified,her,The mother near the girls identified her . <eos>,The mother near the girls identified her .
6,simple,local,no-c-command,1,a,none,none,girl,mother,made,her,The girl near the mother made her . <eos>,The girl near the mother made her .
6,simple,local,no-c-command,1,b,none,none,mother,girl,made,her,The mother near the girl made her . <eos>,The mother near the girl made her .
