item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys that the fathers liked saw themselves . <eos>,The boys that the fathers liked saw themselves .
1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers that the boys liked saw themselves . <eos>,The fathers that the boys liked saw themselves .
1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls that the mothers liked saw themselves . <eos>,The girls that the mothers liked saw themselves .
1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers that the girls liked saw themselves . <eos>,The mothers that the girls liked saw themselves .
1,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,saw,themselves,The boy that the fathers liked saw themselves . <eos>,The boy that the fathers liked saw themselves .
1,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,saw,themselves,The father that the boys liked saw themselves . <eos>,The father that the boys liked saw themselves .
1,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,saw,themselves,The girl that the mothers liked saw themselves . <eos>,The girl that the mothers liked saw themselves .
1,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,saw,themselves,The mother that the girls liked saw themselves . <eos>,The mother that the girls liked saw themselves .
1,simple,local,c-command,1,a,male,rc_subj,number,boys,father,saw,themselves,The boys that the father liked saw themselves . <eos>,The boys that the father liked saw themselves .
1,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,saw,themselves,The fathers that the boy liked saw themselves . <eos>,The fathers that the boy liked saw themselves .
1,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,saw,themselves,The girls that the mother liked saw themselves . <eos>,The girls that the mother liked saw themselves .
1,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,saw,themselves,The mothers that the girl liked saw themselves . <eos>,The mothers that the girl liked saw themselves .
2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys that the fathers liked established themselves . <eos>,The boys that the fathers liked established themselves .
2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers that the boys liked established themselves . <eos>,The fathers that the boys liked established themselves .
2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls that the mothers liked established themselves . <eos>,The girls that the mothers liked established themselves .
2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers that the girls liked established themselves . <eos>,The mothers that the girls liked established themselves .
2,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,established,themselves,The boy that the fathers liked established themselves . <eos>,The boy that the fathers liked established themselves .
2,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,established,themselves,The father that the boys liked established themselves . <eos>,The father that the boys liked established themselves .
2,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,established,themselves,The girl that the mothers liked established themselves . <eos>,The girl that the mothers liked established themselves .
2,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,established,themselves,The mother that the girls liked established themselves . <eos>,The mother that the girls liked established themselves .
2,simple,local,c-command,1,a,male,rc_subj,number,boys,father,established,themselves,The boys that the father liked established themselves . <eos>,The boys that the father liked established themselves .
2,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,established,themselves,The fathers that the boy liked established themselves . <eos>,The fathers that the boy liked established themselves .
2,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,established,themselves,The girls that the mother liked established themselves . <eos>,The girls that the mother liked established themselves .
