itme,clause_type,locality,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,none,none,none,none,father,man,enjoyed,himself,The father said that the man enjoyed himself . <eos>,The father said that the man enjoyed himself .
1,embed,nonlocal,0,number,none,local_subj,number,father,men,enjoyed,himself,The father said that the men enjoyed himself . <eos>,The father said that the men enjoyed himself .
1,embed,nonlocal,0,gender,none,local_subj,gender,father,woman,enjoyed,himself,The father said that the woman enjoyed himself . <eos>,The father said that the woman enjoyed himself .
1,embed,nonlocal,0,both,none,local_subj,both,father,women,enjoyed,himself,The father said that the women enjoyed himself . <eos>,The father said that the women enjoyed himself .
1,embed,local,1,none,none,nonlocal_subj,number,men,father,enjoyed,himself,The men said that the father enjoyed himself . <eos>,The men said that the father enjoyed himself .
1,embed,local,1,none,number,nonlocal_subj,gender,woman,father,enjoyed,himself,The woman said that the father enjoyed himself . <eos>,The woman said that the father enjoyed himself .
1,embed,local,1,none,gender,nonlocal_subj,both,women,father,enjoyed,himself,The women said that the father enjoyed himself . <eos>,The women said that the father enjoyed himself .
2,embed,local,1,none,none,none,none,brother,man,confused,himself,The brother said that the man confused himself . <eos>,The brother said that the man confused himself .
2,embed,nonlocal,0,number,none,local_subj,number,brother,men,confused,himself,The brother said that the men confused himself . <eos>,The brother said that the men confused himself .
2,embed,nonlocal,0,gender,none,local_subj,gender,brother,woman,confused,himself,The brother said that the woman confused himself . <eos>,The brother said that the woman confused himself .
2,embed,nonlocal,0,both,none,local_subj,both,brother,women,confused,himself,The brother said that the women confused himself . <eos>,The brother said that the women confused himself .
2,embed,local,1,none,none,nonlocal_subj,number,men,brother,confused,himself,The men said that the brother confused himself . <eos>,The men said that the brother confused himself .
2,embed,local,1,none,number,nonlocal_subj,gender,woman,brother,confused,himself,The woman said that the brother confused himself . <eos>,The woman said that the brother confused himself .
2,embed,local,1,none,gender,nonlocal_subj,both,women,brother,confused,himself,The women said that the brother confused himself . <eos>,The women said that the brother confused himself .
3,embed,local,1,none,none,none,none,brother,man,helped,himself,The brother said that the man helped himself . <eos>,The brother said that the man helped himself .
3,embed,nonlocal,0,number,none,local_subj,number,brother,men,helped,himself,The brother said that the men helped himself . <eos>,The brother said that the men helped himself .
3,embed,nonlocal,0,gender,none,local_subj,gender,brother,woman,helped,himself,The brother said that the woman helped himself . <eos>,The brother said that the woman helped himself .
3,embed,nonlocal,0,both,none,local_subj,both,brother,women,helped,himself,The brother said that the women helped himself . <eos>,The brother said that the women helped himself .
3,embed,local,1,none,none,nonlocal_subj,number,men,brother,helped,himself,The men said that the brother helped himself . <eos>,The men said that the brother helped himself .
3,embed,local,1,none,number,nonlocal_subj,gender,woman,brother,helped,himself,The woman said that the brother helped himself . <eos>,The woman said that the brother helped himself .
3,embed,local,1,none,gender,nonlocal_subj,both,women,brother,helped,himself,The women said that the brother helped himself . <eos>,The women said that the brother helped himself .
4,embed,local,1,none,none,none,none,king,man,disappointed,himself,The king said that the man disappointed himself . <eos>,The king said that the man disappointed himself .
4,embed,nonlocal,0,number,none,local_subj,number,king,men,disappointed,himself,The king said that the men disappointed himself . <eos>,The king said that the men disappointed himself .
4,embed,nonlocal,0,gender,none,local_subj,gender,king,woman,disappointed,himself,The king said that the woman disappointed himself . <eos>,The king said that the woman disappointed himself .
4,embed,nonlocal,0,both,none,local_subj,both,king,women,disappointed,himself,The king said that the women disappointed himself . <eos>,The king said that the women disappointed himself .
