,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys near the fathers saw themselves . <eos>,The boys near the fathers saw themselves .,the boys near the fathers saw ***mask*** .,10.786930943487176
1,1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers near the boys saw themselves . <eos>,The fathers near the boys saw themselves .,the fathers near the boys saw ***mask*** .,11.181125407751628
2,1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls near the mothers saw themselves . <eos>,The girls near the mothers saw themselves .,the girls near the mothers saw ***mask*** .,10.837714710097892
3,1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers near the girls saw themselves . <eos>,The mothers near the girls saw themselves .,the mothers near the girls saw ***mask*** .,11.206630365757805
4,1,simple,local,no-c-command,0,a,male,head,number,boy,fathers,saw,themselves,The boy near the fathers saw themselves . <eos>,The boy near the fathers saw themselves .,the boy near the fathers saw ***mask*** .,12.642895454560986
5,1,simple,local,no-c-command,0,b,male,head,number,father,boys,saw,themselves,The father near the boys saw themselves . <eos>,The father near the boys saw themselves .,the father near the boys saw ***mask*** .,11.780441341749
6,1,simple,local,no-c-command,0,a,female,head,number,girl,mothers,saw,themselves,The girl near the mothers saw themselves . <eos>,The girl near the mothers saw themselves .,the girl near the mothers saw ***mask*** .,12.692281655825912
7,1,simple,local,no-c-command,0,b,female,head,number,mother,girls,saw,themselves,The mother near the girls saw themselves . <eos>,The mother near the girls saw themselves .,the mother near the girls saw ***mask*** .,12.34107008793698
8,1,simple,local,c-command,1,a,male,distractor,number,boys,father,saw,themselves,The boys near the father saw themselves . <eos>,The boys near the father saw themselves .,the boys near the father saw ***mask*** .,10.50873870650276
9,1,simple,local,c-command,1,b,male,distractor,number,fathers,boy,saw,themselves,The fathers near the boy saw themselves . <eos>,The fathers near the boy saw themselves .,the fathers near the boy saw ***mask*** .,11.201562907172313
10,1,simple,local,c-command,1,a,female,distractor,number,girls,mother,saw,themselves,The girls near the mother saw themselves . <eos>,The girls near the mother saw themselves .,the girls near the mother saw ***mask*** .,10.97855214818925
11,1,simple,local,c-command,1,b,female,distractor,number,mothers,girl,saw,themselves,The mothers near the girl saw themselves . <eos>,The mothers near the girl saw themselves .,the mothers near the girl saw ***mask*** .,11.315149525978711
12,2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys near the fathers established themselves . <eos>,The boys near the fathers established themselves .,the boys near the fathers established ***mask*** .,1.5444003613789254
13,2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers near the boys established themselves . <eos>,The fathers near the boys established themselves .,the fathers near the boys established ***mask*** .,2.4109991564994964
14,2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls near the mothers established themselves . <eos>,The girls near the mothers established themselves .,the girls near the mothers established ***mask*** .,0.8344835661431114
15,2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers near the girls established themselves . <eos>,The mothers near the girls established themselves .,the mothers near the girls established ***mask*** .,1.263281394061319
16,2,simple,local,no-c-command,0,a,male,head,number,boy,fathers,established,themselves,The boy near the fathers established themselves . <eos>,The boy near the fathers established themselves .,the boy near the fathers established ***mask*** .,2.8782630375153695
17,2,simple,local,no-c-command,0,b,male,head,number,father,boys,established,themselves,The father near the boys established themselves . <eos>,The father near the boys established themselves .,the father near the boys established ***mask*** .,2.4634615499141335
18,2,simple,local,no-c-command,0,a,female,head,number,girl,mothers,established,themselves,The girl near the mothers established themselves . <eos>,The girl near the mothers established themselves .,the girl near the mothers established ***mask*** .,2.378149335697272
19,2,simple,local,no-c-command,0,b,female,head,number,mother,girls,established,themselves,The mother near the girls established themselves . <eos>,The mother near the girls established themselves .,the mother near the girls established ***mask*** .,2.382332224621945
20,2,simple,local,c-command,1,a,male,distractor,number,boys,father,established,themselves,The boys near the father established themselves . <eos>,The boys near the father established themselves .,the boys near the father established ***mask*** .,0.9027085413815522
21,2,simple,local,c-command,1,b,male,distractor,number,fathers,boy,established,themselves,The fathers near the boy established themselves . <eos>,The fathers near the boy established themselves .,the fathers near the boy established ***mask*** .,1.4291666161105205
22,2,simple,local,c-command,1,a,female,distractor,number,girls,mother,established,themselves,The girls near the mother established themselves . <eos>,The girls near the mother established themselves .,the girls near the mother established ***mask*** .,0.7485576084212535
23,2,simple,local,c-command,1,b,female,distractor,number,mothers,girl,established,themselves,The mothers near the girl established themselves . <eos>,The mothers near the girl established themselves .,the mothers near the girl established ***mask*** .,1.004496693622826
24,3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys near the fathers devoted themselves . <eos>,The boys near the fathers devoted themselves .,the boys near the fathers devoted ***mask*** .,0.1338698278830479
25,3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers near the boys devoted themselves . <eos>,The fathers near the boys devoted themselves .,the fathers near the boys devoted ***mask*** .,0.07993033000813211
26,3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls near the mothers devoted themselves . <eos>,The girls near the mothers devoted themselves .,the girls near the mothers devoted ***mask*** .,0.30458498850567617
27,3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers near the girls devoted themselves . <eos>,The mothers near the girls devoted themselves .,the mothers near the girls devoted ***mask*** .,0.1303975912948847
28,3,simple,local,no-c-command,0,a,male,head,number,boy,fathers,devoted,themselves,The boy near the fathers devoted themselves . <eos>,The boy near the fathers devoted themselves .,the boy near the fathers devoted ***mask*** .,6.7027379137672085
29,3,simple,local,no-c-command,0,b,male,head,number,father,boys,devoted,themselves,The father near the boys devoted themselves . <eos>,The father near the boys devoted themselves .,the father near the boys devoted ***mask*** .,2.956583490178735
30,3,simple,local,no-c-command,0,a,female,head,number,girl,mothers,devoted,themselves,The girl near the mothers devoted themselves . <eos>,The girl near the mothers devoted themselves .,the girl near the mothers devoted ***mask*** .,6.218987045168701
31,3,simple,local,no-c-command,0,b,female,head,number,mother,girls,devoted,themselves,The mother near the girls devoted themselves . <eos>,The mother near the girls devoted themselves .,the mother near the girls devoted ***mask*** .,3.8819845947717475
32,3,simple,local,c-command,1,a,male,distractor,number,boys,father,devoted,themselves,The boys near the father devoted themselves . <eos>,The boys near the father devoted themselves .,the boys near the father devoted ***mask*** .,0.2616482382745608
33,3,simple,local,c-command,1,b,male,distractor,number,fathers,boy,devoted,themselves,The fathers near the boy devoted themselves . <eos>,The fathers near the boy devoted themselves .,the fathers near the boy devoted ***mask*** .,0.31405216727739715
34,3,simple,local,c-command,1,a,female,distractor,number,girls,mother,devoted,themselves,The girls near the mother devoted themselves . <eos>,The girls near the mother devoted themselves .,the girls near the mother devoted ***mask*** .,0.7496038427785156
35,3,simple,local,c-command,1,b,female,distractor,number,mothers,girl,devoted,themselves,The mothers near the girl devoted themselves . <eos>,The mothers near the girl devoted themselves .,the mothers near the girl devoted ***mask*** .,0.4752711874449422
36,4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys near the fathers considered themselves . <eos>,The boys near the fathers considered themselves .,the boys near the fathers considered ***mask*** .,10.323649894341717
37,4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers near the boys considered themselves . <eos>,The fathers near the boys considered themselves .,the fathers near the boys considered ***mask*** .,11.394462834682132
38,4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls near the mothers considered themselves . <eos>,The girls near the mothers considered themselves .,the girls near the mothers considered ***mask*** .,10.071986550381654
39,4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers near the girls considered themselves . <eos>,The mothers near the girls considered themselves .,the mothers near the girls considered ***mask*** .,10.70327307504187
40,4,simple,local,no-c-command,0,a,male,head,number,boy,fathers,considered,themselves,The boy near the fathers considered themselves . <eos>,The boy near the fathers considered themselves .,the boy near the fathers considered ***mask*** .,14.519295083637852
41,4,simple,local,no-c-command,0,b,male,head,number,father,boys,considered,themselves,The father near the boys considered themselves . <eos>,The father near the boys considered themselves .,the father near the boys considered ***mask*** .,13.088714724640786
42,4,simple,local,no-c-command,0,a,female,head,number,girl,mothers,considered,themselves,The girl near the mothers considered themselves . <eos>,The girl near the mothers considered themselves .,the girl near the mothers considered ***mask*** .,13.776878556449564
43,4,simple,local,no-c-command,0,b,female,head,number,mother,girls,considered,themselves,The mother near the girls considered themselves . <eos>,The mother near the girls considered themselves .,the mother near the girls considered ***mask*** .,12.807149309953225
44,4,simple,local,c-command,1,a,male,distractor,number,boys,father,considered,themselves,The boys near the father considered themselves . <eos>,The boys near the father considered themselves .,the boys near the father considered ***mask*** .,10.753672558741828
45,4,simple,local,c-command,1,b,male,distractor,number,fathers,boy,considered,themselves,The fathers near the boy considered themselves . <eos>,The fathers near the boy considered themselves .,the fathers near the boy considered ***mask*** .,12.78338186437615
46,4,simple,local,c-command,1,a,female,distractor,number,girls,mother,considered,themselves,The girls near the mother considered themselves . <eos>,The girls near the mother considered themselves .,the girls near the mother considered ***mask*** .,9.656064350225039
47,4,simple,local,c-command,1,b,female,distractor,number,mothers,girl,considered,themselves,The mothers near the girl considered themselves . <eos>,The mothers near the girl considered themselves .,the mothers near the girl considered ***mask*** .,11.466471355272072
48,5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,themselves,The boys near the fathers identified themselves . <eos>,The boys near the fathers identified themselves .,the boys near the fathers identified ***mask*** .,1.6650647139447354
49,5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,themselves,The fathers near the boys identified themselves . <eos>,The fathers near the boys identified themselves .,the fathers near the boys identified ***mask*** .,1.4283144697105499
50,5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,themselves,The girls near the mothers identified themselves . <eos>,The girls near the mothers identified themselves .,the girls near the mothers identified ***mask*** .,0.49195319101747
51,5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,themselves,The mothers near the girls identified themselves . <eos>,The mothers near the girls identified themselves .,the mothers near the girls identified ***mask*** .,0.2665174720581082
52,5,simple,local,no-c-command,0,a,male,head,number,boy,fathers,identified,themselves,The boy near the fathers identified themselves . <eos>,The boy near the fathers identified themselves .,the boy near the fathers identified ***mask*** .,5.413457156664519
53,5,simple,local,no-c-command,0,b,male,head,number,father,boys,identified,themselves,The father near the boys identified themselves . <eos>,The father near the boys identified themselves .,the father near the boys identified ***mask*** .,2.891730798025396
54,5,simple,local,no-c-command,0,a,female,head,number,girl,mothers,identified,themselves,The girl near the mothers identified themselves . <eos>,The girl near the mothers identified themselves .,the girl near the mothers identified ***mask*** .,4.201738735702336
55,5,simple,local,no-c-command,0,b,female,head,number,mother,girls,identified,themselves,The mother near the girls identified themselves . <eos>,The mother near the girls identified themselves .,the mother near the girls identified ***mask*** .,2.6415577858694403
56,5,simple,local,c-command,1,a,male,distractor,number,boys,father,identified,themselves,The boys near the father identified themselves . <eos>,The boys near the father identified themselves .,the boys near the father identified ***mask*** .,0.8060271392615498
57,5,simple,local,c-command,1,b,male,distractor,number,fathers,boy,identified,themselves,The fathers near the boy identified themselves . <eos>,The fathers near the boy identified themselves .,the fathers near the boy identified ***mask*** .,1.9934492849756595
58,5,simple,local,c-command,1,a,female,distractor,number,girls,mother,identified,themselves,The girls near the mother identified themselves . <eos>,The girls near the mother identified themselves .,the girls near the mother identified ***mask*** .,0.41234493068136285
59,5,simple,local,c-command,1,b,female,distractor,number,mothers,girl,identified,themselves,The mothers near the girl identified themselves . <eos>,The mothers near the girl identified themselves .,the mothers near the girl identified ***mask*** .,0.28689021130233205
60,6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,themselves,The boys near the fathers made themselves . <eos>,The boys near the fathers made themselves .,the boys near the fathers made ***mask*** .,11.4547108489403
61,6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,themselves,The fathers near the boys made themselves . <eos>,The fathers near the boys made themselves .,the fathers near the boys made ***mask*** .,12.757539642872228
62,6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,themselves,The girls near the mothers made themselves . <eos>,The girls near the mothers made themselves .,the girls near the mothers made ***mask*** .,11.754696974091189
63,6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,themselves,The mothers near the girls made themselves . <eos>,The mothers near the girls made themselves .,the mothers near the girls made ***mask*** .,12.561078481303973
64,6,simple,local,no-c-command,0,a,male,head,number,boy,fathers,made,themselves,The boy near the fathers made themselves . <eos>,The boy near the fathers made themselves .,the boy near the fathers made ***mask*** .,13.578265285727358
65,6,simple,local,no-c-command,0,b,male,head,number,father,boys,made,themselves,The father near the boys made themselves . <eos>,The father near the boys made themselves .,the father near the boys made ***mask*** .,13.083252636990887
66,6,simple,local,no-c-command,0,a,female,head,number,girl,mothers,made,themselves,The girl near the mothers made themselves . <eos>,The girl near the mothers made themselves .,the girl near the mothers made ***mask*** .,13.796038654359963
67,6,simple,local,no-c-command,0,b,female,head,number,mother,girls,made,themselves,The mother near the girls made themselves . <eos>,The mother near the girls made themselves .,the mother near the girls made ***mask*** .,13.642273640678244
68,6,simple,local,c-command,1,a,male,distractor,number,boys,father,made,themselves,The boys near the father made themselves . <eos>,The boys near the father made themselves .,the boys near the father made ***mask*** .,12.146403080353918
69,6,simple,local,c-command,1,b,male,distractor,number,fathers,boy,made,themselves,The fathers near the boy made themselves . <eos>,The fathers near the boy made themselves .,the fathers near the boy made ***mask*** .,13.649089541159048
70,6,simple,local,c-command,1,a,female,distractor,number,girls,mother,made,themselves,The girls near the mother made themselves . <eos>,The girls near the mother made themselves .,the girls near the mother made ***mask*** .,11.701012136202715
71,6,simple,local,c-command,1,b,female,distractor,number,mothers,girl,made,themselves,The mothers near the girl made themselves . <eos>,The mothers near the girl made themselves .,the mothers near the girl made ***mask*** .,13.371340540170053
72,7,simple,local,c-command,1,a,male,none,none,boys,fathers,found,themselves,The boys near the fathers found themselves . <eos>,The boys near the fathers found themselves .,the boys near the fathers found ***mask*** .,5.517843958398536
73,7,simple,local,c-command,1,b,male,none,none,fathers,boys,found,themselves,The fathers near the boys found themselves . <eos>,The fathers near the boys found themselves .,the fathers near the boys found ***mask*** .,6.8670884900647335
74,7,simple,local,c-command,1,a,female,none,none,girls,mothers,found,themselves,The girls near the mothers found themselves . <eos>,The girls near the mothers found themselves .,the girls near the mothers found ***mask*** .,5.198466380643101
75,7,simple,local,c-command,1,b,female,none,none,mothers,girls,found,themselves,The mothers near the girls found themselves . <eos>,The mothers near the girls found themselves .,the mothers near the girls found ***mask*** .,5.697439163623642
76,7,simple,local,no-c-command,0,a,male,head,number,boy,fathers,found,themselves,The boy near the fathers found themselves . <eos>,The boy near the fathers found themselves .,the boy near the fathers found ***mask*** .,10.017615108523511
77,7,simple,local,no-c-command,0,b,male,head,number,father,boys,found,themselves,The father near the boys found themselves . <eos>,The father near the boys found themselves .,the father near the boys found ***mask*** .,8.493776813828369
78,7,simple,local,no-c-command,0,a,female,head,number,girl,mothers,found,themselves,The girl near the mothers found themselves . <eos>,The girl near the mothers found themselves .,the girl near the mothers found ***mask*** .,9.671932959058392
79,7,simple,local,no-c-command,0,b,female,head,number,mother,girls,found,themselves,The mother near the girls found themselves . <eos>,The mother near the girls found themselves .,the mother near the girls found ***mask*** .,8.561400764988472
80,7,simple,local,c-command,1,a,male,distractor,number,boys,father,found,themselves,The boys near the father found themselves . <eos>,The boys near the father found themselves .,the boys near the father found ***mask*** .,6.090498182973359
81,7,simple,local,c-command,1,b,male,distractor,number,fathers,boy,found,themselves,The fathers near the boy found themselves . <eos>,The fathers near the boy found themselves .,the fathers near the boy found ***mask*** .,8.14373026230173
82,7,simple,local,c-command,1,a,female,distractor,number,girls,mother,found,themselves,The girls near the mother found themselves . <eos>,The girls near the mother found themselves .,the girls near the mother found ***mask*** .,6.382107623448026
83,7,simple,local,c-command,1,b,female,distractor,number,mothers,girl,found,themselves,The mothers near the girl found themselves . <eos>,The mothers near the girl found themselves .,the mothers near the girl found ***mask*** .,7.766452582903571
84,8,simple,local,c-command,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys near the fathers distinguished themselves . <eos>,The boys near the fathers distinguished themselves .,the boys near the fathers distinguished ***mask*** .,0.004787245775364142
85,8,simple,local,c-command,1,b,male,none,none,fathers,boys,distinguished,themselves,The fathers near the boys distinguished themselves . <eos>,The fathers near the boys distinguished themselves .,the fathers near the boys distinguished ***mask*** .,0.00398672975988898
86,8,simple,local,c-command,1,a,female,none,none,girls,mothers,distinguished,themselves,The girls near the mothers distinguished themselves . <eos>,The girls near the mothers distinguished themselves .,the girls near the mothers distinguished ***mask*** .,0.009120113007020791
87,8,simple,local,c-command,1,b,female,none,none,mothers,girls,distinguished,themselves,The mothers near the girls distinguished themselves . <eos>,The mothers near the girls distinguished themselves .,the mothers near the girls distinguished ***mask*** .,0.003732030945890446
88,8,simple,local,no-c-command,0,a,male,head,number,boy,fathers,distinguished,themselves,The boy near the fathers distinguished themselves . <eos>,The boy near the fathers distinguished themselves .,the boy near the fathers distinguished ***mask*** .,3.361729820341678
89,8,simple,local,no-c-command,0,b,male,head,number,father,boys,distinguished,themselves,The father near the boys distinguished themselves . <eos>,The father near the boys distinguished themselves .,the father near the boys distinguished ***mask*** .,0.6766231629819959
90,8,simple,local,no-c-command,0,a,female,head,number,girl,mothers,distinguished,themselves,The girl near the mothers distinguished themselves . <eos>,The girl near the mothers distinguished themselves .,the girl near the mothers distinguished ***mask*** .,2.031465207639886
