item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,surgeon,sergeant,had admired,himself,The surgeon said that the sergeant had admired himself . <eos>,The surgeon said that the sergeant had admired himself .
1,embed,local,1,b,none,none,sergeant,surgeon,had admired,himself,The sergeant said that the surgeon had admired himself . <eos>,The sergeant said that the surgeon had admired himself .
1,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had admired,himself,The maid said that the surgeon had admired himself . <eos>,The maid said that the surgeon had admired himself .
1,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had admired,himself,The maid said that the sergeant had admired himself . <eos>,The maid said that the sergeant had admired himself .
1,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had admired,himself,The surgeon said that the maid had admired himself . <eos>,The surgeon said that the maid had admired himself .
1,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had admired,himself,The sergeant said that the maid had admired himself . <eos>,The sergeant said that the maid had admired himself .
2,embed,local,1,a,none,none,surgeon,sergeant,had convinced,himself,The surgeon said that the sergeant had convinced himself . <eos>,The surgeon said that the sergeant had convinced himself .
2,embed,local,1,b,none,none,sergeant,surgeon,had convinced,himself,The sergeant said that the surgeon had convinced himself . <eos>,The sergeant said that the surgeon had convinced himself .
2,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,had convinced,himself,The maid said that the surgeon had convinced himself . <eos>,The maid said that the surgeon had convinced himself .
2,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,had convinced,himself,The maid said that the sergeant had convinced himself . <eos>,The maid said that the sergeant had convinced himself .
2,embed,nonlocal,0,a,local_subj,gender,surgeon,maid,had convinced,himself,The surgeon said that the maid had convinced himself . <eos>,The surgeon said that the maid had convinced himself .
2,embed,nonlocal,0,b,local_subj,gender,sergeant,maid,had convinced,himself,The sergeant said that the maid had convinced himself . <eos>,The sergeant said that the maid had convinced himself .
3,embed,local,1,a,none,none,surgeon,sergeant,saw,himself,The surgeon said that the sergeant saw himself . <eos>,The surgeon said that the sergeant saw himself .
3,embed,local,1,b,none,none,sergeant,surgeon,saw,himself,The sergeant said that the surgeon saw himself . <eos>,The sergeant said that the surgeon saw himself .
3,embed,local,1,a,nonlocal_subj,gender,maid,surgeon,saw,himself,The maid said that the surgeon saw himself . <eos>,The maid said that the surgeon saw himself .
3,embed,local,1,b,nonlocal_subj,gender,maid,sergeant,saw,himself,The maid said that the sergeant saw himself . <eos>,The maid said that the sergeant saw himself .
