item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,mechanics,authors,hurt,themselves,The mechanics said that the authors hurt themselves . <eos>,The mechanics said that the authors hurt themselves .
1,embed,local,1,b,none,none,authors,mechanics,hurt,themselves,The authors said that the mechanics hurt themselves . <eos>,The authors said that the mechanics hurt themselves .
1,embed,local,1,c,none,none,bankers,authors,hurt,themselves,The bankers said that the authors hurt themselves . <eos>,The bankers said that the authors hurt themselves .
1,embed,local,1,d,none,none,authors,bankers,hurt,themselves,The authors said that the bankers hurt themselves . <eos>,The authors said that the bankers hurt themselves .
1,embed,nonlocal,0,a,local_subj,number,mechanics,author,hurt,themselves,The mechanics said that the author hurt themselves . <eos>,The mechanics said that the author hurt themselves .
1,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hurt,themselves,The authors said that the mechanic hurt themselves . <eos>,The authors said that the mechanic hurt themselves .
1,embed,nonlocal,0,c,local_subj,number,bankers,author,hurt,themselves,The bankers said that the author hurt themselves . <eos>,The bankers said that the author hurt themselves .
1,embed,nonlocal,0,d,local_subj,number,authors,banker,hurt,themselves,The authors said that the banker hurt themselves . <eos>,The authors said that the banker hurt themselves .
1,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hurt,themselves,The mechanic said that the authors hurt themselves . <eos>,The mechanic said that the authors hurt themselves .
1,embed,local,1,b,nonlocal_subj,number,author,mechanics,hurt,themselves,The author said that the mechanics hurt themselves . <eos>,The author said that the mechanics hurt themselves .
1,embed,local,1,c,nonlocal_subj,number,banker,authors,hurt,themselves,The banker said that the authors hurt themselves . <eos>,The banker said that the authors hurt themselves .
1,embed,local,1,d,nonlocal_subj,number,author,bankers,hurt,themselves,The author said that the bankers hurt themselves . <eos>,The author said that the bankers hurt themselves .
2,embed,local,1,a,none,none,mechanics,authors,injured,themselves,The mechanics said that the authors injured themselves . <eos>,The mechanics said that the authors injured themselves .
2,embed,local,1,b,none,none,authors,mechanics,injured,themselves,The authors said that the mechanics injured themselves . <eos>,The authors said that the mechanics injured themselves .
2,embed,local,1,c,none,none,bankers,authors,injured,themselves,The bankers said that the authors injured themselves . <eos>,The bankers said that the authors injured themselves .
2,embed,local,1,d,none,none,authors,bankers,injured,themselves,The authors said that the bankers injured themselves . <eos>,The authors said that the bankers injured themselves .
2,embed,nonlocal,0,a,local_subj,number,mechanics,author,injured,themselves,The mechanics said that the author injured themselves . <eos>,The mechanics said that the author injured themselves .
2,embed,nonlocal,0,b,local_subj,number,authors,mechanic,injured,themselves,The authors said that the mechanic injured themselves . <eos>,The authors said that the mechanic injured themselves .
2,embed,nonlocal,0,c,local_subj,number,bankers,author,injured,themselves,The bankers said that the author injured themselves . <eos>,The bankers said that the author injured themselves .
2,embed,nonlocal,0,d,local_subj,number,authors,banker,injured,themselves,The authors said that the banker injured themselves . <eos>,The authors said that the banker injured themselves .
2,embed,local,1,a,nonlocal_subj,number,mechanic,authors,injured,themselves,The mechanic said that the authors injured themselves . <eos>,The mechanic said that the authors injured themselves .
2,embed,local,1,b,nonlocal_subj,number,author,mechanics,injured,themselves,The author said that the mechanics injured themselves . <eos>,The author said that the mechanics injured themselves .
2,embed,local,1,c,nonlocal_subj,number,banker,authors,injured,themselves,The banker said that the authors injured themselves . <eos>,The banker said that the authors injured themselves .
