item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,hygenist,cheerleader,had admired,herself,The hygenist said that the cheerleader had admired herself . <eos>,The hygenist said that the cheerleader had admired herself .
1,embed,local,1,b,none,none,cheerleader,hygenist,had admired,herself,The cheerleader said that the hygenist had admired herself . <eos>,The cheerleader said that the hygenist had admired herself .
1,embed,local,1,a,nonlocal_subj,gender,mechanic,hygenist,had admired,herself,The mechanic said that the hygenist had admired herself . <eos>,The mechanic said that the hygenist had admired herself .
1,embed,local,1,b,nonlocal_subj,gender,mechanic,cheerleader,had admired,herself,The mechanic said that the cheerleader had admired herself . <eos>,The mechanic said that the cheerleader had admired herself .
1,embed,nonlocal,0,a,local_subj,gender,hygenist,mechanic,had admired,herself,The hygenist said that the mechanic had admired herself . <eos>,The hygenist said that the mechanic had admired herself .
1,embed,nonlocal,0,b,local_subj,gender,cheerleader,mechanic,had admired,herself,The cheerleader said that the mechanic had admired herself . <eos>,The cheerleader said that the mechanic had admired herself .
2,embed,local,1,a,none,none,hygenist,cheerleader,had convinced,herself,The hygenist said that the cheerleader had convinced herself . <eos>,The hygenist said that the cheerleader had convinced herself .
2,embed,local,1,b,none,none,cheerleader,hygenist,had convinced,herself,The cheerleader said that the hygenist had convinced herself . <eos>,The cheerleader said that the hygenist had convinced herself .
2,embed,local,1,a,nonlocal_subj,gender,mechanic,hygenist,had convinced,herself,The mechanic said that the hygenist had convinced herself . <eos>,The mechanic said that the hygenist had convinced herself .
2,embed,local,1,b,nonlocal_subj,gender,mechanic,cheerleader,had convinced,herself,The mechanic said that the cheerleader had convinced herself . <eos>,The mechanic said that the cheerleader had convinced herself .
2,embed,nonlocal,0,a,local_subj,gender,hygenist,mechanic,had convinced,herself,The hygenist said that the mechanic had convinced herself . <eos>,The hygenist said that the mechanic had convinced herself .
2,embed,nonlocal,0,b,local_subj,gender,cheerleader,mechanic,had convinced,herself,The cheerleader said that the mechanic had convinced herself . <eos>,The cheerleader said that the mechanic had convinced herself .
3,embed,local,1,a,none,none,hygenist,cheerleader,saw,herself,The hygenist said that the cheerleader saw herself . <eos>,The hygenist said that the cheerleader saw herself .
3,embed,local,1,b,none,none,cheerleader,hygenist,saw,herself,The cheerleader said that the hygenist saw herself . <eos>,The cheerleader said that the hygenist saw herself .
3,embed,local,1,a,nonlocal_subj,gender,mechanic,hygenist,saw,herself,The mechanic said that the hygenist saw herself . <eos>,The mechanic said that the hygenist saw herself .
3,embed,local,1,b,nonlocal_subj,gender,mechanic,cheerleader,saw,herself,The mechanic said that the cheerleader saw herself . <eos>,The mechanic said that the cheerleader saw herself .
3,embed,nonlocal,0,a,local_subj,gender,hygenist,mechanic,saw,herself,The hygenist said that the mechanic saw herself . <eos>,The hygenist said that the mechanic saw herself .
