item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,nonlocal,1,a,none,none,girl,mother,saw,her,The girl said that the mother saw her . <eos>,The girl said that the mother saw her .
1,embed,nonlocal,1,b,none,none,mother,girl,saw,her,The mother said that the girl saw her . <eos>,The mother said that the girl saw her .
1,embed,local,0,a,nonlocal_subj,number,girls,mother,saw,her,The girls said that the mother saw her . <eos>,The girls said that the mother saw her .
1,embed,local,0,b,nonlocal_subj,number,mothers,girl,saw,her,The mothers said that the girl saw her . <eos>,The mothers said that the girl saw her .
1,embed,nonlocal,1,a,local_subj,number,girl,mothers,saw,her,The girl said that the mothers saw her . <eos>,The girl said that the mothers saw her .
1,embed,nonlocal,1,b,local_subj,number,mother,girls,saw,her,The mother said that the girls saw her . <eos>,The mother said that the girls saw her .
2,embed,nonlocal,1,a,none,none,girl,mother,established,her,The girl said that the mother established her . <eos>,The girl said that the mother established her .
2,embed,nonlocal,1,b,none,none,mother,girl,established,her,The mother said that the girl established her . <eos>,The mother said that the girl established her .
2,embed,local,0,a,nonlocal_subj,number,girls,mother,established,her,The girls said that the mother established her . <eos>,The girls said that the mother established her .
2,embed,local,0,b,nonlocal_subj,number,mothers,girl,established,her,The mothers said that the girl established her . <eos>,The mothers said that the girl established her .
2,embed,nonlocal,1,a,local_subj,number,girl,mothers,established,her,The girl said that the mothers established her . <eos>,The girl said that the mothers established her .
2,embed,nonlocal,1,b,local_subj,number,mother,girls,established,her,The mother said that the girls established her . <eos>,The mother said that the girls established her .
3,embed,nonlocal,1,a,none,none,girl,mother,devoted,her,The girl said that the mother devoted her . <eos>,The girl said that the mother devoted her .
3,embed,nonlocal,1,b,none,none,mother,girl,devoted,her,The mother said that the girl devoted her . <eos>,The mother said that the girl devoted her .
3,embed,local,0,a,nonlocal_subj,number,girls,mother,devoted,her,The girls said that the mother devoted her . <eos>,The girls said that the mother devoted her .
3,embed,local,0,b,nonlocal_subj,number,mothers,girl,devoted,her,The mothers said that the girl devoted her . <eos>,The mothers said that the girl devoted her .
3,embed,nonlocal,1,a,local_subj,number,girl,mothers,devoted,her,The girl said that the mothers devoted her . <eos>,The girl said that the mothers devoted her .
3,embed,nonlocal,1,b,local_subj,number,mother,girls,devoted,her,The mother said that the girls devoted her . <eos>,The mother said that the girls devoted her .
4,embed,nonlocal,1,a,none,none,girl,mother,considered,her,The girl said that the mother considered her . <eos>,The girl said that the mother considered her .
4,embed,nonlocal,1,b,none,none,mother,girl,considered,her,The mother said that the girl considered her . <eos>,The mother said that the girl considered her .
4,embed,local,0,a,nonlocal_subj,number,girls,mother,considered,her,The girls said that the mother considered her . <eos>,The girls said that the mother considered her .
4,embed,local,0,b,nonlocal_subj,number,mothers,girl,considered,her,The mothers said that the girl considered her . <eos>,The mothers said that the girl considered her .
4,embed,nonlocal,1,a,local_subj,number,girl,mothers,considered,her,The girl said that the mothers considered her . <eos>,The girl said that the mothers considered her .
4,embed,nonlocal,1,b,local_subj,number,mother,girls,considered,her,The mother said that the girls considered her . <eos>,The mother said that the girls considered her .
5,embed,nonlocal,1,a,none,none,girl,mother,identified,her,The girl said that the mother identified her . <eos>,The girl said that the mother identified her .
5,embed,nonlocal,1,b,none,none,mother,girl,identified,her,The mother said that the girl identified her . <eos>,The mother said that the girl identified her .
5,embed,local,0,a,nonlocal_subj,number,girls,mother,identified,her,The girls said that the mother identified her . <eos>,The girls said that the mother identified her .
5,embed,local,0,b,nonlocal_subj,number,mothers,girl,identified,her,The mothers said that the girl identified her . <eos>,The mothers said that the girl identified her .
5,embed,nonlocal,1,a,local_subj,number,girl,mothers,identified,her,The girl said that the mothers identified her . <eos>,The girl said that the mothers identified her .
5,embed,nonlocal,1,b,local_subj,number,mother,girls,identified,her,The mother said that the girls identified her . <eos>,The mother said that the girls identified her .
6,embed,nonlocal,1,a,none,none,girl,mother,made,her,The girl said that the mother made her . <eos>,The girl said that the mother made her .
6,embed,nonlocal,1,b,none,none,mother,girl,made,her,The mother said that the girl made her . <eos>,The mother said that the girl made her .
6,embed,local,0,a,nonlocal_subj,number,girls,mother,made,her,The girls said that the mother made her . <eos>,The girls said that the mother made her .
6,embed,local,0,b,nonlocal_subj,number,mothers,girl,made,her,The mothers said that the girl made her . <eos>,The mothers said that the girl made her .
6,embed,nonlocal,1,a,local_subj,number,girl,mothers,made,her,The girl said that the mothers made her . <eos>,The girl said that the mothers made her .
6,embed,nonlocal,1,b,local_subj,number,mother,girls,made,her,The mother said that the girls made her . <eos>,The mother said that the girls made her .
7,embed,nonlocal,1,a,none,none,girl,mother,found,her,The girl said that the mother found her . <eos>,The girl said that the mother found her .
7,embed,nonlocal,1,b,none,none,mother,girl,found,her,The mother said that the girl found her . <eos>,The mother said that the girl found her .
7,embed,local,0,a,nonlocal_subj,number,girls,mother,found,her,The girls said that the mother found her . <eos>,The girls said that the mother found her .
7,embed,local,0,b,nonlocal_subj,number,mothers,girl,found,her,The mothers said that the girl found her . <eos>,The mothers said that the girl found her .
7,embed,nonlocal,1,a,local_subj,number,girl,mothers,found,her,The girl said that the mothers found her . <eos>,The girl said that the mothers found her .
7,embed,nonlocal,1,b,local_subj,number,mother,girls,found,her,The mother said that the girls found her . <eos>,The mother said that the girls found her .
8,embed,nonlocal,1,a,none,none,girl,mother,distinguished,her,The girl said that the mother distinguished her . <eos>,The girl said that the mother distinguished her .
8,embed,nonlocal,1,b,none,none,mother,girl,distinguished,her,The mother said that the girl distinguished her . <eos>,The mother said that the girl distinguished her .
8,embed,local,0,a,nonlocal_subj,number,girls,mother,distinguished,her,The girls said that the mother distinguished her . <eos>,The girls said that the mother distinguished her .
8,embed,local,0,b,nonlocal_subj,number,mothers,girl,distinguished,her,The mothers said that the girl distinguished her . <eos>,The mothers said that the girl distinguished her .
8,embed,nonlocal,1,a,local_subj,number,girl,mothers,distinguished,her,The girl said that the mothers distinguished her . <eos>,The girl said that the mothers distinguished her .
8,embed,nonlocal,1,b,local_subj,number,mother,girls,distinguished,her,The mother said that the girls distinguished her . <eos>,The mother said that the girls distinguished her .
9,embed,nonlocal,1,a,none,none,girl,mother,taught,her,The girl said that the mother taught her . <eos>,The girl said that the mother taught her .
9,embed,nonlocal,1,b,none,none,mother,girl,taught,her,The mother said that the girl taught her . <eos>,The mother said that the girl taught her .
9,embed,local,0,a,nonlocal_subj,number,girls,mother,taught,her,The girls said that the mother taught her . <eos>,The girls said that the mother taught her .
9,embed,local,0,b,nonlocal_subj,number,mothers,girl,taught,her,The mothers said that the girl taught her . <eos>,The mothers said that the girl taught her .
9,embed,nonlocal,1,a,local_subj,number,girl,mothers,taught,her,The girl said that the mothers taught her . <eos>,The girl said that the mothers taught her .
9,embed,nonlocal,1,b,local_subj,number,mother,girls,taught,her,The mother said that the girls taught her . <eos>,The mother said that the girls taught her .
10,embed,nonlocal,1,a,none,none,girl,mother,killed,her,The girl said that the mother killed her . <eos>,The girl said that the mother killed her .
10,embed,nonlocal,1,b,none,none,mother,girl,killed,her,The mother said that the girl killed her . <eos>,The mother said that the girl killed her .
10,embed,local,0,a,nonlocal_subj,number,girls,mother,killed,her,The girls said that the mother killed her . <eos>,The girls said that the mother killed her .
10,embed,local,0,b,nonlocal_subj,number,mothers,girl,killed,her,The mothers said that the girl killed her . <eos>,The mothers said that the girl killed her .
10,embed,nonlocal,1,a,local_subj,number,girl,mothers,killed,her,The girl said that the mothers killed her . <eos>,The girl said that the mothers killed her .
10,embed,nonlocal,1,b,local_subj,number,mother,girls,killed,her,The mother said that the girls killed her . <eos>,The mother said that the girls killed her .
11,embed,nonlocal,1,a,none,none,girl,mother,called,her,The girl said that the mother called her . <eos>,The girl said that the mother called her .
11,embed,nonlocal,1,b,none,none,mother,girl,called,her,The mother said that the girl called her . <eos>,The mother said that the girl called her .
11,embed,local,0,a,nonlocal_subj,number,girls,mother,called,her,The girls said that the mother called her . <eos>,The girls said that the mother called her .
11,embed,local,0,b,nonlocal_subj,number,mothers,girl,called,her,The mothers said that the girl called her . <eos>,The mothers said that the girl called her .
11,embed,nonlocal,1,a,local_subj,number,girl,mothers,called,her,The girl said that the mothers called her . <eos>,The girl said that the mothers called her .
11,embed,nonlocal,1,b,local_subj,number,mother,girls,called,her,The mother said that the girls called her . <eos>,The mother said that the girls called her .
12,embed,nonlocal,1,a,none,none,girl,mother,dedicated,her,The girl said that the mother dedicated her . <eos>,The girl said that the mother dedicated her .
12,embed,nonlocal,1,b,none,none,mother,girl,dedicated,her,The mother said that the girl dedicated her . <eos>,The mother said that the girl dedicated her .
12,embed,local,0,a,nonlocal_subj,number,girls,mother,dedicated,her,The girls said that the mother dedicated her . <eos>,The girls said that the mother dedicated her .
12,embed,local,0,b,nonlocal_subj,number,mothers,girl,dedicated,her,The mothers said that the girl dedicated her . <eos>,The mothers said that the girl dedicated her .
12,embed,nonlocal,1,a,local_subj,number,girl,mothers,dedicated,her,The girl said that the mothers dedicated her . <eos>,The girl said that the mothers dedicated her .
12,embed,nonlocal,1,b,local_subj,number,mother,girls,dedicated,her,The mother said that the girls dedicated her . <eos>,The mother said that the girls dedicated her .
13,embed,nonlocal,1,a,none,none,girl,mother,declared,her,The girl said that the mother declared her . <eos>,The girl said that the mother declared her .
13,embed,nonlocal,1,b,none,none,mother,girl,declared,her,The mother said that the girl declared her . <eos>,The mother said that the girl declared her .
13,embed,local,0,a,nonlocal_subj,number,girls,mother,declared,her,The girls said that the mother declared her . <eos>,The girls said that the mother declared her .
13,embed,local,0,b,nonlocal_subj,number,mothers,girl,declared,her,The mothers said that the girl declared her . <eos>,The mothers said that the girl declared her .
13,embed,nonlocal,1,a,local_subj,number,girl,mothers,declared,her,The girl said that the mothers declared her . <eos>,The girl said that the mothers declared her .
13,embed,nonlocal,1,b,local_subj,number,mother,girls,declared,her,The mother said that the girls declared her . <eos>,The mother said that the girls declared her .
14,embed,nonlocal,1,a,none,none,girl,mother,proved,her,The girl said that the mother proved her . <eos>,The girl said that the mother proved her .
14,embed,nonlocal,1,b,none,none,mother,girl,proved,her,The mother said that the girl proved her . <eos>,The mother said that the girl proved her .
14,embed,local,0,a,nonlocal_subj,number,girls,mother,proved,her,The girls said that the mother proved her . <eos>,The girls said that the mother proved her .
14,embed,local,0,b,nonlocal_subj,number,mothers,girl,proved,her,The mothers said that the girl proved her . <eos>,The mothers said that the girl proved her .
14,embed,nonlocal,1,a,local_subj,number,girl,mothers,proved,her,The girl said that the mothers proved her . <eos>,The girl said that the mothers proved her .
14,embed,nonlocal,1,b,local_subj,number,mother,girls,proved,her,The mother said that the girls proved her . <eos>,The mother said that the girls proved her .
15,embed,nonlocal,1,a,none,none,girl,mother,shot,her,The girl said that the mother shot her . <eos>,The girl said that the mother shot her .
15,embed,nonlocal,1,b,none,none,mother,girl,shot,her,The mother said that the girl shot her . <eos>,The mother said that the girl shot her .
15,embed,local,0,a,nonlocal_subj,number,girls,mother,shot,her,The girls said that the mother shot her . <eos>,The girls said that the mother shot her .
15,embed,local,0,b,nonlocal_subj,number,mothers,girl,shot,her,The mothers said that the girl shot her . <eos>,The mothers said that the girl shot her .
15,embed,nonlocal,1,a,local_subj,number,girl,mothers,shot,her,The girl said that the mothers shot her . <eos>,The girl said that the mothers shot her .
15,embed,nonlocal,1,b,local_subj,number,mother,girls,shot,her,The mother said that the girls shot her . <eos>,The mother said that the girls shot her .
16,embed,nonlocal,1,a,none,none,girl,daughter,saw,her,The girl said that the daughter saw her . <eos>,The girl said that the daughter saw her .
16,embed,nonlocal,1,b,none,none,daughter,girl,saw,her,The daughter said that the girl saw her . <eos>,The daughter said that the girl saw her .
16,embed,local,0,a,nonlocal_subj,number,girls,daughter,saw,her,The girls said that the daughter saw her . <eos>,The girls said that the daughter saw her .
16,embed,local,0,b,nonlocal_subj,number,daughters,girl,saw,her,The daughters said that the girl saw her . <eos>,The daughters said that the girl saw her .
16,embed,nonlocal,1,a,local_subj,number,girl,daughters,saw,her,The girl said that the daughters saw her . <eos>,The girl said that the daughters saw her .
16,embed,nonlocal,1,b,local_subj,number,daughter,girls,saw,her,The daughter said that the girls saw her . <eos>,The daughter said that the girls saw her .
17,embed,nonlocal,1,a,none,none,girl,daughter,established,her,The girl said that the daughter established her . <eos>,The girl said that the daughter established her .
17,embed,nonlocal,1,b,none,none,daughter,girl,established,her,The daughter said that the girl established her . <eos>,The daughter said that the girl established her .
17,embed,local,0,a,nonlocal_subj,number,girls,daughter,established,her,The girls said that the daughter established her . <eos>,The girls said that the daughter established her .
17,embed,local,0,b,nonlocal_subj,number,daughters,girl,established,her,The daughters said that the girl established her . <eos>,The daughters said that the girl established her .
17,embed,nonlocal,1,a,local_subj,number,girl,daughters,established,her,The girl said that the daughters established her . <eos>,The girl said that the daughters established her .
17,embed,nonlocal,1,b,local_subj,number,daughter,girls,established,her,The daughter said that the girls established her . <eos>,The daughter said that the girls established her .
18,embed,nonlocal,1,a,none,none,girl,daughter,devoted,her,The girl said that the daughter devoted her . <eos>,The girl said that the daughter devoted her .
18,embed,nonlocal,1,b,none,none,daughter,girl,devoted,her,The daughter said that the girl devoted her . <eos>,The daughter said that the girl devoted her .
18,embed,local,0,a,nonlocal_subj,number,girls,daughter,devoted,her,The girls said that the daughter devoted her . <eos>,The girls said that the daughter devoted her .
18,embed,local,0,b,nonlocal_subj,number,daughters,girl,devoted,her,The daughters said that the girl devoted her . <eos>,The daughters said that the girl devoted her .
18,embed,nonlocal,1,a,local_subj,number,girl,daughters,devoted,her,The girl said that the daughters devoted her . <eos>,The girl said that the daughters devoted her .
18,embed,nonlocal,1,b,local_subj,number,daughter,girls,devoted,her,The daughter said that the girls devoted her . <eos>,The daughter said that the girls devoted her .
19,embed,nonlocal,1,a,none,none,girl,daughter,considered,her,The girl said that the daughter considered her . <eos>,The girl said that the daughter considered her .
19,embed,nonlocal,1,b,none,none,daughter,girl,considered,her,The daughter said that the girl considered her . <eos>,The daughter said that the girl considered her .
19,embed,local,0,a,nonlocal_subj,number,girls,daughter,considered,her,The girls said that the daughter considered her . <eos>,The girls said that the daughter considered her .
