item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic said that the author hurt herself . <eos>,The mechanic said that the author hurt herself .
1,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author said that the mechanic hurt herself . <eos>,The author said that the mechanic hurt herself .
1,embed,local,1,c,none,none,banker,author,hurt,herself,The banker said that the author hurt herself . <eos>,The banker said that the author hurt herself .
1,embed,local,1,d,none,none,author,banker,hurt,herself,The author said that the banker hurt herself . <eos>,The author said that the banker hurt herself .
1,embed,local,1,a,nonlocal_subj,number,mechanics,author,hurt,herself,The mechanics said that the author hurt herself . <eos>,The mechanics said that the author hurt herself .
1,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hurt,herself,The authors said that the mechanic hurt herself . <eos>,The authors said that the mechanic hurt herself .
1,embed,local,1,c,nonlocal_subj,number,bankers,author,hurt,herself,The bankers said that the author hurt herself . <eos>,The bankers said that the author hurt herself .
1,embed,local,1,d,nonlocal_subj,number,authors,banker,hurt,herself,The authors said that the banker hurt herself . <eos>,The authors said that the banker hurt herself .
1,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hurt,herself,The mechanic said that the authors hurt herself . <eos>,The mechanic said that the authors hurt herself .
1,embed,nonlocal,0,b,local_subj,number,author,mechanics,hurt,herself,The author said that the mechanics hurt herself . <eos>,The author said that the mechanics hurt herself .
1,embed,nonlocal,0,c,local_subj,number,banker,authors,hurt,herself,The banker said that the authors hurt herself . <eos>,The banker said that the authors hurt herself .
1,embed,nonlocal,0,d,local_subj,number,author,bankers,hurt,herself,The author said that the bankers hurt herself . <eos>,The author said that the bankers hurt herself .
2,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic said that the author injured herself . <eos>,The mechanic said that the author injured herself .
2,embed,local,1,b,none,none,author,mechanic,injured,herself,The author said that the mechanic injured herself . <eos>,The author said that the mechanic injured herself .
2,embed,local,1,c,none,none,banker,author,injured,herself,The banker said that the author injured herself . <eos>,The banker said that the author injured herself .
2,embed,local,1,d,none,none,author,banker,injured,herself,The author said that the banker injured herself . <eos>,The author said that the banker injured herself .
2,embed,local,1,a,nonlocal_subj,number,mechanics,author,injured,herself,The mechanics said that the author injured herself . <eos>,The mechanics said that the author injured herself .
2,embed,local,1,b,nonlocal_subj,number,authors,mechanic,injured,herself,The authors said that the mechanic injured herself . <eos>,The authors said that the mechanic injured herself .
2,embed,local,1,c,nonlocal_subj,number,bankers,author,injured,herself,The bankers said that the author injured herself . <eos>,The bankers said that the author injured herself .
2,embed,local,1,d,nonlocal_subj,number,authors,banker,injured,herself,The authors said that the banker injured herself . <eos>,The authors said that the banker injured herself .
2,embed,nonlocal,0,a,local_subj,number,mechanic,authors,injured,herself,The mechanic said that the authors injured herself . <eos>,The mechanic said that the authors injured herself .
2,embed,nonlocal,0,b,local_subj,number,author,mechanics,injured,herself,The author said that the mechanics injured herself . <eos>,The author said that the mechanics injured herself .
2,embed,nonlocal,0,c,local_subj,number,banker,authors,injured,herself,The banker said that the authors injured herself . <eos>,The banker said that the authors injured herself .
2,embed,nonlocal,0,d,local_subj,number,author,bankers,injured,herself,The author said that the bankers injured herself . <eos>,The author said that the bankers injured herself .
3,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic said that the author congratulated herself . <eos>,The mechanic said that the author congratulated herself .
3,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author said that the mechanic congratulated herself . <eos>,The author said that the mechanic congratulated herself .
3,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker said that the author congratulated herself . <eos>,The banker said that the author congratulated herself .
3,embed,local,1,d,none,none,author,banker,congratulated,herself,The author said that the banker congratulated herself . <eos>,The author said that the banker congratulated herself .
3,embed,local,1,a,nonlocal_subj,number,mechanics,author,congratulated,herself,The mechanics said that the author congratulated herself . <eos>,The mechanics said that the author congratulated herself .
3,embed,local,1,b,nonlocal_subj,number,authors,mechanic,congratulated,herself,The authors said that the mechanic congratulated herself . <eos>,The authors said that the mechanic congratulated herself .
3,embed,local,1,c,nonlocal_subj,number,bankers,author,congratulated,herself,The bankers said that the author congratulated herself . <eos>,The bankers said that the author congratulated herself .
3,embed,local,1,d,nonlocal_subj,number,authors,banker,congratulated,herself,The authors said that the banker congratulated herself . <eos>,The authors said that the banker congratulated herself .
3,embed,nonlocal,0,a,local_subj,number,mechanic,authors,congratulated,herself,The mechanic said that the authors congratulated herself . <eos>,The mechanic said that the authors congratulated herself .
3,embed,nonlocal,0,b,local_subj,number,author,mechanics,congratulated,herself,The author said that the mechanics congratulated herself . <eos>,The author said that the mechanics congratulated herself .
3,embed,nonlocal,0,c,local_subj,number,banker,authors,congratulated,herself,The banker said that the authors congratulated herself . <eos>,The banker said that the authors congratulated herself .
3,embed,nonlocal,0,d,local_subj,number,author,bankers,congratulated,herself,The author said that the bankers congratulated herself . <eos>,The author said that the bankers congratulated herself .
4,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic said that the author embarrassed herself . <eos>,The mechanic said that the author embarrassed herself .
4,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author said that the mechanic embarrassed herself . <eos>,The author said that the mechanic embarrassed herself .
4,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker said that the author embarrassed herself . <eos>,The banker said that the author embarrassed herself .
4,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author said that the banker embarrassed herself . <eos>,The author said that the banker embarrassed herself .
4,embed,local,1,a,nonlocal_subj,number,mechanics,author,embarrassed,herself,The mechanics said that the author embarrassed herself . <eos>,The mechanics said that the author embarrassed herself .
4,embed,local,1,b,nonlocal_subj,number,authors,mechanic,embarrassed,herself,The authors said that the mechanic embarrassed herself . <eos>,The authors said that the mechanic embarrassed herself .
4,embed,local,1,c,nonlocal_subj,number,bankers,author,embarrassed,herself,The bankers said that the author embarrassed herself . <eos>,The bankers said that the author embarrassed herself .
4,embed,local,1,d,nonlocal_subj,number,authors,banker,embarrassed,herself,The authors said that the banker embarrassed herself . <eos>,The authors said that the banker embarrassed herself .
