,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,girl,mother,saw,herself,The girl said that the mother saw herself . <eos>,The girl said that the mother saw herself .,the girl said that the mother saw ***mask*** .,9.696945889501082
1,1,embed,local,1,b,none,none,mother,girl,saw,herself,The mother said that the girl saw herself . <eos>,The mother said that the girl saw herself .,the mother said that the girl saw ***mask*** .,8.167364904747565
2,1,embed,local,1,a,nonlocal_subj,number,girls,mother,saw,herself,The girls said that the mother saw herself . <eos>,The girls said that the mother saw herself .,the girls said that the mother saw ***mask*** .,10.126879793943537
3,1,embed,local,1,b,nonlocal_subj,number,mothers,girl,saw,herself,The mothers said that the girl saw herself . <eos>,The mothers said that the girl saw herself .,the mothers said that the girl saw ***mask*** .,7.522913480001579
4,1,embed,nonlocal,0,a,local_subj,number,girl,mothers,saw,herself,The girl said that the mothers saw herself . <eos>,The girl said that the mothers saw herself .,the girl said that the mothers saw ***mask*** .,11.083706657431934
5,1,embed,nonlocal,0,b,local_subj,number,mother,girls,saw,herself,The mother said that the girls saw herself . <eos>,The mother said that the girls saw herself .,the mother said that the girls saw ***mask*** .,11.020635166645619
6,2,embed,local,1,a,none,none,girl,mother,established,herself,The girl said that the mother established herself . <eos>,The girl said that the mother established herself .,the girl said that the mother established ***mask*** .,0.9520382262880402
7,2,embed,local,1,b,none,none,mother,girl,established,herself,The mother said that the girl established herself . <eos>,The mother said that the girl established herself .,the mother said that the girl established ***mask*** .,0.11760565315675069
8,2,embed,local,1,a,nonlocal_subj,number,girls,mother,established,herself,The girls said that the mother established herself . <eos>,The girls said that the mother established herself .,the girls said that the mother established ***mask*** .,1.2057498414779597
9,2,embed,local,1,b,nonlocal_subj,number,mothers,girl,established,herself,The mothers said that the girl established herself . <eos>,The mothers said that the girl established herself .,the mothers said that the girl established ***mask*** .,0.14350807535438612
10,2,embed,nonlocal,0,a,local_subj,number,girl,mothers,established,herself,The girl said that the mothers established herself . <eos>,The girl said that the mothers established herself .,the girl said that the mothers established ***mask*** .,5.806198995414724
11,2,embed,nonlocal,0,b,local_subj,number,mother,girls,established,herself,The mother said that the girls established herself . <eos>,The mother said that the girls established herself .,the mother said that the girls established ***mask*** .,4.246182703207933
12,3,embed,local,1,a,none,none,girl,mother,devoted,herself,The girl said that the mother devoted herself . <eos>,The girl said that the mother devoted herself .,the girl said that the mother devoted ***mask*** .,1.2777262128237385
13,3,embed,local,1,b,none,none,mother,girl,devoted,herself,The mother said that the girl devoted herself . <eos>,The mother said that the girl devoted herself .,the mother said that the girl devoted ***mask*** .,0.2926544554354033
14,3,embed,local,1,a,nonlocal_subj,number,girls,mother,devoted,herself,The girls said that the mother devoted herself . <eos>,The girls said that the mother devoted herself .,the girls said that the mother devoted ***mask*** .,0.45834053268367314
15,3,embed,local,1,b,nonlocal_subj,number,mothers,girl,devoted,herself,The mothers said that the girl devoted herself . <eos>,The mothers said that the girl devoted herself .,the mothers said that the girl devoted ***mask*** .,0.14127765363544748
16,3,embed,nonlocal,0,a,local_subj,number,girl,mothers,devoted,herself,The girl said that the mothers devoted herself . <eos>,The girl said that the mothers devoted herself .,the girl said that the mothers devoted ***mask*** .,8.598131975802335
17,3,embed,nonlocal,0,b,local_subj,number,mother,girls,devoted,herself,The mother said that the girls devoted herself . <eos>,The mother said that the girls devoted herself .,the mother said that the girls devoted ***mask*** .,8.39261437063464
18,4,embed,local,1,a,none,none,girl,mother,considered,herself,The girl said that the mother considered herself . <eos>,The girl said that the mother considered herself .,the girl said that the mother considered ***mask*** .,10.059354027475074
19,4,embed,local,1,b,none,none,mother,girl,considered,herself,The mother said that the girl considered herself . <eos>,The mother said that the girl considered herself .,the mother said that the girl considered ***mask*** .,7.917604197973565
20,4,embed,local,1,a,nonlocal_subj,number,girls,mother,considered,herself,The girls said that the mother considered herself . <eos>,The girls said that the mother considered herself .,the girls said that the mother considered ***mask*** .,10.067546158093942
21,4,embed,local,1,b,nonlocal_subj,number,mothers,girl,considered,herself,The mothers said that the girl considered herself . <eos>,The mothers said that the girl considered herself .,the mothers said that the girl considered ***mask*** .,7.500398717685855
22,4,embed,nonlocal,0,a,local_subj,number,girl,mothers,considered,herself,The girl said that the mothers considered herself . <eos>,The girl said that the mothers considered herself .,the girl said that the mothers considered ***mask*** .,11.770158471711776
23,4,embed,nonlocal,0,b,local_subj,number,mother,girls,considered,herself,The mother said that the girls considered herself . <eos>,The mother said that the girls considered herself .,the mother said that the girls considered ***mask*** .,9.500101694317252
24,5,embed,local,1,a,none,none,girl,mother,identified,herself,The girl said that the mother identified herself . <eos>,The girl said that the mother identified herself .,the girl said that the mother identified ***mask*** .,0.9896568089048611
25,5,embed,local,1,b,none,none,mother,girl,identified,herself,The mother said that the girl identified herself . <eos>,The mother said that the girl identified herself .,the mother said that the girl identified ***mask*** .,0.2010724212764674
26,5,embed,local,1,a,nonlocal_subj,number,girls,mother,identified,herself,The girls said that the mother identified herself . <eos>,The girls said that the mother identified herself .,the girls said that the mother identified ***mask*** .,0.952796191315224
27,5,embed,local,1,b,nonlocal_subj,number,mothers,girl,identified,herself,The mothers said that the girl identified herself . <eos>,The mothers said that the girl identified herself .,the mothers said that the girl identified ***mask*** .,0.21077443158538658
28,5,embed,nonlocal,0,a,local_subj,number,girl,mothers,identified,herself,The girl said that the mothers identified herself . <eos>,The girl said that the mothers identified herself .,the girl said that the mothers identified ***mask*** .,5.829802450911131
29,5,embed,nonlocal,0,b,local_subj,number,mother,girls,identified,herself,The mother said that the girls identified herself . <eos>,The mother said that the girls identified herself .,the mother said that the girls identified ***mask*** .,5.281195511221729
30,6,embed,local,1,a,none,none,girl,mother,made,herself,The girl said that the mother made herself . <eos>,The girl said that the mother made herself .,the girl said that the mother made ***mask*** .,10.156138260177773
31,6,embed,local,1,b,none,none,mother,girl,made,herself,The mother said that the girl made herself . <eos>,The mother said that the girl made herself .,the mother said that the girl made ***mask*** .,8.867919230375694
32,6,embed,local,1,a,nonlocal_subj,number,girls,mother,made,herself,The girls said that the mother made herself . <eos>,The girls said that the mother made herself .,the girls said that the mother made ***mask*** .,11.102660257285848
33,6,embed,local,1,b,nonlocal_subj,number,mothers,girl,made,herself,The mothers said that the girl made herself . <eos>,The mothers said that the girl made herself .,the mothers said that the girl made ***mask*** .,9.365590847268042
34,6,embed,nonlocal,0,a,local_subj,number,girl,mothers,made,herself,The girl said that the mothers made herself . <eos>,The girl said that the mothers made herself .,the girl said that the mothers made ***mask*** .,13.34267271767238
35,6,embed,nonlocal,0,b,local_subj,number,mother,girls,made,herself,The mother said that the girls made herself . <eos>,The mother said that the girls made herself .,the mother said that the girls made ***mask*** .,13.347838956213181
36,7,embed,local,1,a,none,none,girl,mother,found,herself,The girl said that the mother found herself . <eos>,The girl said that the mother found herself .,the girl said that the mother found ***mask*** .,9.348055001237407
37,7,embed,local,1,b,none,none,mother,girl,found,herself,The mother said that the girl found herself . <eos>,The mother said that the girl found herself .,the mother said that the girl found ***mask*** .,6.92732616084713
38,7,embed,local,1,a,nonlocal_subj,number,girls,mother,found,herself,The girls said that the mother found herself . <eos>,The girls said that the mother found herself .,the girls said that the mother found ***mask*** .,9.228083818465945
39,7,embed,local,1,b,nonlocal_subj,number,mothers,girl,found,herself,The mothers said that the girl found herself . <eos>,The mothers said that the girl found herself .,the mothers said that the girl found ***mask*** .,5.266941841325405
40,7,embed,nonlocal,0,a,local_subj,number,girl,mothers,found,herself,The girl said that the mothers found herself . <eos>,The girl said that the mothers found herself .,the girl said that the mothers found ***mask*** .,11.253554771492722
41,7,embed,nonlocal,0,b,local_subj,number,mother,girls,found,herself,The mother said that the girls found herself . <eos>,The mother said that the girls found herself .,the mother said that the girls found ***mask*** .,10.018142191593935
42,8,embed,local,1,a,none,none,girl,mother,distinguished,herself,The girl said that the mother distinguished herself . <eos>,The girl said that the mother distinguished herself .,the girl said that the mother distinguished ***mask*** .,0.2712558214936515
43,8,embed,local,1,b,none,none,mother,girl,distinguished,herself,The mother said that the girl distinguished herself . <eos>,The mother said that the girl distinguished herself .,the mother said that the girl distinguished ***mask*** .,0.04166562468234835
44,8,embed,local,1,a,nonlocal_subj,number,girls,mother,distinguished,herself,The girls said that the mother distinguished herself . <eos>,The girls said that the mother distinguished herself .,the girls said that the mother distinguished ***mask*** .,0.2069287905676875
45,8,embed,local,1,b,nonlocal_subj,number,mothers,girl,distinguished,herself,The mothers said that the girl distinguished herself . <eos>,The mothers said that the girl distinguished herself .,the mothers said that the girl distinguished ***mask*** .,0.07717545045809383
46,8,embed,nonlocal,0,a,local_subj,number,girl,mothers,distinguished,herself,The girl said that the mothers distinguished herself . <eos>,The girl said that the mothers distinguished herself .,the girl said that the mothers distinguished ***mask*** .,8.282717891851062
47,8,embed,nonlocal,0,b,local_subj,number,mother,girls,distinguished,herself,The mother said that the girls distinguished herself . <eos>,The mother said that the girls distinguished herself .,the mother said that the girls distinguished ***mask*** .,8.104780494913147
48,9,embed,local,1,a,none,none,girl,mother,taught,herself,The girl said that the mother taught herself . <eos>,The girl said that the mother taught herself .,the girl said that the mother taught ***mask*** .,10.533104040197879
49,9,embed,local,1,b,none,none,mother,girl,taught,herself,The mother said that the girl taught herself . <eos>,The mother said that the girl taught herself .,the mother said that the girl taught ***mask*** .,6.547452830330336
50,9,embed,local,1,a,nonlocal_subj,number,girls,mother,taught,herself,The girls said that the mother taught herself . <eos>,The girls said that the mother taught herself .,the girls said that the mother taught ***mask*** .,10.979010908138623
51,9,embed,local,1,b,nonlocal_subj,number,mothers,girl,taught,herself,The mothers said that the girl taught herself . <eos>,The mothers said that the girl taught herself .,the mothers said that the girl taught ***mask*** .,5.498385824326456
52,9,embed,nonlocal,0,a,local_subj,number,girl,mothers,taught,herself,The girl said that the mothers taught herself . <eos>,The girl said that the mothers taught herself .,the girl said that the mothers taught ***mask*** .,10.085022784475198
53,9,embed,nonlocal,0,b,local_subj,number,mother,girls,taught,herself,The mother said that the girls taught herself . <eos>,The mother said that the girls taught herself .,the mother said that the girls taught ***mask*** .,6.092368555797225
54,10,embed,local,1,a,none,none,girl,mother,killed,herself,The girl said that the mother killed herself . <eos>,The girl said that the mother killed herself .,the girl said that the mother killed ***mask*** .,2.4693651782632835
55,10,embed,local,1,b,none,none,mother,girl,killed,herself,The mother said that the girl killed herself . <eos>,The mother said that the girl killed herself .,the mother said that the girl killed ***mask*** .,0.8217772397354557
56,10,embed,local,1,a,nonlocal_subj,number,girls,mother,killed,herself,The girls said that the mother killed herself . <eos>,The girls said that the mother killed herself .,the girls said that the mother killed ***mask*** .,1.676703159951701
57,10,embed,local,1,b,nonlocal_subj,number,mothers,girl,killed,herself,The mothers said that the girl killed herself . <eos>,The mothers said that the girl killed herself .,the mothers said that the girl killed ***mask*** .,0.4066508251101943
58,10,embed,nonlocal,0,a,local_subj,number,girl,mothers,killed,herself,The girl said that the mothers killed herself . <eos>,The girl said that the mothers killed herself .,the girl said that the mothers killed ***mask*** .,5.79969792897439
59,10,embed,nonlocal,0,b,local_subj,number,mother,girls,killed,herself,The mother said that the girls killed herself . <eos>,The mother said that the girls killed herself .,the mother said that the girls killed ***mask*** .,4.265387429699261
