,item,clause_type,locality,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,male,none,none,boys,fathers,saw,themselves,The boys said that the fathers saw themselves . <eos>,The boys said that the fathers saw themselves .,the boys said that the fathers saw ***mask*** .,10.960181823027849
1,1,embed,local,1,b,male,none,none,fathers,boys,saw,themselves,The fathers said that the boys saw themselves . <eos>,The fathers said that the boys saw themselves .,the fathers said that the boys saw ***mask*** .,9.768242969365557
2,1,embed,local,1,a,female,none,none,girls,mothers,saw,themselves,The girls said that the mothers saw themselves . <eos>,The girls said that the mothers saw themselves .,the girls said that the mothers saw ***mask*** .,10.459525341477327
3,1,embed,local,1,b,female,none,none,mothers,girls,saw,themselves,The mothers said that the girls saw themselves . <eos>,The mothers said that the girls saw themselves .,the mothers said that the girls saw ***mask*** .,9.912298426117209
4,1,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,saw,themselves,The boy said that the fathers saw themselves . <eos>,The boy said that the fathers saw themselves .,the boy said that the fathers saw ***mask*** .,10.636210391277537
5,1,embed,local,1,b,male,nonlocal_subj,number,father,boys,saw,themselves,The father said that the boys saw themselves . <eos>,The father said that the boys saw themselves .,the father said that the boys saw ***mask*** .,9.827138995677394
6,1,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,saw,themselves,The girl said that the mothers saw themselves . <eos>,The girl said that the mothers saw themselves .,the girl said that the mothers saw ***mask*** .,10.594025241071117
7,1,embed,local,1,b,female,nonlocal_subj,number,mother,girls,saw,themselves,The mother said that the girls saw themselves . <eos>,The mother said that the girls saw themselves .,the mother said that the girls saw ***mask*** .,9.881441447602237
8,1,embed,nonlocal,0,a,male,local_subj,number,boys,father,saw,themselves,The boys said that the father saw themselves . <eos>,The boys said that the father saw themselves .,the boys said that the father saw ***mask*** .,12.48192895385194
9,1,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,saw,themselves,The fathers said that the boy saw themselves . <eos>,The fathers said that the boy saw themselves .,the fathers said that the boy saw ***mask*** .,12.316825460879233
10,1,embed,nonlocal,0,a,female,local_subj,number,girls,mother,saw,themselves,The girls said that the mother saw themselves . <eos>,The girls said that the mother saw themselves .,the girls said that the mother saw ***mask*** .,12.604935175927618
11,1,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,saw,themselves,The mothers said that the girl saw themselves . <eos>,The mothers said that the girl saw themselves .,the mothers said that the girl saw ***mask*** .,11.991789736948041
12,2,embed,local,1,a,male,none,none,boys,fathers,established,themselves,The boys said that the fathers established themselves . <eos>,The boys said that the fathers established themselves .,the boys said that the fathers established ***mask*** .,1.911257042862078
13,2,embed,local,1,b,male,none,none,fathers,boys,established,themselves,The fathers said that the boys established themselves . <eos>,The fathers said that the boys established themselves .,the fathers said that the boys established ***mask*** .,0.22544425440373056
14,2,embed,local,1,a,female,none,none,girls,mothers,established,themselves,The girls said that the mothers established themselves . <eos>,The girls said that the mothers established themselves .,the girls said that the mothers established ***mask*** .,0.8295424856871001
15,2,embed,local,1,b,female,none,none,mothers,girls,established,themselves,The mothers said that the girls established themselves . <eos>,The mothers said that the girls established themselves .,the mothers said that the girls established ***mask*** .,0.1384319956215293
16,2,embed,local,1,a,male,nonlocal_subj,number,boy,fathers,established,themselves,The boy said that the fathers established themselves . <eos>,The boy said that the fathers established themselves .,the boy said that the fathers established ***mask*** .,2.92036385394907
17,2,embed,local,1,b,male,nonlocal_subj,number,father,boys,established,themselves,The father said that the boys established themselves . <eos>,The father said that the boys established themselves .,the father said that the boys established ***mask*** .,0.11096307816582814
18,2,embed,local,1,a,female,nonlocal_subj,number,girl,mothers,established,themselves,The girl said that the mothers established themselves . <eos>,The girl said that the mothers established themselves .,the girl said that the mothers established ***mask*** .,1.3625442945019783
19,2,embed,local,1,b,female,nonlocal_subj,number,mother,girls,established,themselves,The mother said that the girls established themselves . <eos>,The mother said that the girls established themselves .,the mother said that the girls established ***mask*** .,0.20438815086317402
20,2,embed,nonlocal,0,a,male,local_subj,number,boys,father,established,themselves,The boys said that the father established themselves . <eos>,The boys said that the father established themselves .,the boys said that the father established ***mask*** .,4.848050394150876
21,2,embed,nonlocal,0,b,male,local_subj,number,fathers,boy,established,themselves,The fathers said that the boy established themselves . <eos>,The fathers said that the boy established themselves .,the fathers said that the boy established ***mask*** .,6.029479528564105
22,2,embed,nonlocal,0,a,female,local_subj,number,girls,mother,established,themselves,The girls said that the mother established themselves . <eos>,The girls said that the mother established themselves .,the girls said that the mother established ***mask*** .,4.853406931605424
23,2,embed,nonlocal,0,b,female,local_subj,number,mothers,girl,established,themselves,The mothers said that the girl established themselves . <eos>,The mothers said that the girl established themselves .,the mothers said that the girl established ***mask*** .,6.505308574720057
24,3,embed,local,1,a,male,none,none,boys,fathers,devoted,themselves,The boys said that the fathers devoted themselves . <eos>,The boys said that the fathers devoted themselves .,the boys said that the fathers devoted ***mask*** .,0.19670880018674824
