,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,girl,mother,saw,herself,The girl that the mother liked saw herself . <eos>,The girl that the mother liked saw herself .,the girl that the mother liked saw ***mask*** .,8.465142530353699
1,1,simple,local,c-command,1,b,none,none,mother,girl,saw,herself,The mother that the girl liked saw herself . <eos>,The mother that the girl liked saw herself .,the mother that the girl liked saw ***mask*** .,8.7879920267343
2,1,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,saw,herself,The girls that the mother liked saw herself . <eos>,The girls that the mother liked saw herself .,the girls that the mother liked saw ***mask*** .,10.762044645013425
3,1,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,saw,herself,The mothers that the girl liked saw herself . <eos>,The mothers that the girl liked saw herself .,the mothers that the girl liked saw ***mask*** .,11.070002930324467
4,1,simple,local,c-command,1,a,rc_subj,number,girl,mothers,saw,herself,The girl that the mothers liked saw herself . <eos>,The girl that the mothers liked saw herself .,the girl that the mothers liked saw ***mask*** .,7.912826604234723
5,1,simple,local,c-command,1,b,rc_subj,number,mother,girls,saw,herself,The mother that the girls liked saw herself . <eos>,The mother that the girls liked saw herself .,the mother that the girls liked saw ***mask*** .,8.551291445382304
6,2,simple,local,c-command,1,a,none,none,girl,mother,established,herself,The girl that the mother liked established herself . <eos>,The girl that the mother liked established herself .,the girl that the mother liked established ***mask*** .,0.4528973071429914
7,2,simple,local,c-command,1,b,none,none,mother,girl,established,herself,The mother that the girl liked established herself . <eos>,The mother that the girl liked established herself .,the mother that the girl liked established ***mask*** .,0.7483427899748611
8,2,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,established,herself,The girls that the mother liked established herself . <eos>,The girls that the mother liked established herself .,the girls that the mother liked established ***mask*** .,3.183266408559682
9,2,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,established,herself,The mothers that the girl liked established herself . <eos>,The mothers that the girl liked established herself .,the mothers that the girl liked established ***mask*** .,4.526519669274988
10,2,simple,local,c-command,1,a,rc_subj,number,girl,mothers,established,herself,The girl that the mothers liked established herself . <eos>,The girl that the mothers liked established herself .,the girl that the mothers liked established ***mask*** .,3.4544019924155354
11,2,simple,local,c-command,1,b,rc_subj,number,mother,girls,established,herself,The mother that the girls liked established herself . <eos>,The mother that the girls liked established herself .,the mother that the girls liked established ***mask*** .,3.9979242875001475
12,3,simple,local,c-command,1,a,none,none,girl,mother,devoted,herself,The girl that the mother liked devoted herself . <eos>,The girl that the mother liked devoted herself .,the girl that the mother liked devoted ***mask*** .,18.221494593031185
13,3,simple,local,c-command,1,b,none,none,mother,girl,devoted,herself,The mother that the girl liked devoted herself . <eos>,The mother that the girl liked devoted herself .,the mother that the girl liked devoted ***mask*** .,17.32774894430837
14,3,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,devoted,herself,The girls that the mother liked devoted herself . <eos>,The girls that the mother liked devoted herself .,the girls that the mother liked devoted ***mask*** .,17.139458949617133
15,3,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,devoted,herself,The mothers that the girl liked devoted herself . <eos>,The mothers that the girl liked devoted herself .,the mothers that the girl liked devoted ***mask*** .,16.179915232361513
16,3,simple,local,c-command,1,a,rc_subj,number,girl,mothers,devoted,herself,The girl that the mothers liked devoted herself . <eos>,The girl that the mothers liked devoted herself .,the girl that the mothers liked devoted ***mask*** .,19.575899465628147
17,3,simple,local,c-command,1,b,rc_subj,number,mother,girls,devoted,herself,The mother that the girls liked devoted herself . <eos>,The mother that the girls liked devoted herself .,the mother that the girls liked devoted ***mask*** .,17.22660178353563
18,4,simple,local,c-command,1,a,none,none,girl,mother,considered,herself,The girl that the mother liked considered herself . <eos>,The girl that the mother liked considered herself .,the girl that the mother liked considered ***mask*** .,5.961630706576512
19,4,simple,local,c-command,1,b,none,none,mother,girl,considered,herself,The mother that the girl liked considered herself . <eos>,The mother that the girl liked considered herself .,the mother that the girl liked considered ***mask*** .,6.623488518506099
20,4,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,considered,herself,The girls that the mother liked considered herself . <eos>,The girls that the mother liked considered herself .,the girls that the mother liked considered ***mask*** .,7.322885904674329
21,4,simple,local,no-c-command,0,b,matrix_subj,number,mothers,girl,considered,herself,The mothers that the girl liked considered herself . <eos>,The mothers that the girl liked considered herself .,the mothers that the girl liked considered ***mask*** .,8.405622655099632
22,4,simple,local,c-command,1,a,rc_subj,number,girl,mothers,considered,herself,The girl that the mothers liked considered herself . <eos>,The girl that the mothers liked considered herself .,the girl that the mothers liked considered ***mask*** .,6.465473523563765
23,4,simple,local,c-command,1,b,rc_subj,number,mother,girls,considered,herself,The mother that the girls liked considered herself . <eos>,The mother that the girls liked considered herself .,the mother that the girls liked considered ***mask*** .,6.699533901220748
24,5,simple,local,c-command,1,a,none,none,girl,mother,identified,herself,The girl that the mother liked identified herself . <eos>,The girl that the mother liked identified herself .,the girl that the mother liked identified ***mask*** .,4.0587958199130245
25,5,simple,local,c-command,1,b,none,none,mother,girl,identified,herself,The mother that the girl liked identified herself . <eos>,The mother that the girl liked identified herself .,the mother that the girl liked identified ***mask*** .,3.6889490893303742
26,5,simple,local,no-c-command,0,a,matrix_subj,number,girls,mother,identified,herself,The girls that the mother liked identified herself . <eos>,The girls that the mother liked identified herself .,the girls that the mother liked identified ***mask*** .,4.865984244255668
