,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,liked,embed,local,1,a,none,none,mechanics,authors,hurt,themselves,The mechanics that the authors liked hurt themselves . <eos>,The mechanics that the authors liked hurt themselves .,the mechanics that the authors liked hurt ***mask*** .,0.02214660848147806
1,1,liked,embed,local,1,b,none,none,authors,mechanics,hurt,themselves,The authors that the mechanics liked hurt themselves . <eos>,The authors that the mechanics liked hurt themselves .,the authors that the mechanics liked hurt ***mask*** .,0.008422224756829926
2,1,liked,embed,local,1,c,none,none,bankers,authors,hurt,themselves,The bankers that the authors liked hurt themselves . <eos>,The bankers that the authors liked hurt themselves .,the bankers that the authors liked hurt ***mask*** .,0.050726201341095734
3,1,liked,embed,local,1,d,none,none,authors,bankers,hurt,themselves,The authors that the bankers liked hurt themselves . <eos>,The authors that the bankers liked hurt themselves .,the authors that the bankers liked hurt ***mask*** .,0.015393258677777064
4,1,liked,embed,local,1,a,rc_subj,number,mechanics,author,hurt,themselves,The mechanics that the author liked hurt themselves . <eos>,The mechanics that the author liked hurt themselves .,the mechanics that the author liked hurt ***mask*** .,0.024957614726595734
5,1,liked,embed,local,1,b,rc_subj,number,authors,mechanic,hurt,themselves,The authors that the mechanic liked hurt themselves . <eos>,The authors that the mechanic liked hurt themselves .,the authors that the mechanic liked hurt ***mask*** .,0.08867198037507744
6,1,liked,embed,local,1,c,rc_subj,number,bankers,author,hurt,themselves,The bankers that the author liked hurt themselves . <eos>,The bankers that the author liked hurt themselves .,the bankers that the author liked hurt ***mask*** .,0.11881709766544553
7,1,liked,embed,local,1,d,rc_subj,number,authors,banker,hurt,themselves,The authors that the banker liked hurt themselves . <eos>,The authors that the banker liked hurt themselves .,the authors that the banker liked hurt ***mask*** .,0.07858614182458572
8,1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,hurt,themselves,The mechanic that the authors liked hurt themselves . <eos>,The mechanic that the authors liked hurt themselves .,the mechanic that the authors liked hurt ***mask*** .,0.050276805631962525
9,1,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,hurt,themselves,The author that the mechanics liked hurt themselves . <eos>,The author that the mechanics liked hurt themselves .,the author that the mechanics liked hurt ***mask*** .,0.03330196719071527
10,1,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,hurt,themselves,The banker that the authors liked hurt themselves . <eos>,The banker that the authors liked hurt themselves .,the banker that the authors liked hurt ***mask*** .,0.06899729801515259
11,1,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,hurt,themselves,The author that the bankers liked hurt themselves . <eos>,The author that the bankers liked hurt themselves .,the author that the bankers liked hurt ***mask*** .,0.04593355902197399
12,2,liked,embed,local,1,a,none,none,mechanics,authors,injured,themselves,The mechanics that the authors liked injured themselves . <eos>,The mechanics that the authors liked injured themselves .,the mechanics that the authors liked injured ***mask*** .,0.0071036918814070815
13,2,liked,embed,local,1,b,none,none,authors,mechanics,injured,themselves,The authors that the mechanics liked injured themselves . <eos>,The authors that the mechanics liked injured themselves .,the authors that the mechanics liked injured ***mask*** .,0.027890074963785528
14,2,liked,embed,local,1,c,none,none,bankers,authors,injured,themselves,The bankers that the authors liked injured themselves . <eos>,The bankers that the authors liked injured themselves .,the bankers that the authors liked injured ***mask*** .,0.0026039622120108898
15,2,liked,embed,local,1,d,none,none,authors,bankers,injured,themselves,The authors that the bankers liked injured themselves . <eos>,The authors that the bankers liked injured themselves .,the authors that the bankers liked injured ***mask*** .,0.010613365897922849
16,2,liked,embed,local,1,a,rc_subj,number,mechanics,author,injured,themselves,The mechanics that the author liked injured themselves . <eos>,The mechanics that the author liked injured themselves .,the mechanics that the author liked injured ***mask*** .,0.02029989229802772
17,2,liked,embed,local,1,b,rc_subj,number,authors,mechanic,injured,themselves,The authors that the mechanic liked injured themselves . <eos>,The authors that the mechanic liked injured themselves .,the authors that the mechanic liked injured ***mask*** .,0.0307761132255029
18,2,liked,embed,local,1,c,rc_subj,number,bankers,author,injured,themselves,The bankers that the author liked injured themselves . <eos>,The bankers that the author liked injured themselves .,the bankers that the author liked injured ***mask*** .,0.02516794495490942
19,2,liked,embed,local,1,d,rc_subj,number,authors,banker,injured,themselves,The authors that the banker liked injured themselves . <eos>,The authors that the banker liked injured themselves .,the authors that the banker liked injured ***mask*** .,0.03600900108975866
20,2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,injured,themselves,The mechanic that the authors liked injured themselves . <eos>,The mechanic that the authors liked injured themselves .,the mechanic that the authors liked injured ***mask*** .,0.013365405299027475
21,2,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,injured,themselves,The author that the mechanics liked injured themselves . <eos>,The author that the mechanics liked injured themselves .,the author that the mechanics liked injured ***mask*** .,0.03578693783290151
22,2,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,injured,themselves,The banker that the authors liked injured themselves . <eos>,The banker that the authors liked injured themselves .,the banker that the authors liked injured ***mask*** .,0.0076523013793004776
23,2,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,injured,themselves,The author that the bankers liked injured themselves . <eos>,The author that the bankers liked injured themselves .,the author that the bankers liked injured ***mask*** .,0.025629382179054336
24,3,liked,embed,local,1,a,none,none,mechanics,authors,congratulated,themselves,The mechanics that the authors liked congratulated themselves . <eos>,The mechanics that the authors liked congratulated themselves .,the mechanics that the authors liked congratulated ***mask*** .,0.0038325290170035673
25,3,liked,embed,local,1,b,none,none,authors,mechanics,congratulated,themselves,The authors that the mechanics liked congratulated themselves . <eos>,The authors that the mechanics liked congratulated themselves .,the authors that the mechanics liked congratulated ***mask*** .,0.0061212736758157055
26,3,liked,embed,local,1,c,none,none,bankers,authors,congratulated,themselves,The bankers that the authors liked congratulated themselves . <eos>,The bankers that the authors liked congratulated themselves .,the bankers that the authors liked congratulated ***mask*** .,0.002963198895937384
27,3,liked,embed,local,1,d,none,none,authors,bankers,congratulated,themselves,The authors that the bankers liked congratulated themselves . <eos>,The authors that the bankers liked congratulated themselves .,the authors that the bankers liked congratulated ***mask*** .,0.006915207512715593
28,3,liked,embed,local,1,a,rc_subj,number,mechanics,author,congratulated,themselves,The mechanics that the author liked congratulated themselves . <eos>,The mechanics that the author liked congratulated themselves .,the mechanics that the author liked congratulated ***mask*** .,0.008810954469239603
29,3,liked,embed,local,1,b,rc_subj,number,authors,mechanic,congratulated,themselves,The authors that the mechanic liked congratulated themselves . <eos>,The authors that the mechanic liked congratulated themselves .,the authors that the mechanic liked congratulated ***mask*** .,0.009850770218971858
30,3,liked,embed,local,1,c,rc_subj,number,bankers,author,congratulated,themselves,The bankers that the author liked congratulated themselves . <eos>,The bankers that the author liked congratulated themselves .,the bankers that the author liked congratulated ***mask*** .,0.008727358609688677
31,3,liked,embed,local,1,d,rc_subj,number,authors,banker,congratulated,themselves,The authors that the banker liked congratulated themselves . <eos>,The authors that the banker liked congratulated themselves .,the authors that the banker liked congratulated ***mask*** .,0.010378926656090156
32,3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,congratulated,themselves,The mechanic that the authors liked congratulated themselves . <eos>,The mechanic that the authors liked congratulated themselves .,the mechanic that the authors liked congratulated ***mask*** .,0.009818401251475385
33,3,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,congratulated,themselves,The author that the mechanics liked congratulated themselves . <eos>,The author that the mechanics liked congratulated themselves .,the author that the mechanics liked congratulated ***mask*** .,0.022118540593327737
34,3,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,congratulated,themselves,The banker that the authors liked congratulated themselves . <eos>,The banker that the authors liked congratulated themselves .,the banker that the authors liked congratulated ***mask*** .,0.005531936654381476
35,3,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,congratulated,themselves,The author that the bankers liked congratulated themselves . <eos>,The author that the bankers liked congratulated themselves .,the author that the bankers liked congratulated ***mask*** .,0.020491796246989442
36,4,liked,embed,local,1,a,none,none,mechanics,authors,embarrassed,themselves,The mechanics that the authors liked embarrassed themselves . <eos>,The mechanics that the authors liked embarrassed themselves .,the mechanics that the authors liked embarrassed ***mask*** .,0.08329828564604422
37,4,liked,embed,local,1,b,none,none,authors,mechanics,embarrassed,themselves,The authors that the mechanics liked embarrassed themselves . <eos>,The authors that the mechanics liked embarrassed themselves .,the authors that the mechanics liked embarrassed ***mask*** .,0.037862131891926325
38,4,liked,embed,local,1,c,none,none,bankers,authors,embarrassed,themselves,The bankers that the authors liked embarrassed themselves . <eos>,The bankers that the authors liked embarrassed themselves .,the bankers that the authors liked embarrassed ***mask*** .,0.06622181939765515
