,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,girl,mother,saw,herself,The girl near the mother saw herself . <eos>,The girl near the mother saw herself .,the girl near the mother saw ***mask*** .,11.248801562889325
1,1,simple,local,c-command,1,b,none,none,mother,girl,saw,herself,The mother near the girl saw herself . <eos>,The mother near the girl saw herself .,the mother near the girl saw ***mask*** .,11.373675236995322
2,1,simple,local,no-c-command,0,a,head,number,girls,mother,saw,herself,The girls near the mother saw herself . <eos>,The girls near the mother saw herself .,the girls near the mother saw ***mask*** .,13.832930288226699
3,1,simple,local,no-c-command,0,b,head,number,mothers,girl,saw,herself,The mothers near the girl saw herself . <eos>,The mothers near the girl saw herself .,the mothers near the girl saw ***mask*** .,12.602954226764902
4,1,simple,local,c-command,1,a,distractor,number,girl,mothers,saw,herself,The girl near the mothers saw herself . <eos>,The girl near the mothers saw herself .,the girl near the mothers saw ***mask*** .,11.10079282464977
5,1,simple,local,c-command,1,b,distractor,number,mother,girls,saw,herself,The mother near the girls saw herself . <eos>,The mother near the girls saw herself .,the mother near the girls saw ***mask*** .,11.815947193180216
6,2,simple,local,c-command,1,a,none,none,girl,mother,established,herself,The girl near the mother established herself . <eos>,The girl near the mother established herself .,the girl near the mother established ***mask*** .,3.395046308625394
7,2,simple,local,c-command,1,b,none,none,mother,girl,established,herself,The mother near the girl established herself . <eos>,The mother near the girl established herself .,the mother near the girl established ***mask*** .,2.10880341945233
8,2,simple,local,no-c-command,0,a,head,number,girls,mother,established,herself,The girls near the mother established herself . <eos>,The girls near the mother established herself .,the girls near the mother established ***mask*** .,5.67905529302344
9,2,simple,local,no-c-command,0,b,head,number,mothers,girl,established,herself,The mothers near the girl established herself . <eos>,The mothers near the girl established herself .,the mothers near the girl established ***mask*** .,6.0042181014747085
10,2,simple,local,c-command,1,a,distractor,number,girl,mothers,established,herself,The girl near the mothers established herself . <eos>,The girl near the mothers established herself .,the girl near the mothers established ***mask*** .,2.1574735570997494
11,2,simple,local,c-command,1,b,distractor,number,mother,girls,established,herself,The mother near the girls established herself . <eos>,The mother near the girls established herself .,the mother near the girls established ***mask*** .,3.1316427526380686
12,3,simple,local,c-command,1,a,none,none,girl,mother,devoted,herself,The girl near the mother devoted herself . <eos>,The girl near the mother devoted herself .,the girl near the mother devoted ***mask*** .,3.614309902843893
13,3,simple,local,c-command,1,b,none,none,mother,girl,devoted,herself,The mother near the girl devoted herself . <eos>,The mother near the girl devoted herself .,the mother near the girl devoted ***mask*** .,4.599997343231529
14,3,simple,local,no-c-command,0,a,head,number,girls,mother,devoted,herself,The girls near the mother devoted herself . <eos>,The girls near the mother devoted herself .,the girls near the mother devoted ***mask*** .,8.173672540225553
15,3,simple,local,no-c-command,0,b,head,number,mothers,girl,devoted,herself,The mothers near the girl devoted herself . <eos>,The mothers near the girl devoted herself .,the mothers near the girl devoted ***mask*** .,8.974930410279262
16,3,simple,local,c-command,1,a,distractor,number,girl,mothers,devoted,herself,The girl near the mothers devoted herself . <eos>,The girl near the mothers devoted herself .,the girl near the mothers devoted ***mask*** .,1.5497613443329847
17,3,simple,local,c-command,1,b,distractor,number,mother,girls,devoted,herself,The mother near the girls devoted herself . <eos>,The mother near the girls devoted herself .,the mother near the girls devoted ***mask*** .,1.788947505933342
18,4,simple,local,c-command,1,a,none,none,girl,mother,considered,herself,The girl near the mother considered herself . <eos>,The girl near the mother considered herself .,the girl near the mother considered ***mask*** .,10.094761750606802
19,4,simple,local,c-command,1,b,none,none,mother,girl,considered,herself,The mother near the girl considered herself . <eos>,The mother near the girl considered herself .,the mother near the girl considered ***mask*** .,10.04631560079202
20,4,simple,local,no-c-command,0,a,head,number,girls,mother,considered,herself,The girls near the mother considered herself . <eos>,The girls near the mother considered herself .,the girls near the mother considered ***mask*** .,11.474430803219132
21,4,simple,local,no-c-command,0,b,head,number,mothers,girl,considered,herself,The mothers near the girl considered herself . <eos>,The mothers near the girl considered herself .,the mothers near the girl considered ***mask*** .,12.159784221462461
22,4,simple,local,c-command,1,a,distractor,number,girl,mothers,considered,herself,The girl near the mothers considered herself . <eos>,The girl near the mothers considered herself .,the girl near the mothers considered ***mask*** .,10.145206836408782
23,4,simple,local,c-command,1,b,distractor,number,mother,girls,considered,herself,The mother near the girls considered herself . <eos>,The mother near the girls considered herself .,the mother near the girls considered ***mask*** .,10.334234823764278
24,5,simple,local,c-command,1,a,none,none,girl,mother,identified,herself,The girl near the mother identified herself . <eos>,The girl near the mother identified herself .,the girl near the mother identified ***mask*** .,1.6791642019633497
25,5,simple,local,c-command,1,b,none,none,mother,girl,identified,herself,The mother near the girl identified herself . <eos>,The mother near the girl identified herself .,the mother near the girl identified ***mask*** .,1.2771469309855576
26,5,simple,local,no-c-command,0,a,head,number,girls,mother,identified,herself,The girls near the mother identified herself . <eos>,The girls near the mother identified herself .,the girls near the mother identified ***mask*** .,6.59117661301812
27,5,simple,local,no-c-command,0,b,head,number,mothers,girl,identified,herself,The mothers near the girl identified herself . <eos>,The mothers near the girl identified herself .,the mothers near the girl identified ***mask*** .,5.699134702262929
28,5,simple,local,c-command,1,a,distractor,number,girl,mothers,identified,herself,The girl near the mothers identified herself . <eos>,The girl near the mothers identified herself .,the girl near the mothers identified ***mask*** .,1.7600446331027686
29,5,simple,local,c-command,1,b,distractor,number,mother,girls,identified,herself,The mother near the girls identified herself . <eos>,The mother near the girls identified herself .,the mother near the girls identified ***mask*** .,1.9494720908501821
30,6,simple,local,c-command,1,a,none,none,girl,mother,made,herself,The girl near the mother made herself . <eos>,The girl near the mother made herself .,the girl near the mother made ***mask*** .,11.012523109783983
