,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,liked,embed,local,1,a,none,none,mechanic,author,hurt,himself,The mechanic that the author liked hurt himself . <eos>,The mechanic that the author liked hurt himself .,the mechanic that the author liked hurt ***mask*** .,7.708508880289854
1,1,liked,embed,local,1,b,none,none,author,mechanic,hurt,himself,The author that the mechanic liked hurt himself . <eos>,The author that the mechanic liked hurt himself .,the author that the mechanic liked hurt ***mask*** .,5.016372254624778
2,1,liked,embed,local,1,c,none,none,banker,author,hurt,himself,The banker that the author liked hurt himself . <eos>,The banker that the author liked hurt himself .,the banker that the author liked hurt ***mask*** .,8.608253869271595
3,1,liked,embed,local,1,d,none,none,author,banker,hurt,himself,The author that the banker liked hurt himself . <eos>,The author that the banker liked hurt himself .,the author that the banker liked hurt ***mask*** .,6.3485916420708755
4,1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,himself,The mechanics that the author liked hurt himself . <eos>,The mechanics that the author liked hurt himself .,the mechanics that the author liked hurt ***mask*** .,8.689693849135232
5,1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,himself,The authors that the mechanic liked hurt himself . <eos>,The authors that the mechanic liked hurt himself .,the authors that the mechanic liked hurt ***mask*** .,9.031249108709869
6,1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,himself,The bankers that the author liked hurt himself . <eos>,The bankers that the author liked hurt himself .,the bankers that the author liked hurt ***mask*** .,9.42252184350106
7,1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,himself,The authors that the banker liked hurt himself . <eos>,The authors that the banker liked hurt himself .,the authors that the banker liked hurt ***mask*** .,9.632993386287707
8,1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,himself,The mechanic that the authors liked hurt himself . <eos>,The mechanic that the authors liked hurt himself .,the mechanic that the authors liked hurt ***mask*** .,8.459454395769422
9,1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,himself,The author that the mechanics liked hurt himself . <eos>,The author that the mechanics liked hurt himself .,the author that the mechanics liked hurt ***mask*** .,5.297352761867469
