,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy that the father liked saw himself . <eos>,The boy that the father liked saw himself .,the boy that the father liked saw ***mask*** .,0.020073923760487167
1,1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father that the boy liked saw himself . <eos>,The father that the boy liked saw himself .,the father that the boy liked saw ***mask*** .,0.018973397903352188
2,1,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,saw,himself,The boys that the father liked saw himself . <eos>,The boys that the father liked saw himself .,the boys that the father liked saw ***mask*** .,0.15845076802762667
3,1,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,saw,himself,The fathers that the boy liked saw himself . <eos>,The fathers that the boy liked saw himself .,the fathers that the boy liked saw ***mask*** .,0.07314803993736518
4,1,simple,local,c-command,1,a,rc_subj,number,boy,fathers,saw,himself,The boy that the fathers liked saw himself . <eos>,The boy that the fathers liked saw himself .,the boy that the fathers liked saw ***mask*** .,0.013336863688020662
5,1,simple,local,c-command,1,b,rc_subj,number,father,boys,saw,himself,The father that the boys liked saw himself . <eos>,The father that the boys liked saw himself .,the father that the boys liked saw ***mask*** .,0.015750313921844422
6,2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy that the father liked established himself . <eos>,The boy that the father liked established himself .,the boy that the father liked established ***mask*** .,6.3747891439276e-05
7,2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father that the boy liked established himself . <eos>,The father that the boy liked established himself .,the father that the boy liked established ***mask*** .,0.0003823014548517318
8,2,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,established,himself,The boys that the father liked established himself . <eos>,The boys that the father liked established himself .,the boys that the father liked established ***mask*** .,0.00015524535230146793
9,2,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,established,himself,The fathers that the boy liked established himself . <eos>,The fathers that the boy liked established himself .,the fathers that the boy liked established ***mask*** .,0.0002539419550858647
10,2,simple,local,c-command,1,a,rc_subj,number,boy,fathers,established,himself,The boy that the fathers liked established himself . <eos>,The boy that the fathers liked established himself .,the boy that the fathers liked established ***mask*** .,0.0016959082604779858
