,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,girl,mother,saw,herself,The girl said that the mother saw herself . <eos>,The girl said that the mother saw herself .,the girl said that the mother saw ***mask*** .,0.021263213921970076
1,1,embed,local,1,b,none,none,mother,girl,saw,herself,The mother said that the girl saw herself . <eos>,The mother said that the girl saw herself .,the mother said that the girl saw ***mask*** .,0.011152615075078769
2,1,embed,local,1,a,nonlocal_subj,number,girls,mother,saw,herself,The girls said that the mother saw herself . <eos>,The girls said that the mother saw herself .,the girls said that the mother saw ***mask*** .,0.033491799063470586
3,1,embed,local,1,b,nonlocal_subj,number,mothers,girl,saw,herself,The mothers said that the girl saw herself . <eos>,The mothers said that the girl saw herself .,the mothers said that the girl saw ***mask*** .,0.008347198455541414
4,1,embed,nonlocal,0,a,local_subj,number,girl,mothers,saw,herself,The girl said that the mothers saw herself . <eos>,The girl said that the mothers saw herself .,the girl said that the mothers saw ***mask*** .,0.05080970580633829
5,1,embed,nonlocal,0,b,local_subj,number,mother,girls,saw,herself,The mother said that the girls saw herself . <eos>,The mother said that the girls saw herself .,the mother said that the girls saw ***mask*** .,0.06835708282054082
6,2,embed,local,1,a,none,none,girl,mother,established,herself,The girl said that the mother established herself . <eos>,The girl said that the mother established herself .,the girl said that the mother established ***mask*** .,2.338114227059446e-05
7,2,embed,local,1,b,none,none,mother,girl,established,herself,The mother said that the girl established herself . <eos>,The mother said that the girl established herself .,the mother said that the girl established ***mask*** .,1.3755102063246836e-06
8,2,embed,local,1,a,nonlocal_subj,number,girls,mother,established,herself,The girls said that the mother established herself . <eos>,The girls said that the mother established herself .,the girls said that the mother established ***mask*** .,2.624221014644256e-05
9,2,embed,local,1,b,nonlocal_subj,number,mothers,girl,established,herself,The mothers said that the girl established herself . <eos>,The mothers said that the girl established herself .,the mothers said that the girl established ***mask*** .,1.5259640841839671e-06
10,2,embed,nonlocal,0,a,local_subj,number,girl,mothers,established,herself,The girl said that the mothers established herself . <eos>,The girl said that the mothers established herself .,the girl said that the mothers established ***mask*** .,0.0005974900820886523
11,2,embed,nonlocal,0,b,local_subj,number,mother,girls,established,herself,The mother said that the girls established herself . <eos>,The mother said that the girls established herself .,the mother said that the girls established ***mask*** .,1.9234830018954452e-05
12,3,embed,local,1,a,none,none,girl,mother,devoted,herself,The girl said that the mother devoted herself . <eos>,The girl said that the mother devoted herself .,the girl said that the mother devoted ***mask*** .,6.367068753729561e-06
13,3,embed,local,1,b,none,none,mother,girl,devoted,herself,The mother said that the girl devoted herself . <eos>,The mother said that the girl devoted herself .,the mother said that the girl devoted ***mask*** .,2.0329959220902006e-06
14,3,embed,local,1,a,nonlocal_subj,number,girls,mother,devoted,herself,The girls said that the mother devoted herself . <eos>,The girls said that the mother devoted herself .,the girls said that the mother devoted ***mask*** .,2.6233103318815523e-06
15,3,embed,local,1,b,nonlocal_subj,number,mothers,girl,devoted,herself,The mothers said that the girl devoted herself . <eos>,The mothers said that the girl devoted herself .,the mothers said that the girl devoted ***mask*** .,1.756435730788548e-06
