,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic said that the author hurt herself . <eos>,The mechanic said that the author hurt herself .,the mechanic said that the author hurt ***mask*** .,3.668350563534244
1,1,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author said that the mechanic hurt herself . <eos>,The author said that the mechanic hurt herself .,the author said that the mechanic hurt ***mask*** .,5.258010023975532
2,1,embed,local,1,c,none,none,banker,author,hurt,herself,The banker said that the author hurt herself . <eos>,The banker said that the author hurt herself .,the banker said that the author hurt ***mask*** .,4.103059377105332
3,1,embed,local,1,d,none,none,author,banker,hurt,herself,The author said that the banker hurt herself . <eos>,The author said that the banker hurt herself .,the author said that the banker hurt ***mask*** .,6.3870394020204655
4,1,embed,local,1,a,nonlocal_subj,number,mechanics,author,hurt,herself,The mechanics said that the author hurt herself . <eos>,The mechanics said that the author hurt herself .,the mechanics said that the author hurt ***mask*** .,4.313456728247467
5,1,embed,local,1,b,nonlocal_subj,number,authors,mechanic,hurt,herself,The authors said that the mechanic hurt herself . <eos>,The authors said that the mechanic hurt herself .,the authors said that the mechanic hurt ***mask*** .,5.374872326289379
6,1,embed,local,1,c,nonlocal_subj,number,bankers,author,hurt,herself,The bankers said that the author hurt herself . <eos>,The bankers said that the author hurt herself .,the bankers said that the author hurt ***mask*** .,4.220572488430685
7,1,embed,local,1,d,nonlocal_subj,number,authors,banker,hurt,herself,The authors said that the banker hurt herself . <eos>,The authors said that the banker hurt herself .,the authors said that the banker hurt ***mask*** .,6.369975338584296
8,1,embed,nonlocal,0,a,local_subj,number,mechanic,authors,hurt,herself,The mechanic said that the authors hurt herself . <eos>,The mechanic said that the authors hurt herself .,the mechanic said that the authors hurt ***mask*** .,7.8912978487295735
9,1,embed,nonlocal,0,b,local_subj,number,author,mechanics,hurt,herself,The author said that the mechanics hurt herself . <eos>,The author said that the mechanics hurt herself .,the author said that the mechanics hurt ***mask*** .,10.356075569123378
10,1,embed,nonlocal,0,c,local_subj,number,banker,authors,hurt,herself,The banker said that the authors hurt herself . <eos>,The banker said that the authors hurt herself .,the banker said that the authors hurt ***mask*** .,8.158318474141987
11,1,embed,nonlocal,0,d,local_subj,number,author,bankers,hurt,herself,The author said that the bankers hurt herself . <eos>,The author said that the bankers hurt herself .,the author said that the bankers hurt ***mask*** .,9.151501698282011
12,2,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic said that the author injured herself . <eos>,The mechanic said that the author injured herself .,the mechanic said that the author injured ***mask*** .,2.7298368692097883
13,2,embed,local,1,b,none,none,author,mechanic,injured,herself,The author said that the mechanic injured herself . <eos>,The author said that the mechanic injured herself .,the author said that the mechanic injured ***mask*** .,4.059548837295883
14,2,embed,local,1,c,none,none,banker,author,injured,herself,The banker said that the author injured herself . <eos>,The banker said that the author injured herself .,the banker said that the author injured ***mask*** .,3.1021433756213797
15,2,embed,local,1,d,none,none,author,banker,injured,herself,The author said that the banker injured herself . <eos>,The author said that the banker injured herself .,the author said that the banker injured ***mask*** .,3.8570375811058555
16,2,embed,local,1,a,nonlocal_subj,number,mechanics,author,injured,herself,The mechanics said that the author injured herself . <eos>,The mechanics said that the author injured herself .,the mechanics said that the author injured ***mask*** .,3.0494688422475655
17,2,embed,local,1,b,nonlocal_subj,number,authors,mechanic,injured,herself,The authors said that the mechanic injured herself . <eos>,The authors said that the mechanic injured herself .,the authors said that the mechanic injured ***mask*** .,4.337110009870838
18,2,embed,local,1,c,nonlocal_subj,number,bankers,author,injured,herself,The bankers said that the author injured herself . <eos>,The bankers said that the author injured herself .,the bankers said that the author injured ***mask*** .,2.823383827398002
19,2,embed,local,1,d,nonlocal_subj,number,authors,banker,injured,herself,The authors said that the banker injured herself . <eos>,The authors said that the banker injured herself .,the authors said that the banker injured ***mask*** .,3.7777826184824477
20,2,embed,nonlocal,0,a,local_subj,number,mechanic,authors,injured,herself,The mechanic said that the authors injured herself . <eos>,The mechanic said that the authors injured herself .,the mechanic said that the authors injured ***mask*** .,5.586512552841035
21,2,embed,nonlocal,0,b,local_subj,number,author,mechanics,injured,herself,The author said that the mechanics injured herself . <eos>,The author said that the mechanics injured herself .,the author said that the mechanics injured ***mask*** .,5.75358136403966
22,2,embed,nonlocal,0,c,local_subj,number,banker,authors,injured,herself,The banker said that the authors injured herself . <eos>,The banker said that the authors injured herself .,the banker said that the authors injured ***mask*** .,6.979203980041278
23,2,embed,nonlocal,0,d,local_subj,number,author,bankers,injured,herself,The author said that the bankers injured herself . <eos>,The author said that the bankers injured herself .,the author said that the bankers injured ***mask*** .,6.74760034526033
24,3,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic said that the author congratulated herself . <eos>,The mechanic said that the author congratulated herself .,the mechanic said that the author congratulated ***mask*** .,7.474924911836532
25,3,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author said that the mechanic congratulated herself . <eos>,The author said that the mechanic congratulated herself .,the author said that the mechanic congratulated ***mask*** .,8.018361909933262
26,3,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker said that the author congratulated herself . <eos>,The banker said that the author congratulated herself .,the banker said that the author congratulated ***mask*** .,7.628443477018653
27,3,embed,local,1,d,none,none,author,banker,congratulated,herself,The author said that the banker congratulated herself . <eos>,The author said that the banker congratulated herself .,the author said that the banker congratulated ***mask*** .,9.374921390240509
28,3,embed,local,1,a,nonlocal_subj,number,mechanics,author,congratulated,herself,The mechanics said that the author congratulated herself . <eos>,The mechanics said that the author congratulated herself .,the mechanics said that the author congratulated ***mask*** .,7.466671218357014
29,3,embed,local,1,b,nonlocal_subj,number,authors,mechanic,congratulated,herself,The authors said that the mechanic congratulated herself . <eos>,The authors said that the mechanic congratulated herself .,the authors said that the mechanic congratulated ***mask*** .,7.635406034969055
30,3,embed,local,1,c,nonlocal_subj,number,bankers,author,congratulated,herself,The bankers said that the author congratulated herself . <eos>,The bankers said that the author congratulated herself .,the bankers said that the author congratulated ***mask*** .,7.142042916589493
31,3,embed,local,1,d,nonlocal_subj,number,authors,banker,congratulated,herself,The authors said that the banker congratulated herself . <eos>,The authors said that the banker congratulated herself .,the authors said that the banker congratulated ***mask*** .,8.780340759146293
32,3,embed,nonlocal,0,a,local_subj,number,mechanic,authors,congratulated,herself,The mechanic said that the authors congratulated herself . <eos>,The mechanic said that the authors congratulated herself .,the mechanic said that the authors congratulated ***mask*** .,9.199992773347619
33,3,embed,nonlocal,0,b,local_subj,number,author,mechanics,congratulated,herself,The author said that the mechanics congratulated herself . <eos>,The author said that the mechanics congratulated herself .,the author said that the mechanics congratulated ***mask*** .,10.250305773038587
34,3,embed,nonlocal,0,c,local_subj,number,banker,authors,congratulated,herself,The banker said that the authors congratulated herself . <eos>,The banker said that the authors congratulated herself .,the banker said that the authors congratulated ***mask*** .,9.640563692570923
35,3,embed,nonlocal,0,d,local_subj,number,author,bankers,congratulated,herself,The author said that the bankers congratulated herself . <eos>,The author said that the bankers congratulated herself .,the author said that the bankers congratulated ***mask*** .,10.354640942076857
36,4,embed,local,1,a,none,none,mechanic,author,embarrassed,herself,The mechanic said that the author embarrassed herself . <eos>,The mechanic said that the author embarrassed herself .,the mechanic said that the author embarrassed ***mask*** .,6.308140001494373
37,4,embed,local,1,b,none,none,author,mechanic,embarrassed,herself,The author said that the mechanic embarrassed herself . <eos>,The author said that the mechanic embarrassed herself .,the author said that the mechanic embarrassed ***mask*** .,7.8038777354794
38,4,embed,local,1,c,none,none,banker,author,embarrassed,herself,The banker said that the author embarrassed herself . <eos>,The banker said that the author embarrassed herself .,the banker said that the author embarrassed ***mask*** .,6.31954453662359
39,4,embed,local,1,d,none,none,author,banker,embarrassed,herself,The author said that the banker embarrassed herself . <eos>,The author said that the banker embarrassed herself .,the author said that the banker embarrassed ***mask*** .,8.931192862525522
