item,clause_type,LocalityType,C-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,residual,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,father,man,was,leaving,The father who stood near the man was leaving . <eos>,The father who stood near the man was leaving .
1,simple,local,c-command,1,none,number,distractor,number,father,men,was,leaving,The father who stood near the men was leaving . <eos>,The father who stood near the men was leaving .
1,simple,local,c-command,1,none,gender,distractor,gender,father,woman,was,leaving,The father who stood near the woman was leaving . <eos>,The father who stood near the woman was leaving .
1,simple,local,c-command,1,none,both,distractor,both,father,women,was,leaving,The father who stood near the women was leaving . <eos>,The father who stood near the women was leaving .
1,simple,local,no-c-command,0,number,none,head,number,men,father,was,leaving,The men who stood near the father was leaving . <eos>,The men who stood near the father was leaving .
1,simple,local,no-c-command,1,gender,none,head,gender,woman,father,was,leaving,The woman who stood near the father was leaving . <eos>,The woman who stood near the father was leaving .
1,simple,local,no-c-command,0,both,none,head,both,women,father,was,leaving,The women who stood near the father was leaving . <eos>,The women who stood near the father was leaving .
2,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother who stood near the man was leaving . <eos>,The brother who stood near the man was leaving .
2,simple,local,c-command,1,none,number,distractor,number,brother,men,was,leaving,The brother who stood near the men was leaving . <eos>,The brother who stood near the men was leaving .
2,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,was,leaving,The brother who stood near the woman was leaving . <eos>,The brother who stood near the woman was leaving .
2,simple,local,c-command,1,none,both,distractor,both,brother,women,was,leaving,The brother who stood near the women was leaving . <eos>,The brother who stood near the women was leaving .
2,simple,local,no-c-command,0,number,none,head,number,men,brother,was,leaving,The men who stood near the brother was leaving . <eos>,The men who stood near the brother was leaving .
2,simple,local,no-c-command,1,gender,none,head,gender,woman,brother,was,leaving,The woman who stood near the brother was leaving . <eos>,The woman who stood near the brother was leaving .
2,simple,local,no-c-command,0,both,none,head,both,women,brother,was,leaving,The women who stood near the brother was leaving . <eos>,The women who stood near the brother was leaving .
3,simple,local,c-command,1,none,none,none,none,brother,man,was,leaving,The brother who stood near the man was leaving . <eos>,The brother who stood near the man was leaving .
