item,clause_type,locality,c-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,fathers,men,enjoyed,themselves,The fathers near the men enjoyed themselves . <eos>,The fathers near the men enjoyed themselves .
1,simple,local,c-command,1,none,number,distractor,number,fathers,man,enjoyed,themselves,The fathers near the man enjoyed themselves . <eos>,The fathers near the man enjoyed themselves .
1,simple,local,c-command,1,none,gender,distractor,gender,fathers,women,enjoyed,themselves,The fathers near the women enjoyed themselves . <eos>,The fathers near the women enjoyed themselves .
1,simple,local,c-command,1,none,both,distractor,both,fathers,woman,enjoyed,themselves,The fathers near the woman enjoyed themselves . <eos>,The fathers near the woman enjoyed themselves .
1,simple,local,no-c-command,0,number,none,head,number,man,fathers,enjoyed,themselves,The man near the fathers enjoyed themselves . <eos>,The man near the fathers enjoyed themselves .
1,simple,local,no-c-command,1,gender,none,head,gender,women,fathers,enjoyed,themselves,The women near the fathers enjoyed themselves . <eos>,The women near the fathers enjoyed themselves .
1,simple,local,no-c-command,0,both,none,head,both,woman,fathers,enjoyed,themselves,The woman near the fathers enjoyed themselves . <eos>,The woman near the fathers enjoyed themselves .
2,simple,local,c-command,1,none,none,none,none,brothers,men,confused,themselves,The brothers near the men confused themselves . <eos>,The brothers near the men confused themselves .
2,simple,local,c-command,1,none,number,distractor,number,brothers,man,confused,themselves,The brothers near the man confused themselves . <eos>,The brothers near the man confused themselves .
2,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,confused,themselves,The brothers near the women confused themselves . <eos>,The brothers near the women confused themselves .
2,simple,local,c-command,1,none,both,distractor,both,brothers,woman,confused,themselves,The brothers near the woman confused themselves . <eos>,The brothers near the woman confused themselves .
2,simple,local,no-c-command,0,number,none,head,number,man,brothers,confused,themselves,The man near the brothers confused themselves . <eos>,The man near the brothers confused themselves .
2,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,confused,themselves,The women near the brothers confused themselves . <eos>,The women near the brothers confused themselves .
2,simple,local,no-c-command,0,both,none,head,both,woman,brothers,confused,themselves,The woman near the brothers confused themselves . <eos>,The woman near the brothers confused themselves .
3,simple,local,c-command,1,none,none,none,none,brothers,men,helped,themselves,The brothers near the men helped themselves . <eos>,The brothers near the men helped themselves .
3,simple,local,c-command,1,none,number,distractor,number,brothers,man,helped,themselves,The brothers near the man helped themselves . <eos>,The brothers near the man helped themselves .
3,simple,local,c-command,1,none,gender,distractor,gender,brothers,women,helped,themselves,The brothers near the women helped themselves . <eos>,The brothers near the women helped themselves .
3,simple,local,c-command,1,none,both,distractor,both,brothers,woman,helped,themselves,The brothers near the woman helped themselves . <eos>,The brothers near the woman helped themselves .
3,simple,local,no-c-command,0,number,none,head,number,man,brothers,helped,themselves,The man near the brothers helped themselves . <eos>,The man near the brothers helped themselves .
3,simple,local,no-c-command,1,gender,none,head,gender,women,brothers,helped,themselves,The women near the brothers helped themselves . <eos>,The women near the brothers helped themselves .
3,simple,local,no-c-command,0,both,none,head,both,woman,brothers,helped,themselves,The woman near the brothers helped themselves . <eos>,The woman near the brothers helped themselves .
4,simple,local,c-command,1,none,none,none,none,kings,men,disappointed,themselves,The kings near the men disappointed themselves . <eos>,The kings near the men disappointed themselves .
4,simple,local,c-command,1,none,number,distractor,number,kings,man,disappointed,themselves,The kings near the man disappointed themselves . <eos>,The kings near the man disappointed themselves .
4,simple,local,c-command,1,none,gender,distractor,gender,kings,women,disappointed,themselves,The kings near the women disappointed themselves . <eos>,The kings near the women disappointed themselves .
4,simple,local,c-command,1,none,both,distractor,both,kings,woman,disappointed,themselves,The kings near the woman disappointed themselves . <eos>,The kings near the woman disappointed themselves .
4,simple,local,no-c-command,0,number,none,head,number,man,kings,disappointed,themselves,The man near the kings disappointed themselves . <eos>,The man near the kings disappointed themselves .
4,simple,local,no-c-command,1,gender,none,head,gender,women,kings,disappointed,themselves,The women near the kings disappointed themselves . <eos>,The women near the kings disappointed themselves .
4,simple,local,no-c-command,0,both,none,head,both,woman,kings,disappointed,themselves,The woman near the kings disappointed themselves . <eos>,The woman near the kings disappointed themselves .
5,simple,local,c-command,1,none,none,none,none,actors,men,killed,themselves,The actors near the men killed themselves . <eos>,The actors near the men killed themselves .
