itme,clause_type,locality,c-command,grammatical,head_mismatch,distract_mismatch,mismatch_position,mismatch_feature,head_noun,distractor noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,none,none,none,none,father,man,enjoyed,himself,The father near the man enjoyed himself . <eos>,The father near the man enjoyed himself .
1,simple,local,c-command,1,none,number,distractor,number,father,men,enjoyed,himself,The father near the men enjoyed himself . <eos>,The father near the men enjoyed himself .
1,simple,local,c-command,1,none,gender,distractor,gender,father,woman,enjoyed,himself,The father near the woman enjoyed himself . <eos>,The father near the woman enjoyed himself .
1,simple,local,c-command,1,none,both,distractor,both,father,women,enjoyed,himself,The father near the women enjoyed himself . <eos>,The father near the women enjoyed himself .
1,simple,local,no-c-command,0,number,none,head,number,men,father,enjoyed,himself,The men near the father enjoyed himself . <eos>,The men near the father enjoyed himself .
1,simple,local,no-c-command,0,gender,none,head,gender,woman,father,enjoyed,himself,The woman near the father enjoyed himself . <eos>,The woman near the father enjoyed himself .
1,simple,local,no-c-command,0,both,none,head,both,women,father,enjoyed,himself,The women near the father enjoyed himself . <eos>,The women near the father enjoyed himself .
2,simple,local,c-command,1,none,none,none,none,brother,man,confused,himself,The brother near the man confused himself . <eos>,The brother near the man confused himself .
2,simple,local,c-command,1,none,number,distractor,number,brother,men,confused,himself,The brother near the men confused himself . <eos>,The brother near the men confused himself .
2,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,confused,himself,The brother near the woman confused himself . <eos>,The brother near the woman confused himself .
2,simple,local,c-command,1,none,both,distractor,both,brother,women,confused,himself,The brother near the women confused himself . <eos>,The brother near the women confused himself .
2,simple,local,no-c-command,0,number,none,head,number,men,brother,confused,himself,The men near the brother confused himself . <eos>,The men near the brother confused himself .
2,simple,local,no-c-command,0,gender,none,head,gender,woman,brother,confused,himself,The woman near the brother confused himself . <eos>,The woman near the brother confused himself .
2,simple,local,no-c-command,0,both,none,head,both,women,brother,confused,himself,The women near the brother confused himself . <eos>,The women near the brother confused himself .
3,simple,local,c-command,1,none,none,none,none,brother,man,helped,himself,The brother near the man helped himself . <eos>,The brother near the man helped himself .
3,simple,local,c-command,1,none,number,distractor,number,brother,men,helped,himself,The brother near the men helped himself . <eos>,The brother near the men helped himself .
3,simple,local,c-command,1,none,gender,distractor,gender,brother,woman,helped,himself,The brother near the woman helped himself . <eos>,The brother near the woman helped himself .
