exp,model,pronoun,total_acc,vs_baseline_acc,vs_distractor_acc
exp1a-ml-rc,bert,themselves,0.7571428571428571,1.0,0.7571428571428571
exp1a-ml-rc,bert,himself,0.7714285714285715,0.9857142857142858,0.7714285714285715
exp1a-ml-rc,bert,herself,0.7428571428571429,0.9571428571428572,0.7428571428571429
exp1a-ml-rc,trans,themselves,1.0,1.0,1.0
exp1a-ml-rc,trans,himself,0.6,1.0,0.6
exp1a-ml-rc,trans,herself,0.6142857142857143,0.9571428571428572,0.6142857142857143
exp1a-ml-rc,jrnn,themselves,0.8,1.0,0.8
exp1a-ml-rc,jrnn,himself,0.14285714285714285,1.0,0.14285714285714285
exp1a-ml-rc,jrnn,herself,0.3,1.0,0.3
exp1a-ml-rc,grnn,themselves,0.6428571428571429,1.0,0.6428571428571429
exp1a-ml-rc,grnn,himself,0.5714285714285714,1.0,0.5714285714285714
exp1a-ml-rc,grnn,herself,0.8857142857142857,1.0,0.8857142857142857
exp1a-ml-rc,5gram,themselves,0.32857142857142857,0.0,0.0
exp1a-ml-rc,5gram,himself,0.2714285714285714,0.0,0.0
exp1a-ml-rc,5gram,herself,0.3142857142857143,0.0,0.0
