model,full_exp,total_acc,vs_baseline_acc,vs_distractor_acc
rnng,loc_himself,1.0,1.0,1.0
rnng,loc_herself,0.9866666666666667,1.0,0.9866666666666667
rnng,loc_pl,0.7066666666666667,0.8666666666666667,0.7066666666666667
tiny,loc_himself,0.9333333333333333,0.9733333333333334,0.9333333333333333
tiny,loc_herself,0.49333333333333335,0.52,0.6933333333333334
tiny,loc_pl,0.9866666666666667,0.9866666666666667,0.9866666666666667
rnng,cc_himself,0.64,0.9866666666666667,0.6533333333333333
rnng,cc_herself,0.6266666666666667,0.9733333333333334,0.6266666666666667
rnng,cc_pl,0.6133333333333333,0.9733333333333334,0.64
tiny,cc_himself,0.21333333333333335,0.9066666666666666,0.24
tiny,cc_herself,0.12,0.28,0.28
tiny,cc_pl,0.9333333333333333,1.0,0.9333333333333333
rnng,rc_himself,0.12,0.8,0.12
rnng,rc_herself,0.0,0.7733333333333333,0.0
rnng,rc_pl,0.6,1.0,0.6
tiny,rc_himself,0.14666666666666667,1.0,0.14666666666666667
tiny,rc_herself,0.21333333333333335,0.41333333333333333,0.29333333333333333
tiny,rc_pl,0.04,1.0,0.04
