model,full_exp,total_acc,vs_baseline_acc,vs_distractor_acc
grnn,ml_himself,1.0,1.0,1.0
grnn,ml_herself,1.0,1.0,1.0
grnn,ml_pl,1.0,1.0,1.0
jrnn,ml_himself,1.0,1.0,1.0
jrnn,ml_herself,1.0,1.0,1.0
jrnn,ml_pl,0.8857142857142857,1.0,0.8857142857142857
trans,ml_himself,0.8857142857142857,1.0,0.8857142857142857
trans,ml_herself,0.8571428571428571,0.9857142857142858,0.8571428571428571
trans,ml_pl,1.0,1.0,1.0
5gram,ml_himself,0.0,0.0,0.0
5gram,ml_herself,0.0,0.0,0.0
5gram,ml_pl,0.0,0.0,0.0
bert,ml_himself,1.0,1.0,1.0
bert,ml_herself,0.9857142857142858,1.0,0.9857142857142858
bert,ml_pl,1.0,1.0,1.0
